"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02888","2017-10-15T02:18:55.000","2017-10-15 02:28:39","79","211",
"B02888","2017-10-15T02:55:47.000","2017-10-15 03:15:56","68","265",
"B02888","2017-10-15T02:45:55.000","2017-10-15 03:02:55","181","85",
"B02914","2017-10-15T02:28:58.000","2017-10-15 02:53:42",,,
"B02914","2017-10-15T02:59:38.000","2017-10-15 03:17:38",,,
"B02914","2017-10-15T02:16:13.000","2017-10-15 02:39:48",,,
"B02914","2017-10-15T02:24:25.000","2017-10-15 02:33:52",,,
"B02914","2017-10-15T02:35:25.000","2017-10-15 02:38:48",,,
"B02914","2017-10-15T02:42:27.000","2017-10-15 03:01:32",,,
"B02914","2017-10-15T02:46:22.000","2017-10-15 03:23:56",,,
"B02914","2017-10-15T02:40:34.000","2017-10-15 03:03:59",,,
"B02914","2017-10-15T02:48:27.000","2017-10-15 03:24:31",,,
"B02914","2017-10-15T02:26:26.000","2017-10-15 02:49:28",,,
"B02914","2017-10-15T02:36:21.000","2017-10-15 02:42:14",,,
"B02884","2017-10-15T02:12:21.000","2017-10-15 02:20:22","65","231",
"B02884","2017-10-15T02:22:27.000","2017-10-15 02:42:42","231","142",
"B02884","2017-10-15T02:51:56.000","2017-10-15 03:13:51","143","244",
"B02884","2017-10-15T02:22:23.000","2017-10-15 02:42:29","80","7",
"B02884","2017-10-15T02:54:54.000","2017-10-15 02:59:25","7","7",
"B02884","2017-10-15T02:22:38.000","2017-10-15 02:47:31","245","84",
"B02884","2017-10-15T02:24:06.000","2017-10-15 02:36:54","158","114",
"B02884","2017-10-15T02:41:08.000","2017-10-15 03:07:14","114","61",
"B02884","2017-10-15T02:16:53.000","2017-10-15 02:29:43","148","164",
"B02884","2017-10-15T02:31:21.000","2017-10-15 03:01:14","164","265",
"B02884","2017-10-15T02:26:22.000","2017-10-15 03:01:03","80","158",
"B02888","2017-10-15T02:40:01.000","2017-10-15 02:58:59","148","82",
"B02888","2017-10-15T02:41:12.000","2017-10-15 03:07:17","232","265",
"B02888","2017-10-15T02:53:02.000","2017-10-15 03:18:23","50","265",
"B02888","2017-10-15T02:01:27.000","2017-10-15 02:10:57","249","79","1"
"B02888","2017-10-15T02:07:23.000","2017-10-15 02:18:33","232","114",
"B02888","2017-10-15T02:24:57.000","2017-10-15 03:02:45","249","265",
"B02888","2017-10-15T02:14:48.000","2017-10-15 02:25:10","255","66",
"B02888","2017-10-15T02:30:32.000","2017-10-15 02:48:23","66","48",
"B02888","2017-10-15T02:23:49.000","2017-10-15 02:34:37","211","4",
"B02888","2017-10-15T02:14:50.000","2017-10-15 02:18:36","144","148",
"B02888","2017-10-15T02:18:59.000","2017-10-15 02:56:13","148","152","1"
"B02914","2017-10-15T02:58:37.000","2017-10-15 03:09:14",,,
"B02914","2017-10-15T02:36:53.000","2017-10-15 02:51:53",,,
"B02914","2017-10-15T02:59:56.000","2017-10-15 03:27:43",,,
"B02914","2017-10-15T02:09:44.000","2017-10-15 02:37:58",,,
"B02914","2017-10-15T02:35:47.000","2017-10-15 02:52:10",,,
"B02914","2017-10-15T02:17:21.000","2017-10-15 02:56:27",,,
"B02914","2017-10-15T02:19:36.000","2017-10-15 02:35:00",,,
"B02914","2017-10-15T02:39:08.000","2017-10-15 02:45:32",,,
"B02914","2017-10-15T02:21:52.000","2017-10-15 02:25:56",,,
"B02914","2017-10-15T02:59:13.000","2017-10-15 03:15:11",,,
"B02914","2017-10-15T02:00:32.000","2017-10-15 02:36:01",,,
"B02884","2017-10-15T02:22:01.000","2017-10-15 02:38:04","256","107",
"B02884","2017-10-15T02:40:44.000","2017-10-15 03:00:58","107","265",
"B02884","2017-10-15T02:38:18.000","2017-10-15 02:57:26","113","263",
"B02884","2017-10-15T02:23:19.000","2017-10-15 02:43:44","144","163",
"B02884","2017-10-15T02:06:43.000","2017-10-15 02:32:03","114","244",
"B02884","2017-10-15T02:59:20.000","2017-10-15 03:23:30","249","236","1"
"B02884","2017-10-15T02:53:53.000","2017-10-15 03:01:00","182","20",
"B02884","2017-10-15T02:34:31.000","2017-10-15 03:04:04","148","145",
"B02884","2017-10-15T02:36:11.000","2017-10-15 02:53:33","249","239",
"B02884","2017-10-15T02:10:15.000","2017-10-15 02:24:46","43","137",
"B02884","2017-10-15T02:00:21.000","2017-10-15 02:25:50","14","80",
"B02888","2017-10-15T02:23:20.000","2017-10-15 02:35:17","114","141","1"
"B02888","2017-10-15T02:35:08.000","2017-10-15 02:57:33","17","265",
"B02888","2017-10-15T02:16:29.000","2017-10-15 02:25:34","148","256",
"B02888","2017-10-15T02:27:27.000","2017-10-15 02:30:36","256","80",
"B02888","2017-10-15T02:33:04.000","2017-10-15 02:38:02","80","256",
"B02888","2017-10-15T02:39:37.000","2017-10-15 03:00:50","217","177",
"B02888","2017-10-15T02:19:00.000","2017-10-15 02:37:04","255","14",
"B02888","2017-10-15T02:08:23.000","2017-10-15 02:18:27","148","125",
"B02888","2017-10-15T02:39:46.000","2017-10-15 02:51:37","114","68",
"B02888","2017-10-15T02:08:18.000","2017-10-15 02:18:19","116","127",
"B02888","2017-10-15T02:22:52.000","2017-10-15 02:36:23","127","254",
"B02914","2017-10-15T02:38:33.000","2017-10-15 03:07:35",,,
"B02914","2017-10-15T02:42:10.000","2017-10-15 02:47:03",,,
"B02914","2017-10-15T02:33:16.000","2017-10-15 03:15:28",,,
"B02914","2017-10-15T02:52:05.000","2017-10-15 02:56:52",,,
"B02914","2017-10-15T02:44:40.000","2017-10-15 03:08:53",,,
"B02914","2017-10-15T02:08:02.000","2017-10-15 02:20:40",,,
"B02914","2017-10-15T02:20:40.000","2017-10-15 02:50:33",,,
"B02914","2017-10-15T02:01:52.000","2017-10-15 02:20:09",,,
"B02914","2017-10-15T02:11:07.000","2017-10-15 02:19:38",,,
"B02914","2017-10-15T02:32:22.000","2017-10-15 03:00:53",,,
"B02914","2017-10-15T02:12:27.000","2017-10-15 02:35:56",,,
"B02884","2017-10-15T02:28:11.000","2017-10-15 02:36:22","80","80",
"B02884","2017-10-15T02:13:20.000","2017-10-15 02:18:49","95","95","1"
"B02884","2017-10-15T02:14:24.000","2017-10-15 02:24:46","95","56","1"
"B02884","2017-10-15T02:40:45.000","2017-10-15 02:52:03","255","25",
"B02884","2017-10-15T02:14:04.000","2017-10-15 02:30:23","255","140",
"B02884","2017-10-15T02:59:54.000","2017-10-15 03:07:51","90","125",
"B02884","2017-10-15T02:40:16.000","2017-10-15 03:02:09","82","36","1"
"B02884","2017-10-15T02:51:11.000","2017-10-15 03:17:21","80","37","1"
"B02884","2017-10-15T02:55:51.000","2017-10-15 03:10:41","80","198","1"
"B02884","2017-10-15T02:15:11.000","2017-10-15 02:41:40","158","61",
"B02884","2017-10-15T02:13:40.000","2017-10-15 02:21:45","148","231",
"B02888","2017-10-15T02:48:12.000","2017-10-15 02:51:12","225","225",
"B02888","2017-10-15T02:58:24.000","2017-10-15 03:23:07","37","181",
"B02888","2017-10-15T02:00:48.000","2017-10-15 02:25:56","112","188",
"B02888","2017-10-15T02:55:20.000","2017-10-15 03:03:32","129","129",
"B02888","2017-10-15T02:06:37.000","2017-10-15 02:26:51","48","116","1"
"B02888","2017-10-15T02:54:18.000","2017-10-15 02:58:26","24","166",
"B02888","2017-10-15T02:19:23.000","2017-10-15 02:30:14","225","62",
"B02888","2017-10-15T02:37:09.000","2017-10-15 02:49:21","158","87",
"B02888","2017-10-15T02:42:13.000","2017-10-15 03:06:00","22","201",
"B02888","2017-10-15T02:12:02.000","2017-10-15 02:18:47","61","61",
"B02888","2017-10-15T02:23:10.000","2017-10-15 02:34:07","61","25",
"B02914","2017-10-15T02:59:39.000","2017-10-15 03:20:09",,,
