"name","boro","geo_dist","projdesc","award","consttype","buildingid","building_address","city","zip_code","borough","latitude","longitude","community_board","community_council","bin","bbl","census_tract","nta","location_1","data_as_of"
"P.S. 118 - QUEENS","Q","29","LSP DOMESTIC WATER HEATER REPLACEMENT","167718.72","CIP","Q118","190-20 109 ROAD","Queens","11225","QUEENS","40.703585","-73.765838","412","27","4233850","4109260050","504","QN1205","(40.703585, -73.765838)","23-May"
"P.S. 60 - STATEN ISLAND","R","31","LSP REPLACE UNIVENTS","355900","CIP","R060","55 MERRILL AVENUE","Staten Island","11225","STATEN IS","40.610073","-74.162129","502","50","5031151","5015800044","29104","SI0204","(40.610073, -74.162129)","23-May"
"P.S. 129 - MANHATTAN","M","5","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","29717000","CIP","M129","425 WEST 130 STREET","Manhattan","11225","MANHATTAN","40.814637","-73.951912","109","9","1059407","1019570010","21703","MN0902","(40.814637, -73.951912)","23-May"
"P.S. 29 - QUEENS","Q","25","LSP DOMESTIC WATER HEATER REPLACEMENT","124691.03","CIP","Q029","125-10 23 AVENUE","Queens","11225","QUEENS","40.778601","-73.843187","407","19","4099925","4042290014","907","QN0701","(40.778601, -73.843187)","23-May"
"P.S. 15 - BROOKLYN","K","15","EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / ROOFS / WINDOWS","17924068.17","CIP","K015","71 SULLIVAN STREET","Brooklyn","11225","BROOKLYN","40.677343","-74.011558","306","38","3008585","3005660001","5301","BK0601","(40.677343, -74.011558)","23-May"
"NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX","X","9","ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT","139884.83","CIP","X145","1000 TELLER AVENUE","Bronx","11225","BRONX","40.827941","-73.914374","204","16","2097111","2024240001","173","BX0401","(40.827941, -73.914374)","23-May"
"P.S. 277 - BRONX","X","7","ELECTRICAL WORK FOR A/C INITIATIVE","8124.94","CIP","X027","519 ST ANNS AVENUE","Bronx","11225","BRONX","40.813517","-73.913402","201","8","2000114","2022740023","43","BX0101","(40.813517, -73.913402)","23-May"
"BRONX MATH PREP - BRONX","X","8","IPDVS CAMERA INSTALLATION","389449","CIP","X174","456 WHITE PLAINS ROAD","Bronx","11225","BRONX","40.814833","-73.85658","209","18","2020580","2034780018","4","BX0902","(40.814833, -73.85658)","23-May"
"BROOKLYN INTERNATIONAL HS - K","K","13","LSP VACUUM PUMP SET REPLACEMENT","37969","CIP","K805","49 FLATBUSH AVENUE EXTENSION","Brooklyn","11225","BROOKLYN","40.697339","-73.985016","302","33","3000216","3001200020","1501","BK0202","(40.697339, -73.985016)","23-May"
"FRANCIS LEWIS HS - QUEENS","Q","26","FIRE ALARM / RPZ VALVES","2418000","CIP","Q430","58-20 UTOPIA PARKWAY","Queens","11225","QUEENS","40.740724","-73.79283","411","20","4148763","4068820001","1417","QN1101","(40.740724, -73.79283)","23-May"
