"title_description","o_c_or_prom","list_title_code","exam_no","list_agency_code","agency_desc","list_div_code","list_est_date","aac_cnt","aol_cnt","dce_cnt","dea_cnt","dlx_cnt","fra_cnt","frh_cnt","fri_cnt","frm_cnt","frp_cnt","ftr_cnt","nfp_cnt","nle_cnt","ova_cnt","rli_cnt","tin_cnt","unf_cnt","appt_cnt","cns_cnt","cns_restored_cnt","elig_restored_cnt"
"ACCOUNTANT","Open Competitive","40510","8050","000",,,"2019-07-03T00:00:00.000","0","0","0","10","0","0","0","0","0","0","79","0","0","0","0","0","0","30","0","0","14"
"ADMINISTRATIVE CITY PLANNER","Open Competitive","10053","8058","000",,,"2019-05-15T00:00:00.000","0","0","0","7","0","0","0","0","0","0","47","0","0","0","0","0","0","27","0","0","13"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","030","DEPARTMENT OF CITY PLANNING",,"2018-12-26T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","5","3","0","0"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","806","HOUSING PRESERVATION & DEVELOPMENT",,"2018-12-26T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","826","DEPARTMENT OF ENVIRONMENTAL PROTECTION",,"2018-12-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","841","DEPARTMENT OF TRANSPORTATION",,"2018-12-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","2","1","0","0"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","846","DEPARTMENT OF PARKS & RECREATION",,"2018-12-26T00:00:00.000","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ADMINISTRATIVE CITY PLANNER","Promotional","10053","8538","868","DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",,"2018-12-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST","Open Competitive","10022","7011","000",,,"2017-09-20T00:00:00.000","0","0","0","1","0","1","0","0","0","0","6","0","0","0","0","0","0","1","0","0","27"
"ADMINISTRATIVE CONTRACT SPECIALIST","Open Competitive","10095","8041","000",,,"2019-10-09T00:00:00.000","0","0","0","16","0","0","0","0","0","0","35","0","0","0","0","0","0","29","0","0","0"
"ADMINISTRATIVE CONTRACT SPECIALIST","Promotional","10095","8528","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2018-12-26T00:00:00.000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ADMINISTRATIVE CONTRACT SPECIALIST","Promotional","10095","8528","261","DEPARTMENT OF YOUTH AND COMMUNITY DEVELOPMENT",,"2018-12-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","Open Competitive","10056","7035","000",,,"2017-07-19T00:00:00.000","0","0","0","121","0","1","0","0","0","0","72","2","0","0","1","0","0","7","0","0","49"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","Promotional","10056","7535","067","ADMINISTRATION FOR CHILDREN'S SERVICES",,"2017-07-19T00:00:00.000","0","0","0","9","0","0","0","0","0","0","3","0","2","0","1","0","0","0","2","0","14"
"ADMINISTRATIVE EDUCATION ANALYST","Promotional","10031","8525","040","DEPARTMENT OF EDUCATION",,"2018-11-28T00:00:00.000","0","0","0","13","0","1","0","0","0","0","2","0","1","0","0","0","0","0","3","0","2"
"ADMINISTRATIVE EDUCATION OFFICER","Promotional","10062","9501","040","DEPARTMENT OF EDUCATION",,"2019-06-19T00:00:00.000","0","0","0","5","0","4","0","0","0","0","1","0","0","0","0","0","0","0","8","0","0"
"ADMINISTRATIVE ENGINEER","Open Competitive","10015","7012","000",,,"2017-12-27T00:00:00.000","0","27","0","3","0","1","0","0","0","0","39","0","0","0","0","0","0","5","0","0","23"
"ADMINISTRATIVE ENGINEER","Promotional","10015","7516","071","DEPARTMENT OF HOMELESS SERVICES",,"2017-12-27T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
