"date","league_name","borough","asset_number"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1538"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1339"
"2017-04-21T00:00:00.000","Harlem RBI","X","AED - 0280"
"2017-03-23T00:00:00.000","Forest Hills Pony League - The Cage","Q","AED - 0568"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0522"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0233"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 0234"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1310"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0226"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0023"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0199"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0115"
"2017-02-28T00:00:00.000","Gravesend Athletic Association","B","AED - 0907"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0470"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0415"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1495"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 0046"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0117"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1264"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0477"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0393"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0220"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0437"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0052"
"2017-04-21T00:00:00.000","Downtown Manhattan Little League","M","AED - 0050"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0047"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0061"
"2017-01-03T00:00:00.000","RGMVM LL","Q","AED - 0399"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0404"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0418"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0466"
"2017-03-27T00:00:00.000","SLAA CYO","Q","AED - 1223"
"2017-03-23T00:00:00.000","OLBS CYO","Q","AED - 1525"
"2017-05-11T00:00:00.000","CYO Baseball - St. Nicholas of Tolentine","Q","AED - 1351-S"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0413"
"2017-02-28T00:00:00.000","Camp Friendship","B","AED - 0479"
"2017-03-01T00:00:00.000","Mets Sandlot Baseball League","Q","AED - 0464"
"2017-02-28T00:00:00.000","Joe Torre East Highway Little League","B","AED - 0497"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0389"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 1506"
"2017-03-01T00:00:00.000","Jamaica Estates Holliswood Briarwood Little League","Q","AED - 1496"
"2017-02-28T00:00:00.000","BROOKLYN/QUEENS CYO (ST. STANS)","B","AED - 0469"
"2017-02-28T00:00:00.000","Camp Friendship","B","AED - 0476"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0066"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0523"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 0069"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0120"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0516"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 1954"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0592"
"2017-02-28T00:00:00.000","Blue Storm athletics Inc","B","AED - 0546"
"2017-03-10T00:00:00.000","NY Dodgers All Sports Org.","X","AED - 1435"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0474"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1537"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1531"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0392"
"2017-03-01T00:00:00.000","Rosedale Little League Baseball Inc","Q","AED - 0414"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1475"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1240"
"1900-01-03T00:00:00.000","RGMVM LL","Q","AED - 0390"
"2017-03-01T00:00:00.000","Diamond Pros","Q","AED - 1502"
"2017-03-02T00:00:00.000","Our Lady Of Sorrows Kids Sparkle Little League","M","AED - 1365"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1534"
"2017-03-27T00:00:00.000","SLAA CYO","Q","AED - 1528"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1557"
"2017-04-21T00:00:00.000","Dodgers Elite","Q","AED - 1708-S"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0008"
"2017-03-01T00:00:00.000","Diamond Pros","Q","AED - 0424"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0036"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1514"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 0449"
"1900-01-03T00:00:00.000","RGMVM LL","Q","AED - 0440"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 1963"
"2017-03-01T00:00:00.000","Diamond Pros","Q","AED - 0423"
"2017-03-02T00:00:00.000","Hector ONeal Sport","M","AED - 1596"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1554"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1494"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 1957"
"2017-03-01T00:00:00.000","Mets Sandlot Baseball League","Q","AED - 1504"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1636"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0219"
"2017-03-23T00:00:00.000","La Javilla LL Baseball","Q","AED - 0597"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 0487"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1241"
"2017-03-23T00:00:00.000","St. Kevin Youth Guild CYO","Q","AED - 1226"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1233"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1595"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1536"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1559"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1244"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1591"
"2017-03-01T00:00:00.000","St. Adalbert CYO baseball league","Q","AED - 1583"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 1246"
"2017-03-04T00:00:00.000","Our Lady of Guadalupe Youth Program","B","AED - 1454"
"2017-03-02T00:00:00.000","The Baseball Center NYC","M","AED - 0003"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 0606"
"2017-03-27T00:00:00.000","SLAA CYO","Q","AED - 1920"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1546"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1523"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1316"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 1297"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1618"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1610"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1284"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1285"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0951"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1652"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1090"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0894"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 0598"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1492"
"2017-06-16T00:00:00.000","Inwood-Manhattan Little League","M","AED - 0292"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1478"
"2017-03-02T00:00:00.000","West Side Little League","M","AED -  0160"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1642"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 0165"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 0608"
"2017-08-15T00:00:00.000","PPBA/Holy Name Father's Guild","B","AED - 0338"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0863"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 0129"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0209"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0135"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1235"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0214"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0147"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1299"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0377"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0207"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","MISSING"
"2017-03-31T00:00:00.000","South Riverdale Little League","X","AED - 1342"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0026"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0173"
"2017-02-02T00:00:00.000","Crossover Sports","M","AED - 0157"
"2017-06-01T00:00:00.000","Parade Ground League","B","AED - 0275"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0133"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0017"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0163"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0015"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0301"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0900"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0271"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0201"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 1286"
"2017-03-29T00:00:00.000","Harlem RBI","M","AED - 1306"
"2017-04-06T00:00:00.000","Jewish Community Little League, Inc.","Q","AED - 1555"
"2017-03-03T00:00:00.000","NY Sluggers","X","AED - 1725-S"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1566"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 1616"
"2017-06-01T00:00:00.000","Parade Ground League","B","AED - 0063"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0595"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1263"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1253"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1293"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1325"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1086"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0912"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1632"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1331"
"2017-02-28T00:00:00.000","God Loves Baseball Inc","B","AED - 1261"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1221"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1269"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1279"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0155"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1303"
"2017-03-10T00:00:00.000","Bonnie Youth Club","B","AED - 1450"
"2017-03-04T00:00:00.000","SFX Youth Sports","B","AED - 1448"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0898"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1571"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1656"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0866"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1353"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 1648"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1359"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1659"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1340"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1600"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1259"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0551"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0532"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1662"
"2017-03-04T00:00:00.000","Blue Storm Athletics Inc","B","AED - 1456"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1255"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1092"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1093"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1594"
"2017-03-04T00:00:00.000","St Ephrems Baseball/Softball","B","AED - 1436"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0897"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0613"
"2017-06-12T00:00:00.000","Kings County Baseball","B","AED - 0257"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0542"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1633"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1569"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0915"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1657"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 1302"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1098"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1660"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1096"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1631"
"2017-03-23T00:00:00.000","St. Kevin Youth Guild CYO","Q","AED - 1537"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1287"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0910"
"2017-03-01T00:00:00.000","GNYSSA","Q","AED - 1273"
"2017-03-01T00:00:00.000","GNYSSA","Q","AED - 1593"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1089"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1296"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1337"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0909"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1095"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1281"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1347"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1350"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1252"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0869"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1334"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0906"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1630"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 0559"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1341"
"2017-04-29T00:00:00.000","Interparish Sports Association, Inc","B","AED - 1626"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1658"
"2017-03-04T00:00:00.000","Brooklyn Bandits/Williamsburg Sports League","B","AED - 1441"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0913"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0261"
"2017-03-04T00:00:00.000","Sports For Kids","B","AED - 1445"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 1099"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1344"
,"NYC PARKS","X",
"2017-03-31T00:00:00.000","Hank Greenberg Little League","X","AED - 0260"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1087"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1083"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0895"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1568"
"2017-05-03T00:00:00.000","NY Giants Youth Baseball Club","M","AED-0286"
"2017-05-12T00:00:00.000","UNION Little League","X","AED - 2053"
"2017-06-16T00:00:00.000","Inwood-Manhattan Little League","M","AED - 0316"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0378"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0357"
"2017-03-31T00:00:00.000","Hank Greenberg Little League","X","AED - 0355"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0178"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0369"
"2017-05-22T00:00:00.000","Castle Hill Little League","X","AED - 0373"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 2060"
"2017-05-15T00:00:00.000","Caribe Baseball Little League","X","AED - 0408"
"2018-04-02T00:00:00.000","Westerleigh LL","R","AED - 2081"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0336"
"2017-05-08T00:00:00.000","Far Rockaway RBI","Q","AED - 0284"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0331"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0287"
"2017-08-15T00:00:00.000","PPBA/Holy Name Father's Guild","B","AED - 0206"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0374"
"2017-03-31T00:00:00.000","Hank Greenberg Little League","X","AED - 0380"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 2049"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0370"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0367"
"1900-01-03T00:00:00.000","RGMVM LL","Q","AED - 1511"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1551"
"2018-03-19T00:00:00.000","St. Joseph CYO","Q","AED - 0294"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0381"
"2017-03-31T00:00:00.000","Hank Greenberg Little League","X","AED - 0273"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0382"
"2017-05-15T00:00:00.000","Caribe Baseball Little League","X","AED - 0410"
"2017-04-07T00:00:00.000","East Harlem Little League","M","AED - 0062"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0325"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0361"
"2017-05-22T00:00:00.000","Castle Hill Little League","X","AED - 0200"
"2017-05-15T00:00:00.000","Oval Community Youth Program","X","AED - 0375"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0049"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0351"
"2017-05-19T00:00:00.000","New York Grays Baseball Club","X","AED - 0321"
"2017-04-29T00:00:00.000","Interparish Sports Association, Inc","B","AED - 0224"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 2050"
"2017-05-25T00:00:00.000","Mosholu Mostefiore C.C.","X","AED - 0372"
"2017-05-22T00:00:00.000","Castle Hill Little League","X","AED - 0406"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0368"
"2017-05-15T00:00:00.000","Caribe Baseball Little League","X","AED - 0365"
"2017-08-15T00:00:00.000","PPBA/Holy Name Father's Guild","B","AED - 0337"
"2017-05-25T00:00:00.000","Mosholu Mostefiore C.C.","X","AED - 0363"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0388"
"2017-07-12T00:00:00.000","Bronx Elite","X","AED - 0334"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0332"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0327"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0409"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0283"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 0146"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0556"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0320"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0339"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0326"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0314"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0359"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0221"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1491"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0288"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0266"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1587"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0316"
