"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"POMONOK","QUEENS","POMONOK","BLD 26","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789368","N","2370.48","GOV/NYC/068","Yes","22240","1122.02","0","0","1248.46"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 02","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788510","N","1634.45","GOV/NYC/068","Yes","14560","760.91","0","0","873.54"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 08","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788534","N","2074.49","GOV/NYC/068","Yes","18480","965.76","0","0","1108.73"
"POMONOK","QUEENS","POMONOK","BLD 18","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789369","N","2728.62","GOV/NYC/068","Yes","25600","1291.54","0","0","1437.08"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 19","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789986","N","502","GOV/NYC/068","Yes","0","0","42.38","502","0"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 3, 25 CENTRAL AVE","BLD 03","NONE",,,"999","1012000","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12243451","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9866352","Y","9363.35","GOV/NYC/069","Yes","55800","2923.36","116","1244.68","5195.31"
"TWO BRIDGES URA (SITE 7)","MANHATTAN","TWO BRIDGES URA (SITE 7)","BLD 01","INTERVAL",,"266","389","M026600","FEDERAL","NY005010760P","NEW YORK POWER AUTHORITY","12243193","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1785739","N","8319.9","GOV/NYC/068","Yes","0","0","351.84","3870.24","4449.66"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 07","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788533","N","2101.47","GOV/NYC/068","Yes","18720","978.31","0","0","1123.16"
"SAINT MARY'S PARK","BRONX","SAINT MARYS PARK","BLD 06","AMR",,"93","673","B009300","MIXED FINANCE/LLC1","NY005020930P","NEW YORK POWER AUTHORITY","12242882","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786006","N","8893.18","GOV/NYC/068","Yes","82600","4168.12","0","0","4725.06"
"POMONOK","QUEENS","POMONOK","BLD 16","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789421","N","8782.73","GOV/NYC/068","Yes","82400","4157.13","0","0","4625.6"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 14","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789983","N","585.63","GOV/NYC/068","Yes","0","0","49.44","585.63","0"
"POLO GROUNDS TOWERS","MANHATTAN","POLO GROUNDS TOWERS","BLD 02","INTERVAL",,"149","260","M014900","FEDERAL","NY005001490P","NEW YORK POWER AUTHORITY","12243428","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786567","N","5949.01","GOV/NYC/068","Yes","0","0","484.32","5949.01","0"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 04","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786423","N","1177.79","GOV/NYC/068","Yes","0","0","50.74","558.14","619.65"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 4, 130 AVENUE C","BLD 04","NONE",,,"999","1011400","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12243211","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","13186209","N","11850.61","GOV/NYC/069","Yes","82400","4316.94","132","1416.36","6117.31"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 27","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790111","N","428.06","GOV/NYC/068","Yes","0","0","36.14","428.06","0"
