"uid","facname","addressnum","streetname","address","city","boro","borocode","zipcode","latitude","longitude","xcoord","ycoord","bin","bbl","commboard","council","censtract","nta","facgroup","facsubgrp","factype","capacity","captype","optype","opname","opabbrev","overlevel","overagency","overabbrev","datasource","facdomain","schooldist","policeprct","servarea"
"0001260a0a6ef16ae013d969ed1fb0d4","HEALTHY CHOICES","153A","JOHNSON AVENUE","153A JOHNSON AVENUE","BROOKLYN","BROOKLYN","3","11206","40.706891477378200","-73.944039625551298","999765.133925479021855","196821.066036030999385","3400456","3030610010.000000000000000","301","34","50500","BK90","CHILD SERVICES AND WELFARE","CHILD NUTRITION","SUMMER ONLY FEEDING SITE",,,"Non-public","Healthy Choices","Non-public","City","NYC Department of Education","NYCDOE","nysed_activeinstitutions","EDUCATION, CHILD WELFARE, AND YOUTH","14","90","Local"
"0008eddb5491c32a466da1e3f6616133","HANAC INC","4-05","ASTORIA BOULEVARD","4-05 ASTORIA BOULEVARD","ASTORIA","QUEENS","4","11102","40.773552071887003","-73.934847389456607","1002295.636939230025746","221109.390826018992811","4430787","4004900101.000000000000000","401","22","8700","QN71","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"HANAC INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","30","114","Local"
"0010005ff23d67162ed90ab272d009d9","ACADEMY OF ST. DOROTHY SCHOOL","1305","HYLAN BOULEVARD","1305 HYLAN BOULEVARD","STATEN ISLAND","STATEN ISLAND","5","10305","40.597552422456999","-74.086062042097495","960349.979221489047632","156992.605774054012727","5107505","5032150001.000000000000000","502","50","9601","SI36","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","SCHOOL BASED CHILD CARE - PRESCHOOL",,,"Non-public","Institute Of The Sisters Of St. Dorothy  '","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","31","122","Local"
"0016b3c3e5e8aeadccacf07a9fbb7c76","UNIVERSITY OF NOTRE DAME ALUM- NI CLUB OF STATEN ISLAND","64","BLOOMINGDALE ROAD","64 BLOOMINGDALE ROAD","STATEN ISLAND","STATEN ISLAND","5","10309","40.525718282723197","-74.215997753922906","924201.457502227975056","130883.972684091000701","5086937","5074950075.000000000000000","503","51","22600","SI11","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"UNIVERSITY OF NOTRE DAME ALUM- NI CLUB OF STATEN ISLAND",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","123","Local"
"001a154dfc404f91b93b1cc825ea3d88","FUND FOR THE CITY OF NEW YORK, INC.",,,,,,"0",,"0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000",,,,,"HUMAN SERVICES","LEGAL AND INTERVENTION SERVICES","ANTI-GUN VIOLENCE INITIATIVE",,,,"FUND FOR THE CITY OF NEW YORK, INC.",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES",,,"Local"
"001ebc6821e99be9f3d3984cf1feda0d","GO PROJECT INC","86","4 AVENUE","86 4 AVENUE","NEW YORK","MANHATTAN","1","10003","40.731948937208600","-73.990843352595505","986787.746027422021143","205945.443995515001006","1008997","1005570001.000000000000000","102","2","6100","MN23","CAMPS","CAMPS","CAMP - ALL AGE",,,"Non-public","Go Project Inc","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","2","9","Local"
"00233a82fe4e4f419cb8ba13945ae120","CAMBA INC","19","WINTHROP STREET","19 WINTHROP STREET","BROOKLYN","BROOKLYN","3","11225","40.656793979261003","-73.959516999202194","995482.434359192033298","178566.738343522010837","3115690","3050450100.000000000000000","309","40","79601","BK60","HUMAN SERVICES","NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES","NY NY III SUPPORTED HOUSING-OMH, SUPPORTED HOUSING-OMH",,,,"CAMBA INC",,"City","NYC Department of Health and Mental Hygiene","NYCDOHMH","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","17","71","Local"
"002aa1ec95bc76f71581aeb3acbe3f1c","THE CHILDRENS AID SOCIETY","340","MORRIS AVENUE","340 MORRIS AVENUE","BRONX","BRONX","2","10451","40.813245919791498","-73.924628130463603","1005113.670894560054876","235573.497809102991596","2091127","2023250001.000000000000000","201","8","5100","BX39","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SYEP MAP TO $UCCESS",,,,"THE CHILDRENS AID SOCIETY",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","7","40","Local"
"002cd093804f8431896cf73aaa022fb4","PROJECT RENEWAL INC","8","EAST 3 STREET","8 EAST 3 STREET","NEW YORK","MANHATTAN","1","10003","40.725812990766300","-73.990873046697104","986779.749291657004505","203709.926814428996295","1006546","1004580011.000000000000000","103","2","3602","MN22","HEALTH CARE","SUBSTANCE USE DISORDER TREATMENT PROGRAMS","MEDICALLY SUPERVISED OUTPATIENT-OASAS, VOCATIONAL REHABILITATION-OASAS, MEDICALLY MONITORED WITHDRAWAL-OASAS, MEDICALLY SUPERVISED WITHDRAWAL SERVICES OUTPATIENT-OASAS",,,,"PROJECT RENEWAL INC",,"City","NYC Department of Health and Mental Hygiene","NYCDOHMH","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","1","9","Regional"
"002fc9ecd0fb02985331d7cc7c517c3f","UNITED ACTIVITIES UNLIMITED UAU","15","WILLIAM STREET","15 WILLIAM STREET","STATEN ISLAND","STATEN ISLAND","5","10304","40.631109594225400","-74.077174267934396","962828.945579348015599","169216.056366464006715","5013400","5005080009.000000000000000","501","49","2100","SI37","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","TRAIN & EARN",,,,"UNITED ACTIVITIES UNLIMITED UAU",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","120","Local"
