"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"bk-06-145902","LINK1.0","Live","145902","LINK-021518","Brooklyn","39","306","258 14 STREET","5 AVENUE","4 AVENUE","SW","11215","C4-3A","40.666229710000000","-73.989056620000000","2017-07-31T00:00:00.000","2017-08-31T00:00:00.000","Park Slope-Gowanus","3023670","3010410036","3014100","(40.66622971, -73.98905662)"
"mn-03-158821","LINK5G_Ad","Live",,,"Manhattan","1","103","36 RIVINGTON STREET","RIVINGTON STREET","STANTON STREET","NE","10002","C4-4A","40.7211101","-73.9913664","2022-10-18T00:00:00.000","2023-02-03T00:00:00.000",,,,,"(40.7211101, -73.9913664)"
"mn-05-133690","LINK1.0","Live","133690","mn-05-133690","Manhattan","4","105","333 5 AVENUE","EAST 33 STREET","EAST 32 STREET","SE","10016","C5-2","40.747627260000000","-73.985037160000000","2017-08-12T00:00:00.000","2017-10-20T00:00:00.000","Midtown-Midtown South","1017033","1008620071","1007400","(40.74762726, -73.98503716)"
"bk-02-126506","LINK1.0","Live","126506","bk-02-126506","Brooklyn","33","302","339 LIVINGSTON STREET","FLATBUSH AVENUE","NEVINS STREET","NW","11217","C6-4","40.687648980000000","-73.980423550000000","2016-11-13T00:00:00.000","2017-07-26T00:00:00.000","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","3000483","3001620001","3003700","(40.68764898, -73.98042355)"
"mn-07-135865","LINK1.0","Live","135865","mn-07-135865","Manhattan","7","107","2596 BROADWAY","WEST 98 STREET","WEST 97 STREET","SE","10025","C1-5","40.795773800000000","-73.970751900000000","2017-07-18T00:00:00.000","2017-10-10T00:00:00.000","Upper West Side","1056383","1018690044","1018300","(40.7957738, -73.9707519)"
"mn-12-120334","LINK1.0","Live","120334","mn-12-120334","Manhattan","7","112","600 WEST 162 STREET","BROADWAY","FORT WASHINGTON AVENUE","SW","10032","C1-4","40.837241000000000","-73.942876000000000","2017-11-11T00:00:00.000","2018-02-06T00:00:00.000","Washington Heights South","1063354","1021370026","1024500","(40.837241, -73.942876)"
"mn-06-121836","LINK1.0","Live","121836","mn-06-121836","Manhattan","4","106","909 3 AVENUE","EAST 54 STREET","EAST 55 STREET","NE","10022","C6-6","40.758377120000000","-73.968758900000000","2016-02-28T00:00:00.000","2016-03-18T00:00:00.000","Turtle Bay-East Midtown","1038570","1013280001","1010800","(40.75837712, -73.9687589)"
"mn-10-137852","LINK1.0","Live","137852","mn-10-137852","Manhattan","9","110","1995 ADAM CLAYTON POWELL JR. BOULEVARD","WEST 120 STREET","WEST 119 STREET","SE","10026","C1-4","40.805615000000000","-73.950557000000000","2016-12-06T00:00:00.000","2017-01-20T00:00:00.000","Central Harlem South","1057585","1019040061","1022000","(40.805615, -73.950557)"
"mn-09-134111","LINK1.0","Live","134111","mn-09-134111","Manhattan","7","109","1760 AMSTERDAM AVENUE","WEST 148 STREET","WEST 147 STREET","NW","10031","C1-4","40.826707090000000","-73.946664800000000","2018-03-15T00:00:00.000","2018-08-01T00:00:00.000","Hamilton Heights","1061983","1020790029","1023300","(40.82670709, -73.9466648)"
"mn-05-122061","LINK1.0","Live","122061","mn-05-122061","Manhattan","3","105","400 8 AVENUE","WEST 30 STREET","WEST 29 STREET","NE","10001","C6-3X","40.749537000000000","-73.995245000000000","2016-08-11T00:00:00.000","2016-10-14T00:00:00.000","Midtown-Midtown South","1014306","1007790075","1009500","(40.749537, -73.995245)"
