"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"BX-07-GF22659","LINK5G_NonAd","PreCx",,,"Bronx","11","207","2022-10-28T00:00:00.000","81286","2023-01-04T00:00:00.000",,"3349 WEBSTER AVENUE","Parkside Pl","E GUN HILL ROAD","W","10467","C4-4","-73.8719758","40.8777564","No",,"0",,"Norwood",,"2033550121","BX-429.02","(40.8777564, -73.8719758)"
"BK-16-150013","LINK1.0","Installed",,,"Brooklyn","42","316","2022-01-28T00:00:00.000","90172","2022-04-08T00:00:00.000",,"455 DUMONT AVENUE","JUNIUS STREET","POWELL STREET","N","11212","M1-1","-73.902027","40.6652259","No",,"0",,"Brownsville","3084427","3037800044","BK-910","(40.6652259, -73.902027)"
"MN-03-123344","LINK5G_Ad","Live","123344","9092","Manhattan","1","103","2022-04-01T00:00:00.000",,,,"357 GRAND STREET","GRAND STREET","HESTER STREET","E","10002","C1-5","-73.9891563","40.7164842","No",,"0",,"Chinatown","1004034","1003100020","1001600","(40.7164842, -73.9891563)"
"BX-05-GF22626","LINK5G_Ad","PreCx",,,"Bronx","15","205","2022-11-17T00:00:00.000","90444","2023-01-04T00:00:00.000",,"363 EAST 180 STREET","E 180TH STREET","E 181ST STREET","W","10457","C2-4","-73.8983959","40.8520713","No",,"0",,"Mount Hope",,"2031430132","BX-379","(40.8520713, -73.8983959)"
"QU-12-124571","LINK5G_Ad","Live","124571","SC90851","Queens","27","412","2021-10-08T00:00:00.000",,,,"94-20 SUTPHIN BOULEVARD","95th Avenue","94th Avenue","E","11435","C6-3","-73.806622","40.698501","No",,"0",,"Jamaica","4213959","4099930025","4020800","(40.698501, -73.806622)"
"QU-12-123702","LINK5G_Ad","Live","123702","15000","Queens","27","412","2021-10-08T00:00:00.000",,,,"197-48 JAMAICA AVENUE","Carpenter Avenue","Woodhull Avenue","S","11423","C2-2","-73.7613347","40.7133328","No",,"0",,"Hollis","4231551","4108240011","4050000","(40.7133328, -73.7613347)"
"BK-01-125285","LINK5G_Ad","PreCx","125285","LINK-013131","Brooklyn","33","301","2022-09-23T00:00:00.000","90300","2023-01-04T00:00:00.000",,"640 MANHATTAN AVENUE","BEDFORD AVENUE","NASSAU AVENUE","E","11222","C2-4","-73.9509138","40.7241352","No",,"0",,"Greenpoint","3066103","3026470038","3056900","(40.7241352, -73.9509138)"
"BX-02-152007","LINK5G_Ad","Live","152007",,"Bronx","17","202","2021-11-30T00:00:00.000","90098","2022-02-11T00:00:00.000",,"888 Westchester Avenue","WESTCHESTER AVENUE","DAWSON STREET","W","10459","C1-4","-73.8989841","40.8208057","No",,"0",,"Longwood",,"2026960030","BX-87","(40.8208057, -73.8989841)"
"MN-12-120804","LINK5G_Ad","PreCx","120804","LINK-011457","Manhattan","10","112","2022-09-23T00:00:00.000","90312","2022-10-18T00:00:00.000",,"4188 BROADWAY","W 178 STREET","W 177 STREET","E","10033","C4-4","-73.9376337","40.8482081","No",,"0",,"Washington Heights South","1085811","1021450027","1026300","(40.8482081, -73.9376337)"
"QU-06-GF44814","LINK5G_NonAd","Planning",,,"Queens","29","406","2022-08-09T00:00:00.000","90228","2023-01-04T00:00:00.000",,"2 RUSSELL PLACE","Slocum Crescent","Childrens Lane","S","11375","R3-2","-73.8429278","40.716004","No",,"0",,"Forest Hills","4078312","4032700001","qu-723","(40.716004, -73.8429278)"
"QU-12-GF44584","LINK5G_Ad","Planning",,,"Queens","24","412","2022-09-23T00:00:00.000","90092",,,"139-01 JAMAICA AVENUE","139 STREET","144 STREET","S","11435","C2-4","-73.8129772","40.7026563","No",,"0",,"Briarwood-Jamaica Hills",,"4096730001","214","(40.7026563, -73.8129772)"
"QU-14-123776","LINK5G_Ad","PreCx","123776","SC90610","Queens","31","414","2021-10-08T00:00:00.000",,,,"2-29 BEACH 20TH STREET","Beach 20th Street","Fernside Place","S","11691","C1-2","-73.7544593","40.5972167","No",,"0",,"Far Rockaway-Bayswater","4301264","4157800075","4099801","(40.5972167, -73.7544593)"
"BK-01-GF34906","LINK5G_NonAd","Planning",,,"Brooklyn","33","301","2022-08-09T00:00:00.000","90319","2023-01-04T00:00:00.000",,"419 KENT AVENUE","SOUTH 8TH STREET","BROADWAY","E","11249","C4-3","-73.9684532","40.7101476","No",,"0",,"North Side-South Side","3059494","3021290001","bk-549","(40.7101476, -73.9684532)"
"BX-09-GF22757","LINK5G_Ad","Planning",,,"Bronx","18","209","2022-08-09T00:00:00.000","90205","2022-10-17T00:00:00.000",,"1400 EAST AVENUE","METROPOLITAN AVENUE","PARKCHESTER ROAD","N","10462","C4-2","-73.8601547","40.8355094","No",,"0",,"Parkchester","2096680","2039377501","bx-212","(40.8355094, -73.8601547)"
"QU-12-124531","LINK5G_Ad","Live","124531","LINK-012097","Queens","28","412","2021-10-08T00:00:00.000",,,,"152-21 ROCKAWAY BOULEVARD","Rockaway Boulevard","153rd Street","N","11436","C2-3","-73.7845002","40.6716896","No","Greater JFK","0",,"Baisley Park","4262729","4121040022","4078800","(40.6716896, -73.7845002)"
"QU-12-156461","LINK5G_Ad","Live",,,"Queens","27","412","2021-10-08T00:00:00.000","90096","2021-11-22T00:00:00.000","2022-01-24T00:00:00.000","204-01 HOLLIS AVENUE","HOLLIS AVENUE","109TH AVENUE","E","11412","C2-3","-73.753916","40.7068698","No",,"0",,"Hollis",,"4109070030","508","(40.7068698, -73.753916)"
"QU-03-132963","LINK5G_Ad","Installed","132963","85084","Queens","25","403","2022-03-08T00:00:00.000",,,,"76-23 37 AVENUE","76 STREET","77 STREET","N","11372","C1-3","-73.889197","40.7492916","No",,"0",,"Jackson Heights","4029578","4012760037","4028700","(40.7492916, -73.889197)"
"BK-02-126901","LINK5G_Ad","PreCx","126901","14142","Brooklyn","33","302","2022-09-23T00:00:00.000","78209","2022-10-18T00:00:00.000","2022-12-18T00:00:00.000","172 MONTAGUE STREET","MONTAGUE STREET","REMSEN STREET","E","11201","C5-2A","-73.992442","40.6941177","Yes","Montague Street","0",,"Brooklyn Heights-Cobble Hill","3002103","3002507501","3000900","(40.6941177, -73.992442)"
"BK-09-155704","LINK5G_Ad","Installed",,,"Brooklyn","35","309","2021-08-31T00:00:00.000","90036","2021-09-23T00:00:00.000","2021-11-22T00:00:00.000","1671 BEDFORD AVENUE","BEDFORD AVENUE","SULLIVAN PLACE","S","11225","C2-3","-73.9566925","40.6656564","No",,"0",,"Crown Heights South","3034360","3013040018","323","(40.6656564, -73.9566925)"
"MN-03-123448","LINK5G_Ad","Live","123448","10058","Manhattan","1","103","2022-04-01T00:00:00.000",,,,"94 BAYARD STREET","BAYARD STREET","CANAL STREET","W","10013","C6-1","-73.9993002","40.7160332","Yes","Chinatown","0",,"Chinatown","1002380","1001990027","1002900","(40.7160332, -73.9993002)"
"MN-08-119916","LINK5G_Ad","PreCx","119916","9361","Manhattan","4","108","2022-08-09T00:00:00.000","71860","2022-11-18T00:00:00.000",,"1190 MADISON AVENUE","EAST 87TH STREET","EAST 88TH STREET","W","10128","C1-5","-73.9583376","40.7816695","No",,"0",,"Upper East Side-Carnegie Hill","1046915","1440090014","1015002","(40.7816695, -73.9583376)"
"MN-12-145312","LINK5G_Ad","PreCx","145312","82036","Manhattan","10","112","2022-09-23T00:00:00.000","90314","2023-01-04T00:00:00.000",,"2145 AMSTERDAM AVENUE","W 166 STREET","W 167 STREET","East","10032","C2-4","-73.9375973","40.8387572","No",,"0",,"Washington Heights South","1062967","1021110083","1025100","(40.8387572, -73.9375973)"
"QU-02-124974","LINK1.0","Installed","124974","LINK-011561","Queens","26","402","2022-03-08T00:00:00.000",,,,"48-20 SKILLMAN AVENUE","49 STREET","48 STREET","S","11104","C1-3","-73.9154447","40.7462024","No",,"0",,"Hunters Point-Sunnyside-West Maspeth","4001199","4001350030","4025301","(40.7462024, -73.9154447)"
