"date","borough","direction","main_street","cross_street","type","truck_route","struck_overpass","state_of_operators_license","bin","latitude","longitude","geocoded_column"
"2017-10-25T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","EXIT 1","STRIKE","NO","YES","NJ",,,,
"2021-08-16T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 58th STREET","STRIKE","NO","YES","PA","2233038","40.757719","-73.959396","POINT (-73.959396 40.757719)"
"2014-03-23T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","VA","2075837","40.842945","-73.837598","POINT (-73.837598 40.842945)"
"2021-06-23T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 84th STREET","STRIKE","NO","YES","N/A",,"40.773102","-73.944501","POINT (-73.944501 40.773102)"
"2018-04-06T00:00:00.000","QUEENS","E/B","QUEENS BOULEVARD","WOODHAVEN BLVD","STRIKE","YES","YES","N/A","2248159","40.733479","-73.870480","POINT (-73.87048 40.733479)"
"2014-12-18T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842945","-73.837598","POINT (-73.837598 40.842945)"
"2014-07-24T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2019-09-13T00:00:00.000","QUEENS","W/B","QUEENSBORO BRIDGE","21st STREET","STRIKE","NO","YES","LA","224004F","40.752602","-73.943873","POINT (-73.943873 40.752602)"
"2017-12-09T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2017-10-05T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","SHELL ROAD","STRIKE","NO","YES","FL","7233000","40.582824","-73.974480","POINT (-73.97448 40.582824)"
"2021-06-19T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","EAST 14th STREET","STRIKE","NO","YES","N/A","7233070","40.585019","-73.954903","POINT (-73.954903 40.585019)"
"2016-07-08T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","N/A","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2020-05-31T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","N/A","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2019-08-08T00:00:00.000","QUEENS","N/B","CROSS ISLAND PARKWAY","FRANCIS LEWIS BOULEVARD","STRIKE","NO","YES","N/A","2231930","40.786434","-73.806265","POINT (-73.806265 40.786434)"
"2016-03-29T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2013-01-07T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.843025","-73.837796","POINT (-73.837796 40.843025)"
"2020-11-10T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","VT","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2021-11-11T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","MARKWOOD PLACE","STRIKE","NO","YES","N/A","2230190","40.711773","-73.836038","POINT (-73.836038 40.711773)"
"2014-06-03T00:00:00.000","QUEENS","W/B","GRAND CENTRAL PARKWAY","ROOSEVELT AVENUE","STRIKE","NO","YES","N/A","1055930","40.752716","-73.852024","POINT (-73.852024 40.752716)"
