"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-73.89718748103968 40.83794631113792)","1370422","340375","Crotona Ave","2019-10-19T00:00:00.000","2","CROTONA AVENUE",,"999.0","5.5","Good Condition","1.2","60.0","48.0","2.2","4.9","60.0","8.8","60.0","3.3","4.3","No","None","None"
"POINT (-73.84141724237688 40.6976600503253)","1041147","20066","86 AVENUE","2018-08-26T00:00:00.000","4","107 STREET","86 AVENUE","0.3","8.6","Good Condition","0.6","51.2","30.3","-1.7","-2.8","50.1","11.1","56.9","-15.9","-0.4","No","None","None"
"POINT (-73.95311099495017 40.628617251244854)","1130090","2924","EAST 24 STREET","2018-04-22T00:00:00.000","3","AVENUE I","EAST 24 STREET","0.6","8.1","Missing","-1.2","49.6","60.0","0.5","-7.9","54.4","7.6","51.9","-10.3","-1.4","No","None","None"
"POINT (-74.15032282138301 40.56883236113826)","1152698","9863","ARTHUR KILL ROAD","2018-03-15T00:00:00.000","5","NEWVALE AVENUE","ARTHUR KILL ROAD","0.5","11.1","Missing","-3.0","40.1","16.4","-0.1","3.0","25.9","17.6","44.0","-23.0","-6.5","No","None","None"
"POINT (-73.90543170653538 40.81543555191576)","1004993","869","EAST 152 STREET","2018-03-25T00:00:00.000","2","EAST 152 STREET","TINTON AVENUE","0.5","0.6","Good Condition","-1.0","48.7","60.0","-1.1","-3.4","49.0","6.8","60.4","-6.8","-1.6","No","None","None"
"POINT (-73.84691570756522 40.69889483670896)","1041084","20235","PARK LANE SOUTH","2018-08-24T00:00:00.000","4","PARK LANE SOUTH","FREEDOM DRIVE","1.4","11.2","Good Condition","-0.5","50.4","60.0","-0.5","-5.5","48.7","4.6","64.7","-11.0","0.6","No","None","None"
"POINT (-73.87185250043247 40.72689981766632)","1032978","32566","85 STREET","2018-05-15T00:00:00.000","4","85 STREET","DRY HARBOR ROAD","0.6","4.2","Missing","-4.1","52.2","60.0","-3.6","-4.6","51.5","-1.6","45.1","-11.5","-4.8","No","None","None"
"POINT (-73.9883520547057 40.7467994372694)","1089295","33729","WEST 30 STREET","2018-08-16T00:00:00.000","1","WEST 30 STREET","BROADWAY","0.7","12.8","Good Condition","3.4","47.0","60.0","4.1","-5.0","40.8","9.6","63.6","-4.8","0.5","No","None","None"
"POINT (-73.97956120013767 40.68672450991439)","1107852","22330","LAFAYETTE AVENUE","2018-04-17T00:00:00.000","3","LAFAYETTE AVENUE","FLATBUSH AVENUE","0.9","4.9","Missing","2.1","71.9","60.0","-1.4","-2.8","60.1","9.8","57.2","-6.2","1.6","No","None","None"
"POINT (-73.91543047846446 40.82652390299358)","1004050","30136","EAST 163 STREET","2018-03-29T00:00:00.000","2","TELLER AVENUE","EAST 163 STREET","0.8","10.3","Missing","4.3","42.5","60.0","4.7","-4.3","39.5","26.6","66.1","-18.9","3.5","No","None","None"
"POINT (-74.02146301838647 40.644625232271956)","1128128","24427","2 AVENUE","2018-09-26T00:00:00.000","3","2 AVENUE","58 STREET","0.7","5.7","Missing","0.9","44.3","60.0","0.7","-2.6","40.0","14.0","64.8","-6.6","0.6","No","None","None"
"POINT (-74.03410532323126 40.637391216116505)","1139372","24500","NARROWS AVENUE","2018-05-23T00:00:00.000","3","70 STREET","NARROWS AVENUE","0.5","7.9","Missing","-0.1","47.9","60.0","-2.8","-10.9","44.6","8.4","55.7","-12.9","-0.1","No","None","None"
"POINT (-73.99258290622856 40.64163299710088)","1128542","2456","42 STREET","2018-04-18T00:00:00.000","3","FT HAMILTON PARKWAY","42 STREET","0.7","6.9","Good Condition","0.3","51.4","60.0","-1.3","-2.4","50.6","22.5","54.5","-22.6","0.7","Yes","None","None"
"POINT (-73.8967629725705 40.82203388144189)","1005740","372","INTERVALE AVENUE","2018-04-10T00:00:00.000","2","INTERVALE AVENUE","WESTCHESTER AVENUE","0.8","10.0","Good Condition","0.0","55.3","60.0","0.3","-4.2","65.5","6.9","45.6","-22.2","-2.8","Yes","None","None"
"POINT (-73.964196820598 40.77621584906011)","1097236","17322","5 AVENUE","2018-09-08T00:00:00.000","1","5 AVENUE","EAST 78 STREET","0.6","1.9","Good Condition","-3.7","49.9","60.0","-1.0","-3.0","49.2","3.7","55.5","-4.9","-2.8","No","None","Utility access"
"POINT (-73.87940301989386 40.72237290495365)","1029358","23171","78 STREET","2018-05-15T00:00:00.000","4","78 STREET","62 AVENUE","0.7","3.4","Defective","0.2","53.1","9.7","-0.5","-2.1","47.8","8.6","60.0","-6.1","-0.1","No","None","None"
"POINT (-73.9873778016142 40.595370826633264)","1136101","32078","BAY 41 STREET","2018-05-23T00:00:00.000","3","BENSON AVENUE","BAY 41 STREET","0.3","5.4","Missing","0.1","39.9","60.0","-2.3","-2.3","43.8","9.3","52.1","-12.4","-0.3","Yes","None","None"
