"location","event_date","check_in_from","check_in_to","event_title","job_family","company_name_or_type","qualifications","borough","location_name_and_address"
"Bronx Workforce1 Career Center","Tuesday, March 17, 2020","11:30 AM","11:45 AM","Food Service Screening","Food Service and Accommodations","Kitopi, Maison Kayser, Whole foods","Kitopi: Line Cook - Minimum 1 year of food service experience. (Ex: McDonald's, Shake Shack, Hospitals and school cafeteria)                                                              Maison Kayser - Cashier                            Six months experience.  Must be able to work nights and weekends.  Great customer service experience.                                 Whole Foods - Customer Service/Bakery & Specialty                           18 year old or older.  Ability to work rotating shifts Mon - Sun., nights, weekends and holidays.  Stan and walk for extended times.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Wednesday, March 18, 2020","11:30 AM","11:45 AM","Retail Screening","Sales, Marketing, Wholesaling","Family Dollar","Family Dollar - Cashier                              Six month customer service experience.  Must have open availability.  Must pass background check.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","11:30 AM","11:45 AM","Security Screening","Protective Service","WatchGuard, Sera, Andy Frain Services","WatchGuard, Sera, Andy Frain Services  Security Guard  Full-Time, flexible schedule a must.  Must have Valid 8hr & 16hr certificates, current NYS Security License, HSD/GED . Minimum of 6 months experience as a licensed Security Guard.  Fire Guard Certificate (F01) required for Securitas.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","10:00 AM","10:15 AM","Retail Screening","Transportation, Shipping, Warehousing","Fresh Direct","Fresh Direct- Driver                                                     Prior customer service and delivery experience, Able to lift minimum of 50lbs. Drivers must have clean License with no points. Must be able to work evening/nights.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","1:45 PM","2:00 PM","Security Screening","Protective Service","WatchGuard, Sera, Andy Frain Services","WatchGuard, Sera, Andy Frain Services  Security Guard  Full-Time, flexible schedule a must.  Must have Valid 8hr & 16hr certificates, current NYS Security License, HSD/GED . Minimum of 6 months experience as a licensed Security Guard.  Fire Guard Certificate (F01) required for Securitas.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Wednesday, March 18, 2020","11:30 AM","11:45 AM","Food Service Screening","Food Service and Accommodations","Whole Foods, Maison Kayser","WholeFoods: Customer Service, Bakery & Specialty Services - 18 years or older.  Ability to work rotating shifts Mon - Sun, nights, Weekends and holidays.  Stan and walk for extended times.       Maison Kayser - Cashier                             6 Months experience.  Must be able to work nights and weekends.  Great customer service experience.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Tuesday, March 17, 2020","10:00 AM","10:15 AM","Social Service Screening","Social Work, Child Care, Counseling","Cayuga, Fedcap","Cayuga - Behavioral Specialist              Minimum Associates Degree or 5 years exp. working with children and family's.  NYC, ACS or private agencies Child welfare experience.                                            Fed Cap- Vocational Coordinator                         Bachelor's degree required. Must have minimum of 1 year related.  Experience required.  Justice Involve, Homeless and youth","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","11:30 AM","11:45 AM","Transportation","Customer Service (Non-Sales)","Fresh Direct","Fresh Direct- Driver                                                     Prior customer service and delivery experience, Able to lift minimum of 50lbs. Drivers must have clean License with no points. Must be able to work evening/nights.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Wednesday, March 18, 2020","1:45 PM","2:00 PM","Security Screening","Protective Service","WatchGuard, Sera, Andy Frain Services","WatchGuard, Sera, Andy Frain Services  Security Guard  Full-Time, flexible schedule a must.  Must have Valid 8hr & 16hr certificates, current NYS Security License, HSD/GED . Minimum of 6 months experience as a licensed Security Guard.  Fire Guard Certificate (F01) required for Securitas.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Tuesday, March 17, 2020","10:00 AM","10:15 AM","Drivrer, Warehouse","Sales, Marketing, Wholesaling","Flatrate","Flaterate - Packer, Helper                                                      6months - 1 year packing stock or warehouse.                   Driver  6months - 1year experience.  Class D License","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
