uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
7493ef4fb9c957cd7f29bd66,中国石化(宝合祥加油站),交通设施,加油加气站,北京市,北京市,房山区,北京市房山区窦店镇田家园村,7493ef4fb9c957cd7f29bd66,1,0,116.074914,39.665118,(010)69391871,life,http://api.map.baidu.com/place/detail?uid=7493ef4fb9c957cd7f29bd66&output=html&source=placeapi_v2,,05:00-23:00,5,,,,,,,20,4,,,,,,,116.07521119806,39.665081479338,0
35debf297accb139a6da39cd,壳牌加油站(十三里站),交通设施,加油加气站,北京市,北京市,房山区,北京市房山区107国道小十三里村口南,,1,0,116.106944,39.682376,(010)80332908,life,http://api.map.baidu.com/place/detail?uid=35debf297accb139a6da39cd&output=html&source=placeapi_v2,,00:00-24:00,1,,,,,,,5,2,,,,,,,116.10693036562,39.682381199777,0
d6894618d9caa40c81288acd,北京大东天燃气站,交通设施,加油加气站,北京市,北京市,大兴区,北京市大兴区青云店镇大东新村,,1,0,116.539183,39.681397,,life,http://api.map.baidu.com/place/detail?uid=d6894618d9caa40c81288acd&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,116.53919497702,39.68155518883,0
aa40108b42c04216c4effbb4,中国石化(金燕农良加油站),交通设施,加油加气站,北京市,北京市,大兴区,北京市大兴区G104(京福路),aa40108b42c04216c4effbb4,1,0,116.57682,39.666695,95388,life,http://api.map.baidu.com/place/detail?uid=aa40108b42c04216c4effbb4&output=html&source=placeapi_v2,,06:00-22:00,5,,,,,,,4,2,,,,,,,116.57669161263,39.666565398016,0
1d254710738b4bf8b33c81ac,香河县立新加油站,交通设施,加油加气站,河北省,廊坊市,香河县,廊坊市香河县五百户镇李庄,,1,0,116.980287,39.664662,,life,http://api.map.baidu.com/place/detail?uid=1d254710738b4bf8b33c81ac&output=html&source=placeapi_v2,,00:00-24:00,0.0,,,,,,,2,,,,,,,,116.98026400379,39.664621690178,0
d2ad51a9b60bd841210220b0,鑫海加油站,交通设施,加油加气站,河北省,廊坊市,香河县,河北省廊坊市香河县五百户镇六百户村西,,1,0,117.022999,39.68865,18630616679,life,http://api.map.baidu.com/place/detail?uid=d2ad51a9b60bd841210220b0&output=html&source=placeapi_v2,,00:00-24:00,0.0,,,,,,,4,,,,,,,,117.02265708984,39.688642739115,0
50182e2af48603a2220262f9,宏大加油站,交通设施,加油加气站,河北省,廊坊市,香河县,廊坊市香河县五百户镇香椿营村,,1,0,117.069587,39.673824,(0316)8599858,life,http://api.map.baidu.com/place/detail?uid=50182e2af48603a2220262f9&output=html&source=placeapi_v2,,00:00-23:59,0.0,,,,,,,2,1,,,,,,,,,0
ca4e5b3ce3cdf339725e80cb,北务屯加油站(德辛庄村站),交通设施,加油加气站,河北省,廊坊市,香河县,廊坊市香河县国安线与倪李线交叉口以西,,1,0,117.093637,39.674981,,life,http://api.map.baidu.com/place/detail?uid=ca4e5b3ce3cdf339725e80cb&output=html&source=placeapi_v2,,00:00-23:59,0.0,,,,,,,,,,,,,,,,,0
e2c734e489fed15d15a190ef,中石化三元(西磁加油站),交通设施,加油加气站,北京市,北京市,大兴区,北京市大兴区黄村镇南中轴路,e2c734e489fed15d15a190ef,1,0,116.415988,39.726254,(010)61269986,life,http://api.map.baidu.com/place/detail?uid=e2c734e489fed15d15a190ef&output=html&source=placeapi_v2,,00:00-24:00,1,,,,,,,13,3,,,,,,,116.41590254577,39.726270388635,0
2e833b9f28f39cf3ebe5822c,中国石化(京塘线加油站),交通设施,加油加气站,河北省,廊坊市,香河县,廊坊市香河县安平镇一街京塘路中国石化加油站,,1,0,116.907631,39.702499,95388,life,http://api.map.baidu.com/place/detail?uid=2e833b9f28f39cf3ebe5822c&output=html&source=placeapi_v2,,00:00-24:00,0.0,,,,,,,4,,,,,,,,116.90746132241,39.701745938574,0
149dfef14f5f736f8605bfe7,中国石化加油站,交通设施,加油加气站,河北省,廊坊市,香河县,廊坊市香河县京塘线丽景B区西南侧约80米,149dfef14f5f736f8605bfe7,1,0,116.89727,39.714481,95388,life,http://api.map.baidu.com/place/detail?uid=149dfef14f5f736f8605bfe7&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,3,1,,,,,,,116.89715148894,39.714195225094,0
