uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
ecac3c4bc627e1a916c90583,停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区鹿城大街昕阳家园-B区西北侧约30米,ecac3c4bc627e1a916c90583,1,0,125.658212,43.534843,,life,http://api.map.baidu.com/place/detail?uid=ecac3c4bc627e1a916c90583&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
8255d23a6c3829608b2fb5cd,停车场(春江街),交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区春江街新地税小区,,1,0,125.657735,43.527027,,life,http://api.map.baidu.com/place/detail?uid=8255d23a6c3829608b2fb5cd&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2d37b304443cbd034afc8d57,长春市市场监督管理局双阳分局嵩山路工商所-停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区西双阳大街烟草家园(长春市双阳区烟草专卖局北)西南侧约80米,2d37b304443cbd034afc8d57,1,0,125.655558,43.52942,,life,http://api.map.baidu.com/place/detail?uid=2d37b304443cbd034afc8d57&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,,,,,,,,,125.65535295552,43.529394936264,0
7cad11525a95165330169bea,林溪美郡-1号停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区乐山路林溪美郡,7cad11525a95165330169bea,1,1,125.65589,43.524649,,life,http://api.map.baidu.com/place/detail?uid=7cad11525a95165330169bea&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,4,,,,,,,,,,1
7d00e2840fb2054240afe6ab,长春市社会保险事业管理局双阳分局-停车场,交通设施,停车场,吉林省,长春市,双阳区,吉林省长春市双阳区平湖家属楼东南门双阳大街,7d00e2840fb2054240afe6ab,1,0,125.658276,43.529398,,life,http://api.map.baidu.com/place/detail?uid=7d00e2840fb2054240afe6ab&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
3ab2bf201b2ec9a6e6e9654c,停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区北山路长春市建龙第一城1期西北侧约40米,3ab2bf201b2ec9a6e6e9654c,1,0,125.688825,43.541175,,life,http://api.map.baidu.com/place/detail?uid=3ab2bf201b2ec9a6e6e9654c&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
03f43c099c8a7862a9f0cdfe,停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区双阳大街双阳商贸城东侧约110米,03f43c099c8a7862a9f0cdfe,1,0,125.666224,43.530595,,life,http://api.map.baidu.com/place/detail?uid=03f43c099c8a7862a9f0cdfe&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
2a37f52a5facd3b02fb96d8b,停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区长山路北疆小区东南侧,2a37f52a5facd3b02fb96d8b,1,0,125.668772,43.536208,,life,http://api.map.baidu.com/place/detail?uid=2a37f52a5facd3b02fb96d8b&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
ecac3c4bc627e1a916c90583,停车场,交通设施,停车场,吉林省,长春市,双阳区,长春市双阳区鹿城大街昕阳家园-B区西北侧约30米,ecac3c4bc627e1a916c90583,1,0,125.658212,43.534843,,life,http://api.map.baidu.com/place/detail?uid=ecac3c4bc627e1a916c90583&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
e5a124937bfdbaf1740269ca,停车场,交通设施,停车场,吉林省,长春市,双阳区,双阳区丹江街长春市一六二中学,e5a124937bfdbaf1740269ca,1,0,125.664547,43.534499,,life,http://api.map.baidu.com/place/detail?uid=e5a124937bfdbaf1740269ca&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,,,,,,,,,,,0
