uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
0f69ceb7495715ad2811d119,群乐网咖,休闲娱乐,网吧,湖南省,长沙市,天心区,中意二路758号南郡雅园,,1,0,112.983251,28.037516,13272468462,life,http://api.map.baidu.com/place/detail?uid=0f69ceb7495715ad2811d119&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
d5cf743b0a0af1d69f09f752,兴融网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区市场路98号,d5cf743b0a0af1d69f09f752,1,0,112.988853,28.029922,18508438743,life,http://api.map.baidu.com/place/detail?uid=d5cf743b0a0af1d69f09f752&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,4,,,,,,,,112.98892315938,28.029853099959,0
ccb7ef774d90cb957069d392,长龙网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,暮云镇南托岭社区市场路98号,ccb7ef774d90cb957069d392,1,0,112.988252,28.029857,,life,http://api.map.baidu.com/place/detail?uid=ccb7ef774d90cb957069d392&output=html&source=placeapi_v2,,00:00-24:00,4,,,,,,,10,2,,,,,,,112.9882583073,28.029797795624,0
8d30fb6f02dae86e8bb988f1,代网,休闲娱乐,网吧,湖南省,长沙市,天心区,长沙市天心区北塘路北塘商业城西侧约80米,,1,0,112.987436,28.029237,,life,http://api.map.baidu.com/place/detail?uid=8d30fb6f02dae86e8bb988f1&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
007a0034964a5769d0ff230c,网陌陌网咖,休闲娱乐,网吧,湖南省,长沙市,天心区,长沙市天心区暮云街道中悦领秀城11栋底商,007a0034964a5769d0ff230c,1,0,113.004802,28.032146,13873168056,life,http://api.map.baidu.com/place/detail?uid=007a0034964a5769d0ff230c&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,12,2,,,,,,,113.00476832878,28.032097441206,0
3b95cdc8e4c89b2558f6bebf,魅惑网咖,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区芙蓉南路198号佳园广场3楼,3b95cdc8e4c89b2558f6bebf,1,0,113.001816,28.040049,13556780750,life,http://api.map.baidu.com/place/detail?uid=3b95cdc8e4c89b2558f6bebf&output=html&source=placeapi_v2,,00:00-24:00,2,,,,,,,11,2,,,,,,,113.0019869029,28.040009639679,0
d5cf743b0a0af1d69f09f752,兴融网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区市场路98号,d5cf743b0a0af1d69f09f752,1,0,112.988853,28.029922,18508438743,life,http://api.map.baidu.com/place/detail?uid=d5cf743b0a0af1d69f09f752&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,4,,,,,,,,112.98892315938,28.029853099959,0
ccb7ef774d90cb957069d392,长龙网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,暮云镇南托岭社区市场路98号,ccb7ef774d90cb957069d392,1,0,112.988252,28.029857,,life,http://api.map.baidu.com/place/detail?uid=ccb7ef774d90cb957069d392&output=html&source=placeapi_v2,,00:00-24:00,4,,,,,,,10,2,,,,,,,112.9882583073,28.029797795624,0
8d30fb6f02dae86e8bb988f1,代网,休闲娱乐,网吧,湖南省,长沙市,天心区,长沙市天心区北塘路北塘商业城西侧约80米,,1,0,112.987436,28.029237,,life,http://api.map.baidu.com/place/detail?uid=8d30fb6f02dae86e8bb988f1&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
ee4e359003b0a615bc484259,明扬网络会所,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南长沙市天心区伊莱克斯大道南塘安置小区1区3栋,ee4e359003b0a615bc484259,1,0,113.004128,28.022656,,life,http://api.map.baidu.com/place/detail?uid=ee4e359003b0a615bc484259&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,113.00426028418,28.022653752091,0
8f62c714f2f0c601373a71fd,天石国际烧烤露营基地,休闲娱乐,网吧,湖南省,长沙市,雨花区,长沙市雨花区跳马镇新田村曾家塘组,,1,0,113.071229,28.024383,18570395071,life,http://api.map.baidu.com/place/detail?uid=8f62c714f2f0c601373a71fd&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,1,0,,,,,,,,,0
b310df7adfb7eacbeb12e4ea,极佳网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,大托街道大托村100号,,1,0,112.962206,28.061546,,life,http://api.map.baidu.com/place/detail?uid=b310df7adfb7eacbeb12e4ea&output=html&source=placeapi_v2,3,,0.0,,,,,,,3,2,,,,,,,112.96241220638,28.061559852817,0
6085349ffe27972d43e192d2,神聊网络会所,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区中意二路168号,6085349ffe27972d43e192d2,1,0,112.990502,28.074857,13787260921,life,http://api.map.baidu.com/place/detail?uid=6085349ffe27972d43e192d2&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,112.99026594736,28.074823040819,0
b310df7adfb7eacbeb12e4ea,极佳网吧,休闲娱乐,网吧,湖南省,长沙市,天心区,大托街道大托村100号,,1,0,112.962206,28.061546,,life,http://api.map.baidu.com/place/detail?uid=b310df7adfb7eacbeb12e4ea&output=html&source=placeapi_v2,3,,0.0,,,,,,,3,2,,,,,,,112.96241220638,28.061559852817,0
4bbca65590c7ca707c29bde6,芳香网络会所,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区芙蓉南路新路小区13栋,4bbca65590c7ca707c29bde6,1,0,113.001244,28.066778,,life,http://api.map.baidu.com/place/detail?uid=4bbca65590c7ca707c29bde6&output=html&source=placeapi_v2,,,1.8,,,,,,,12,5,,,,,,,113.001166096,28.066706815011,0
abbfe343fe020be6a1a934ad,金海岸网咖,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区新电路350号,abbfe343fe020be6a1a934ad,1,0,113.007345,28.071846,,life,http://api.map.baidu.com/place/detail?uid=abbfe343fe020be6a1a934ad&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,13,1,,,,,,,113.00738569117,28.071953244944,0
6085349ffe27972d43e192d2,神聊网络会所,休闲娱乐,网吧,湖南省,长沙市,天心区,湖南省长沙市天心区中意二路168号,6085349ffe27972d43e192d2,1,0,112.990502,28.074857,13787260921,life,http://api.map.baidu.com/place/detail?uid=6085349ffe27972d43e192d2&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,112.99026594736,28.074823040819,0
