uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
039a036584031e27ca09f013,中国移动4G+宽带服务站(后周店),生活服务,通讯营业厅,江苏省,常州市,溧阳市,江苏省常州市溧阳市塘马路8-117118号,039a036584031e27ca09f013,1,0,119.392653,31.578328,13775265628,life,http://api.map.baidu.com/place/detail?uid=039a036584031e27ca09f013&output=html&source=placeapi_v2,,07:30-19:00,5,,,,,,,3,1,,,,,,,,,0
6e075220a4831bfd6c3e1bb1,中国电信(后周营业厅),生活服务,通讯营业厅,江苏省,常州市,溧阳市,江苏省常州市溧阳市镇东路28号,6e075220a4831bfd6c3e1bb1,1,0,119.395101,31.577289,(0519)87760100,life,http://api.map.baidu.com/place/detail?uid=6e075220a4831bfd6c3e1bb1&output=html&source=placeapi_v2,,08:00-20:00,0.0,,,,,,,3,,,,,,,,119.39500653344,31.577369028614,0
33c177089cbe680d373a71f0,中国移动(东街店),生活服务,通讯营业厅,江苏省,常州市,溧阳市,常州市溧阳市镇中路别桥镇东建材店西南侧约140米,,1,0,119.393004,31.575564,,life,http://api.map.baidu.com/place/detail?uid=33c177089cbe680d373a71f0&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,119.39289495944,31.575668762575,0
08ad1714b9f4014dd0ff234f,中国电信(别桥振兴东路营业厅),生活服务,通讯营业厅,江苏省,常州市,溧阳市,江苏常州市溧阳市燕山路110号,08ad1714b9f4014dd0ff234f,1,0,119.477522,31.562613,15312513684,life,http://api.map.baidu.com/place/detail?uid=08ad1714b9f4014dd0ff234f&output=html&source=placeapi_v2,,09:00-18:00,,,,,,,,2,,,,,,,,,,0
d9822beb96a8c0152902e14c,中国电信(别桥桥西营业厅),生活服务,通讯营业厅,江苏省,常州市,溧阳市,常州市溧阳市兴城西路与爱国路交叉路口西北侧,,1,0,119.46966,31.563016,,life,http://api.map.baidu.com/place/detail?uid=d9822beb96a8c0152902e14c&output=html&source=placeapi_v2,,09:00-18:00,,,,,,,,2,,,,,,,,,,0
ab5bb8425748d6ce82a12ea3,中国联通(寨桥营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏常州市武进区振兴路2号,ab5bb8425748d6ce82a12ea3,1,0,119.907908,31.584324,,life,http://api.map.baidu.com/place/detail?uid=ab5bb8425748d6ce82a12ea3&output=html&source=placeapi_v2,,09:00-18:00,,,,,,,,2,,,,,,,,,,0
41572e00aa2a27b4b45f1ee9,中国电信(寨桥营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区寨灵路1号,41572e00aa2a27b4b45f1ee9,1,0,119.909025,31.580332,(0519)86260445,life,http://api.map.baidu.com/place/detail?uid=41572e00aa2a27b4b45f1ee9&output=html&source=placeapi_v2,,08:00-19:00,0.0,,,,,,,9,1,,,,,,,,,0
cd152898d145352542e192ee,中国电信便民服务站,生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区寨灵路1号,cd152898d145352542e192ee,1,0,119.907878,31.58348,,life,http://api.map.baidu.com/place/detail?uid=cd152898d145352542e192ee&output=html&source=placeapi_v2,,09:00-18:00,0,,,,,,,9,1,,,,,,,,,0
458ebb6b564b10b4eddfca9d,全网通营业厅,生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区寨灵路1号,,1,0,119.907791,31.583409,,life,http://api.map.baidu.com/place/detail?uid=458ebb6b564b10b4eddfca9d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
470f46fcfd2dabc19e82eac2,中国移动(运村营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区新街8号,470f46fcfd2dabc19e82eac2,1,0,119.986596,31.566927,13776866778,life,http://api.map.baidu.com/place/detail?uid=470f46fcfd2dabc19e82eac2&output=html&source=placeapi_v2,,,0.0,,,,,,,8,,,,,,,,119.98662782493,31.566981307977,0
d146b388c2ee8cde7502698d,中国电信(南宅营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区振南路21号,d146b388c2ee8cde7502698d,1,0,120.039741,31.566852,(0519)86206163,life,http://api.map.baidu.com/place/detail?uid=d146b388c2ee8cde7502698d&output=html&source=placeapi_v2,,08:00-17:00,0.0,,,,,,,4,,,,,,,,120.03968840031,31.566976772651,0
5551ae2e0b6178971e1d11f7,电信营业部(营业处),生活服务,通讯营业厅,江苏省,常州市,武进区,坊东街10附近,5551ae2e0b6178971e1d11f7,1,0,119.914854,31.602199,,life,http://api.map.baidu.com/place/detail?uid=5551ae2e0b6178971e1d11f7&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
5f2b9b38cd926e70e215f9f5,常州移远通信技术有限公司,生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区武宜南路377号8号楼,,1,0,119.939613,31.620989,,life,http://api.map.baidu.com/place/detail?uid=5f2b9b38cd926e70e215f9f5&output=html&source=placeapi_v2,,,,,,,,,,2,2,,,,,,,,,0
8d48fb10fa7679e584154191,中国电信(景德西路营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区景德西路38号,8d48fb10fa7679e584154191,1,0,119.969624,31.599472,"(0519)86511999,(0519)86518618",life,http://api.map.baidu.com/place/detail?uid=8d48fb10fa7679e584154191&output=html&source=placeapi_v2,,08:00-17:30,,,,,,,,3,,,,,,,,,,0
eb3675039664a21800ec014c,中国电信(前黄营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区景德西路38号,eb3675039664a21800ec014c,1,0,119.968718,31.599597,(0519)86511151,life,http://api.map.baidu.com/place/detail?uid=eb3675039664a21800ec014c&output=html&source=placeapi_v2,,08:00-17:30,0,,,,,,,10,1,,,,,,,119.96880654045,31.599737099315,0
2b15ae93b27781684657261c,中国电信(政平营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,常州市武进区礼政路政平幼儿园北侧约130米,2b15ae93b27781684657261c,1,0,120.004127,31.60826,(0519)86256362,life,http://api.map.baidu.com/place/detail?uid=2b15ae93b27781684657261c&output=html&source=placeapi_v2,,08:00-17:00,,,,,,,,5,,,,,,,,,,0
c165340512993804aa175a8d,中国移动社区服务厅,生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区政平街52号,c165340512993804aa175a8d,1,0,120.004031,31.607419,15951225552,life,http://api.map.baidu.com/place/detail?uid=c165340512993804aa175a8d&output=html&source=placeapi_v2,,,0.0,,,,,,,18,,,,,,,,120.00388799636,31.607483202378,0
af1ae56b66f450124307c189,中国电信(戴溪营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区上马路35号,af1ae56b66f450124307c189,1,0,120.067099,31.61265,(0519)88990707,life,http://api.map.baidu.com/place/detail?uid=af1ae56b66f450124307c189&output=html&source=placeapi_v2,,08:00-18:30,0.0,,,,,,,3,,,,,,,,,,0
326cbb6015a2d942ab059dd9,中国移动&联通手机营业厅(文化路),生活服务,通讯营业厅,江苏省,常州市,金坛区,常州市金坛区文化路金坛社头小学北侧约110米,326cbb6015a2d942ab059dd9,1,0,119.46564,31.648295,,life,http://api.map.baidu.com/place/detail?uid=326cbb6015a2d942ab059dd9&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,119.46563399138,31.648444284258,0
52600bc9bdc0bde51ef74d20,中国电信(湟里营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区埠新街80号,52600bc9bdc0bde51ef74d20,1,0,119.72221,31.643986,(0519)83340447,life,http://api.map.baidu.com/place/detail?uid=52600bc9bdc0bde51ef74d20&output=html&source=placeapi_v2,,08:00-17:00,,,,,,,,5,,,,,,,,,,0
318bdef2ee45f5245cbe86c3,中国移动通信(埠新南路),生活服务,通讯营业厅,江苏省,常州市,武进区,常州市武进区湟东路湟里镇人民政府东侧约180米,,1,0,119.725352,31.642743,,life,http://api.map.baidu.com/place/detail?uid=318bdef2ee45f5245cbe86c3&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
98455f4ce12090d7f7eafcee,中国移动(湟里埠新中路中心厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区埠新中路162号,98455f4ce12090d7f7eafcee,1,0,119.719367,31.644377,15006122233,life,http://api.map.baidu.com/place/detail?uid=98455f4ce12090d7f7eafcee&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,119.71934016002,31.644266897711,0
1dff962482d01c9113293591,中国移动(授权专营店),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区埠新中路162号,1dff962482d01c9113293591,1,0,119.716143,31.645483,,life,http://api.map.baidu.com/place/detail?uid=1dff962482d01c9113293591&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,119.71635882237,31.645430719918,0
7f42bedcaf7f6363d7851f23,中国电信(高新区营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,常州市武进区邮电路后街幼托东侧约240米,7f42bedcaf7f6363d7851f23,1,1,119.951537,31.635548,,life,http://api.map.baidu.com/place/detail?uid=7f42bedcaf7f6363d7851f23&output=html&source=placeapi_v2,,09:00-18:00,0,,,,,,,19,3,,,,,,,119.95157388861,31.635432123807,1
93e9be4e5b5b82e972210b28,中国联通(庙桥营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区庙桥镇府前路22号,,1,0,119.987118,31.656824,13186666678,life,http://api.map.baidu.com/place/detail?uid=93e9be4e5b5b82e972210b28&output=html&source=placeapi_v2,,09:00-18:00,,,,,,,,4,,,,,,,,,,0
e2c2de53d005eb324251c047,中国移动(4G庙桥手机城),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区东环路71号,e2c2de53d005eb324251c047,1,0,119.990176,31.655723,,life,http://api.map.baidu.com/place/detail?uid=e2c2de53d005eb324251c047&output=html&source=placeapi_v2,,,,,,,,,,16,,,,,,,,,,0
24982f3da42616cc72455b12,中国电信(庙桥营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,常州市武进区邮电路1号富海通讯广场二楼B5号,,1,0,119.987369,31.656584,"(0519)86461661,18906117755",life,http://api.map.baidu.com/place/detail?uid=24982f3da42616cc72455b12&output=html&source=placeapi_v2,,08:00-20:30,0.0,,,,,,,10,,,,,,,,119.98728552111,31.656540635483,0
87248d960c4bb9b32906ce89,中国移动(礼嘉中心营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,江苏常州市武进区礼坂路百兴商贸城1幢2楼,87248d960c4bb9b32906ce89,1,0,120.017083,31.633512,13806113805,life,http://api.map.baidu.com/place/detail?uid=87248d960c4bb9b32906ce89&output=html&source=placeapi_v2,,,3.2,,,,,,,0,1,,,,,,,120.01709837209,31.633604167126,0
d1301f67ff71d261adb22abb,中国电信(礼嘉营业厅),生活服务,通讯营业厅,江苏省,常州市,武进区,常州市武进区礼嘉镇X312常润发西南90米,d1301f67ff71d261adb22abb,1,0,120.013948,31.629551,(0519)86232444,life,http://api.map.baidu.com/place/detail?uid=d1301f67ff71d261adb22abb&output=html&source=placeapi_v2,,08:00-17:00,,,,,,,,17,,,,,,,,120.01396164106,31.62965130562,0
237e368108cb18f748cc4ac6,建东村委手机营业厅,生活服务,通讯营业厅,江苏省,常州市,武进区,江苏省常州市武进区礼嘉镇建东村委手机营业厅,,1,0,120.046097,31.641394,,life,http://api.map.baidu.com/place/detail?uid=237e368108cb18f748cc4ac6&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
