uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
08f1f1f51464b3d388db731a,潮安九洲医院,医疗,综合医院,广东省,潮州市,潮安区,潮州市潮安区安南路潮安汽车站东南侧,08f1f1f51464b3d388db731a,1,1,116.694036,23.468253,(0768)6633333,hospital,http://api.map.baidu.com/place/detail?uid=08f1f1f51464b3d388db731a&output=html&source=placeapi_v2,0.0,"08:00-11:30,14:00-17:30",0,,,,,,,0,0,,,,,,,116.69380552516,23.468420318174,1
b3aa435de1b4210815764343,潮州市潮安区人民医院,医疗,综合医院,广东省,潮州市,潮安区,新安大道与龙华路交叉口向南150米西侧,b3aa435de1b4210815764343,1,5,116.679505,23.481384,(0768)5818030,hospital,http://api.map.baidu.com/place/detail?uid=b3aa435de1b4210815764343&output=html&source=placeapi_v2,0.0,,1,,,,,,,1,1,,,,,,,116.68001640354,23.481823989312,5
279e6f032bd5e0195e0d020d,潮州市潮安区庵埠华侨医院,医疗,综合医院,广东省,潮州市,潮安区,庵埠镇侨亨路中段,279e6f032bd5e0195e0d020d,1,6,116.687405,23.454468,(0768)6665929,hospital,http://api.map.baidu.com/place/detail?uid=279e6f032bd5e0195e0d020d&output=html&source=placeapi_v2,,"08:30-11:30,14:30-17:30",0.0,,,,,,,7,0,,,,,,,116.68813555104,23.453889783284,6
a269a74f421865fc8e772742,潮安康泰医院,医疗,综合医院,广东省,潮州市,潮安区,广东省潮州市潮安区龙和路12号,,1,0,116.650479,23.514815,,hospital,http://api.map.baidu.com/place/detail?uid=a269a74f421865fc8e772742&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,116.65061428121,23.514855822538,0
08f1f1f595c032ca89db739f,彩塘华侨医院,医疗,综合医院,广东省,潮州市,潮安区,潮州市潮安区潮汕路彩塘路段238号,08f1f1f595c032ca89db739f,1,3,116.663618,23.501679,"(0768)6682490,(0768)6682724",hospital,http://api.map.baidu.com/place/detail?uid=08f1f1f595c032ca89db739f&output=html&source=placeapi_v2,,,0,,,,,,,0,0,,,,,,,116.66378424756,23.501371985364,3
fc7675247165a1fb4f776eb5,沙溪华侨医院,医疗,综合医院,广东省,潮州市,潮安区,潮安区沙溪镇,fc7675247165a1fb4f776eb5,1,2,116.592645,23.535527,(0768)6535771,hospital,http://api.map.baidu.com/place/detail?uid=fc7675247165a1fb4f776eb5&output=html&source=placeapi_v2,,09:00-17:50,0,,,,,,,0,0,,,,,,,116.59325791009,23.535444383296,2
c21db9e54dbd5c8301ff2d9f,东凤华侨医院,医疗,综合医院,广东省,潮州市,潮安区,潮州市潮安区东凤镇府前路中段,c21db9e54dbd5c8301ff2d9f,1,1,116.682585,23.539893,"(0768)6583033,(0768)6585321",hospital,http://api.map.baidu.com/place/detail?uid=c21db9e54dbd5c8301ff2d9f&output=html&source=placeapi_v2,,"08:30-11:30,14:30-17:30",0,,,,,,,2,0,,,,,,,116.682459914,23.540215855753,1
f07d459c9b5a6fb5c4f50d4f,西郊医院,医疗,综合医院,广东省,潮州市,潮安区,潮汕路乌洋市场附近,f07d459c9b5a6fb5c4f50d4f,1,1,116.606381,23.610593,(0768)5224008,hospital,http://api.map.baidu.com/place/detail?uid=f07d459c9b5a6fb5c4f50d4f&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,116.60669498489,23.610654127325,1
1c4491ee2b2578aad8ecedef,潮州市潮安佳华医院,医疗,综合医院,广东省,潮州市,潮安区,广东省潮州市潮安区潮汕路与开明路交汇处东北侧,1c4491ee2b2578aad8ecedef,1,1,116.603778,23.584679,(0768)6300000,hospital,http://api.map.baidu.com/place/detail?uid=1c4491ee2b2578aad8ecedef&output=html&source=placeapi_v2,,,0,,,,,,,3,0,,,,,,,116.60350776999,23.584663578185,1
f8b64e32cad5f0b0ca29152d,潮州康华医院,医疗,综合医院,广东省,潮州市,潮安区,广东省潮州市潮安区新兴路24号,f8b64e32cad5f0b0ca29152d,1,0,116.583854,23.636727,,hospital,http://api.map.baidu.com/place/detail?uid=f8b64e32cad5f0b0ca29152d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
