uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
81407bc2713a35e043ab9aa8,味子夫鸡柳(红星广场店),美食,外国餐厅,重庆市,重庆市,綦江区,重庆市綦江区文龙街道南洲中学对面,,1,0,106.681082,29.042995,15683217819,cater,http://api.map.baidu.com/place/detail?uid=81407bc2713a35e043ab9aa8&output=html&source=placeapi_v2,,09:00-21:30,3.4,,,,,,,,1,,,,,,,,,0
41f23f48ebc2abde0aa8d49c,向日葵西餐,美食,外国餐厅,重庆市,重庆市,綦江区,重庆市綦江区凯旋名城1幢146号,41f23f48ebc2abde0aa8d49c,1,0,106.657241,29.042256,,cater,http://api.map.baidu.com/place/detail?uid=41f23f48ebc2abde0aa8d49c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,106.65714889124,29.042566779689,0
d0279fd2511fccd3260bd0af,享哆味汉堡奶茶(杜市店),美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区杜市镇鹊桥街35号农业银行斜对面,,1,0,106.540731,29.153554,19112245022,cater,http://api.map.baidu.com/place/detail?uid=d0279fd2511fccd3260bd0af&output=html&source=placeapi_v2,,07:00-23:00,3.0,,,,,,,,,,,,,,,106.54086056067,29.153619512721,0
b6e1b0ae219a661da9059d8f,牛扒季牛排寿司店,美食,外国餐厅,重庆市,重庆市,南川区,重庆市南川区大观服务区西区,,1,0,106.987792,29.228299,18983350619,cater,http://api.map.baidu.com/place/detail?uid=b6e1b0ae219a661da9059d8f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,106.98749077979,29.228449684657,0
2d668dfbce7684a3118824cb,桃太郎之屋日式料理(江津店),美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区北固门街7号附5号,2d668dfbce7684a3118824cb,1,0,106.262433,29.29423,15683088916,cater,http://api.map.baidu.com/place/detail?uid=2d668dfbce7684a3118824cb&output=html&source=placeapi_v2,56.0,11:00-21:00,3.7,,,,,,,,0,,,,,,,106.26252479179,29.294179677617,0
198c0758c082854d9cf77957,乔熙家石锅拌饭,美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区鼎山大道58号金科世界城27栋1-1-20号,198c0758c082854d9cf77957,1,0,106.262427,29.274648,13594145312,cater,http://api.map.baidu.com/place/detail?uid=198c0758c082854d9cf77957&output=html&source=placeapi_v2,,10:30-24:00,3.4,,,,,,,,,,,,,,,106.26254763048,29.274678599738,0
9b8b8abd277725967f29bd60,春田料理,美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区瑞安路51号,9b8b8abd277725967f29bd60,1,0,106.277443,29.285168,(023)47886177,cater,http://api.map.baidu.com/place/detail?uid=9b8b8abd277725967f29bd60&output=html&source=placeapi_v2,76.0,11:00-21:30,3.7,,,,,,,,7,,,,,,,106.27742685735,29.285085153396,0
24b5c2a1b9a49ee0ae080f2e,善石石锅拌饭,美食,外国餐厅,重庆市,重庆市,江津区,双福时代广场星街2楼(中国银行和建设银行上面),24b5c2a1b9a49ee0ae080f2e,1,0,106.26036,29.29308,"(023)85538750,15123969754",cater,http://api.map.baidu.com/place/detail?uid=24b5c2a1b9a49ee0ae080f2e&output=html&source=placeapi_v2,,11:00-21:00,4.0,,,,,,,,2,,,,,,,,,0
d6135b5c31ab20262e4733bc,海盗寿司(江津店),美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区老米市街a区d01号,d6135b5c31ab20262e4733bc,1,0,106.260919,29.29182,13870019518,cater,http://api.map.baidu.com/place/detail?uid=d6135b5c31ab20262e4733bc&output=html&source=placeapi_v2,10.0,09:30-22:00,3.4,,,,,,,,,,,,,,,106.26139644551,29.291548581419,0
3244cf6b10125993fb2d6192,禾小家石锅拌饭(重庆江津店),美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区几江街道燕窝穴街194号4幢(云辉丽都D区)3~7号,3244cf6b10125993fb2d6192,1,0,106.267501,29.286656,15730225862,cater,http://api.map.baidu.com/place/detail?uid=3244cf6b10125993fb2d6192&output=html&source=placeapi_v2,,10:00-22:00,,,,,,,,,,,,,,,,106.26770644507,29.28667989757,0
5a098762c8b693384e5547b8,西西里国际汽车城(长风路店),美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区长风路西西里11栋,5a098762c8b693384e5547b8,1,0,106.290072,29.277115,,cater,http://api.map.baidu.com/place/detail?uid=5a098762c8b693384e5547b8&output=html&source=placeapi_v2,,,,,,,,,,,1,,,,,,,106.28835679272,29.277462621393,0
eca0653cf82f283f8c55ec05,土耳其牛排馆,美食,外国餐厅,重庆市,重庆市,江津区,重庆市江津区西江大道祥瑞城,,1,0,106.258533,29.318523,,cater,http://api.map.baidu.com/place/detail?uid=eca0653cf82f283f8c55ec05&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
a0cdbddd9e9d5938cae33c64,享哆味汉堡奶茶(澎湖花园店),美食,外国餐厅,重庆市,重庆市,九龙坡区,重庆市九龙坡区铝城南路2号附65号,a0cdbddd9e9d5938cae33c64,1,0,106.340182,29.311377,17726609018,cater,http://api.map.baidu.com/place/detail?uid=a0cdbddd9e9d5938cae33c64&output=html&source=placeapi_v2,,09:00-02:00,3.6,,,,,,,,0,,,,,,,106.34007997461,29.311487071759,0
b531544361e7cec13ce2312a,韩国烤肉馆(西彭店),美食,外国餐厅,重庆市,重庆市,九龙坡区,重庆市九龙坡区铝城南路4号25幢16号,,1,0,106.33913,29.3034,15213146088,cater,http://api.map.baidu.com/place/detail?uid=b531544361e7cec13ce2312a&output=html&source=placeapi_v2,48.0,,3.5,,,,,,,,0,,,,,,,106.33962329495,29.303412232019,0
1ca44636fe74deab26d2bb61,沈豆花餐馆,美食,外国餐厅,重庆市,重庆市,九龙坡区,九龙坡区西庆路23号附3号,,1,0,106.333603,29.30329,17708343493,cater,http://api.map.baidu.com/place/detail?uid=1ca44636fe74deab26d2bb61&output=html&source=placeapi_v2,50.0,10:00-22:00,3.5,,,,,,,,,,,,,,,106.33363529463,29.303341731697,0
ff6f2097a8527bae5fbe8650,中韩烤肉馆(高职城店),美食,外国餐厅,重庆市,重庆市,巴南区,重庆市巴南区崇仁路83号附8号2-8,,1,0,106.535424,29.355506,13372663699,cater,http://api.map.baidu.com/place/detail?uid=ff6f2097a8527bae5fbe8650&output=html&source=placeapi_v2,46.0,11:00-23:00,3.9,,,,,,,,,,,,,,,106.53496606856,29.3553871457,0
