uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
b11a60675854331177026934,中国移动(石沛镇营业厅),生活服务,通讯营业厅,安徽省,滁州市,全椒县,滁州市全椒县碧云湖路明德小学西侧约140米,,1,0,118.191513,32.174212,,life,http://api.map.baidu.com/place/detail?uid=b11a60675854331177026934&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
e465179f1ee77bcf8d7727f2,中国移动(碧云湖路营业厅),生活服务,通讯营业厅,安徽省,滁州市,全椒县,滁州市全椒县碧云湖路全椒县石沛镇人民政府东北侧,,1,0,118.189644,32.175371,,life,http://api.map.baidu.com/place/detail?uid=e465179f1ee77bcf8d7727f2&output=html&source=placeapi_v2,,08:30-18:00,,,,,,,,,,,,,,,,,,0
8083ffba9c03b5e29f09f773,中国移动(纬四路营业厅),生活服务,通讯营业厅,安徽省,滁州市,全椒县,滁州市全椒县纬四路宇业东方红郡西北侧约110米,,1,0,118.298701,32.155571,,life,http://api.map.baidu.com/place/detail?uid=8083ffba9c03b5e29f09f773&output=html&source=placeapi_v2,,,,,,,,,,17,,,,,,,,,,0
212044ce655988d371210b97,中国移动,生活服务,通讯营业厅,安徽省,滁州市,全椒县,安徽省滁州市全椒县儒林路,,1,0,118.323107,32.181218,17855011510,life,http://api.map.baidu.com/place/detail?uid=212044ce655988d371210b97&output=html&source=placeapi_v2,,08:00-19:00,,,,,,,,1,,,,,,,,,,0
7a65009259fe1a538b2fb5fe,中国电信(纬四路东方红郡快递合作店),生活服务,通讯营业厅,安徽省,滁州市,全椒县,安徽省滁州市全椒县纬四路东方红郡1-3号楼商铺103室,,1,0,118.302147,32.155385,,life,http://api.map.baidu.com/place/detail?uid=7a65009259fe1a538b2fb5fe&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7f2f390bab838b0adc1e522d,中国电信(育英路营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区大成国际大门口,,1,0,118.305344,32.213511,(0550)3972000,life,http://api.map.baidu.com/place/detail?uid=7f2f390bab838b0adc1e522d&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,2,,,,,,,,118.3054206011,32.213635768446,0
2cf8b2e32f9b18a2882fb569,中国电信(乌衣营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区安宁路东方红幼儿园东南侧,2cf8b2e32f9b18a2882fb569,1,0,118.436286,32.208482,,life,http://api.map.baidu.com/place/detail?uid=2cf8b2e32f9b18a2882fb569&output=html&source=placeapi_v2,,09:00-18:30,0.0,,,,,,,12,,,,,,,,118.43622343054,32.208399005306,0
dbd5809c16a47cb78e55ecef,中国移动宽带电视服务中心,生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区合浦路9号,dbd5809c16a47cb78e55ecef,1,0,118.436007,32.208679,"15155000987,18726610086",life,http://api.map.baidu.com/place/detail?uid=dbd5809c16a47cb78e55ecef&output=html&source=placeapi_v2,,,0,,,,,,,28,1,,,,,,,,,0
9e42f8556e1f9654740269a6,中国移动(康泰路营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区康泰路东方红幼儿园北侧约200米,9e42f8556e1f9654740269a6,1,0,118.435745,32.210717,13955010900,life,http://api.map.baidu.com/place/detail?uid=9e42f8556e1f9654740269a6&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,118.43556762081,32.210776188779,0
be22e1e2f3b45deb9e82ea18,中国移动(乌衣镇营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区安宁路新苗幼儿园(乌衣镇第二社区卫生服务站西)东南侧约130米,be22e1e2f3b45deb9e82ea18,1,0,118.430942,32.212304,,life,http://api.map.baidu.com/place/detail?uid=be22e1e2f3b45deb9e82ea18&output=html&source=placeapi_v2,,,0,,,,,,,5,1,,,,,,,118.43082781868,32.212211747191,0
adb26daafd75007ab726550e,中国移动(兴隆路营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区兴隆路桂香园,,1,0,118.475461,32.185209,,life,http://api.map.baidu.com/place/detail?uid=adb26daafd75007ab726550e&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
e5c25b7237050a654151c0ad,中国移动5G+营业厅,生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区醉翁西路金城华府12-1116号,,1,0,118.327475,32.247663,15655096677,life,http://api.map.baidu.com/place/detail?uid=e5c25b7237050a654151c0ad&output=html&source=placeapi_v2,,08:30-19:45,,,,,,,,5,,,,,,,,,,0
5e9c5ad008277296616858d6,中国电信,生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区清风明月府西路30号,,1,0,118.32597,32.247032,18055080125,life,http://api.map.baidu.com/place/detail?uid=5e9c5ad008277296616858d6&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,,,,,,,,,,,0
6c6f1982952053ef54bfffb8,中国电信(卓越便民服务),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区南谯南路北京城建·珑熙庄园南侧约30米,,1,0,118.344951,32.246906,,life,http://api.map.baidu.com/place/detail?uid=6c6f1982952053ef54bfffb8&output=html&source=placeapi_v2,,,5.0,,,,,,,3,1,,,,,,,118.34495513708,32.247072047025,0
f9fd60625bf31d1c0e0e6b93,中国移动(常山乡营业部),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区X003常山医院北侧约70米,,1,0,117.993327,32.261733,,life,http://api.map.baidu.com/place/detail?uid=f9fd60625bf31d1c0e0e6b93&output=html&source=placeapi_v2,,,0.0,,,,,,,2,,,,,,,,117.99311275746,32.261867666569,0
3b4cde4ad2fc8ba09d95de8d,中国移动(长江商贸城营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽滁州市琅琊区丰乐南路长江商贸城a区1栋,3b4cde4ad2fc8ba09d95de8d,1,0,118.323394,32.277588,13965999920,life,http://api.map.baidu.com/place/detail?uid=3b4cde4ad2fc8ba09d95de8d&output=html&source=placeapi_v2,,,0,,,,,,,9,1,,,,,,,,,0
742decefc303f2aa78f796cf,中国移动(东坡西路营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区东坡西路龙蟠东苑门面房金豪大酒店对面,742decefc303f2aa78f796cf,1,0,118.32113,32.255927,,life,http://api.map.baidu.com/place/detail?uid=742decefc303f2aa78f796cf&output=html&source=placeapi_v2,,,,,,,,,,8,,,,,,,,118.32113460728,32.255591401717,0
8c36a673185d93b48bfc0652,滁州学院电信营业厅,生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区清流路772-6号,,1,0,118.31746,32.279892,18955041234,life,http://api.map.baidu.com/place/detail?uid=8c36a673185d93b48bfc0652&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
14f25639f7cebc683686f471,中国移动(滁州学院校园店),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区强体路与益智路交叉口东北150米,14f25639f7cebc683686f471,1,0,118.318416,32.28072,13905501406,life,http://api.map.baidu.com/place/detail?uid=14f25639f7cebc683686f471&output=html&source=placeapi_v2,,09:00-19:00,,,,,,,,1,,,,,,,,,,0
67283e2664db5b6db23c81f2,中国电信(永乐北路店),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区永乐北路宇业·天逸华府杏园东北侧约40米,,1,0,118.330978,32.262399,18955048222,life,http://api.map.baidu.com/place/detail?uid=67283e2664db5b6db23c81f2&output=html&source=placeapi_v2,,09:00-18:00,,,,,,,,5,,,,,,,,118.33097459284,32.262125819669,0
8eb18cf4c3bfacd4e81e979e,中国电信(滁州学院营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区龙蟠街道滁州市职业技术学院,8eb18cf4c3bfacd4e81e979e,1,0,118.317649,32.280061,,life,http://api.map.baidu.com/place/detail?uid=8eb18cf4c3bfacd4e81e979e&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,3,,,,,,,,118.31758908616,32.280037128072,0
e139f08d4daab9d45cd4fe26,滁州中维电信通讯工程有限公司,生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区花园东路与阳明北路电子商务园正对面,,1,0,118.346374,32.272088,,life,http://api.map.baidu.com/place/detail?uid=e139f08d4daab9d45cd4fe26&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,118.34620773608,32.272247750532,0
6fd23dacee3616198d7727d5,中国电信(琅琊府三悦澜山营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,滁州市南谯区阳明南路滁州市东坡中学西侧约50米,,1,0,118.347489,32.25633,18098309600,life,http://api.map.baidu.com/place/detail?uid=6fd23dacee3616198d7727d5&output=html&source=placeapi_v2,,08:00-19:00,,,,,,,,6,,,,,,,,118.34780208913,32.256330361822,0
8899950662a3e64d932ca3a1,滁州科技馆-员工区域,生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区龙蟠大道99号滁州科技馆F2层,8899950662a3e64d932ca3a1,1,0,118.338306,32.263302,,life,http://api.map.baidu.com/place/detail?uid=8899950662a3e64d932ca3a1&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2219c8161ac1f86cf4231068,中国移动(南谯北路营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽滁州市琅琊区南谯北路717-102号,2219c8161ac1f86cf4231068,1,0,118.3208,32.308539,"15955027028,4008057715",life,http://api.map.baidu.com/place/detail?uid=2219c8161ac1f86cf4231068&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,15,,,,,,,,,,0
727c1f056adecd93f603b810,中国移动(凤阳路营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区凤阳路99号,727c1f056adecd93f603b810,1,0,118.325043,32.30544,13855081860,life,http://api.map.baidu.com/place/detail?uid=727c1f056adecd93f603b810&output=html&source=placeapi_v2,,08:30-18:00,,,,,,,,9,,,,,,,,118.32491715979,32.305278612053,0
606ab0d015e5a5290f3dda8b,中国联通南谯北路营业厅,生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区南谯北路731号,606ab0d015e5a5290f3dda8b,1,0,118.32127,32.308173,(0550)7110814,life,http://api.map.baidu.com/place/detail?uid=606ab0d015e5a5290f3dda8b&output=html&source=placeapi_v2,,09:00-18:00,0,,,,,,,13,1,,,,,,,118.32116428909,32.308146419342,0
22e11407246122b4d5b74e11,中国电信(清流路营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区西门子路168号,22e11407246122b4d5b74e11,1,0,118.329256,32.300636,(0550)3084218,life,http://api.map.baidu.com/place/detail?uid=22e11407246122b4d5b74e11&output=html&source=placeapi_v2,,08:00-18:00,0,,,,,,,15,3,,,,,,,118.32952239754,32.300477898823,0
9f9a3bca790c62b0eb56fa40,中国移动(南谯中路营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区南谯中路与湖心路交叉口东北侧万达广场F1,9f9a3bca790c62b0eb56fa40,1,0,118.332426,32.293382,,life,http://api.map.baidu.com/place/detail?uid=9f9a3bca790c62b0eb56fa40&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,118.33260618244,32.293428460984,0
75acd012e6eece6e01294fe8,中国移动(收费店),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区天长东路289号,75acd012e6eece6e01294fe8,1,0,118.331505,32.314452,(0550)10086,life,http://api.map.baidu.com/place/detail?uid=75acd012e6eece6e01294fe8&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,25,,,,,,,,118.33148809032,32.31450156366,0
63c954d26906485726e0a034,中国电信(银花新村营业厅),生活服务,通讯营业厅,安徽省,滁州市,南谯区,安徽省滁州市南谯区湖心西路银花新村15栋,63c954d26906485726e0a034,1,0,118.331334,32.293066,15305502562,life,http://api.map.baidu.com/place/detail?uid=63c954d26906485726e0a034&output=html&source=placeapi_v2,,07:45-20:00,5,,,,,,,2,1,,,,,,,118.33124330003,32.293039739912,0
ba791d74cb8c3d714bcc4a7b,中国移动(紫薇北路营业厅),生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区紫薇北路1219号,ba791d74cb8c3d714bcc4a7b,1,0,118.331098,32.310412,18955005640,life,http://api.map.baidu.com/place/detail?uid=ba791d74cb8c3d714bcc4a7b&output=html&source=placeapi_v2,,,,,,,,,,9,,,,,,,,118.33122051655,32.310478924166,0
28dc986ab9856e7f43afe646,中国电信天长东路营业厅,生活服务,通讯营业厅,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区天长东路176号,,1,0,118.327916,32.313211,18955002750,life,http://api.map.baidu.com/place/detail?uid=28dc986ab9856e7f43afe646&output=html&source=placeapi_v2,,,,,,,,,,11,,,,,,,,118.32784370619,32.313359921273,0
