uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
75aeda9054d6e30397f08c00,仕平商务宾馆,酒店,快捷酒店,安徽省,滁州市,全椒县,安徽省滁州市全椒县吴敬梓路631号,75aeda9054d6e30397f08c00,1,0,118.284423,32.115005,(0550)5187000,hotel,http://api.map.baidu.com/place/detail?uid=75aeda9054d6e30397f08c00&output=html&source=placeapi_v2,0.0,,0.0,,0.0,,0.0,0.0,,30,0,,,0,0,,,118.2846481764,32.114910855402,0
5a5ed43a837fabc9fb2d6139,贝壳酒店(全椒十字店),酒店,快捷酒店,安徽省,滁州市,全椒县,安徽省滁州市全椒县经二路65号,,1,0,118.310231,32.161787,(0550)2309258,hotel,http://api.map.baidu.com/place/detail?uid=5a5ed43a837fabc9fb2d6139&output=html&source=placeapi_v2,,,5.0,,2.0,,0,0,,38,4,,,0,0,,,,,0
a0f680462a2061a2028972eb,天天快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区中都大道2888号五金机电城24号楼109号,,1,0,118.327636,32.211656,(0550)3019188,hotel,http://api.map.baidu.com/place/detail?uid=a0f680462a2061a2028972eb&output=html&source=placeapi_v2,,,4.1,,3.3,,3.3,3.3,,15,5,,,0,0,,,,,0
52acb5b6a89b4e7281288a8e,滁州许家快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区安宁西路41号,,1,0,118.43068,32.212506,15256689868,hotel,http://api.map.baidu.com/place/detail?uid=52acb5b6a89b4e7281288a8e&output=html&source=placeapi_v2,,,4.1,,4.1,,4.1,4.1,,29,7,,,0,0,,,,,0
31b8e3a35d888666f2193721,水云阁商务宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区宁东路58号,31b8e3a35d888666f2193721,1,0,118.440617,32.205561,"(0550)3300666,18155072111",hotel,http://api.map.baidu.com/place/detail?uid=31b8e3a35d888666f2193721&output=html&source=placeapi_v2,,,3.1,,3.1,,3.1,3.1,,33,1,,,0,0,,,118.44067243411,32.205631567439,0
1eb0a51dd2464a208f1a89ab,合成商务宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区双庙路239号,,1,0,118.445596,32.198143,(0550)3877766,hotel,http://api.map.baidu.com/place/detail?uid=1eb0a51dd2464a208f1a89ab&output=html&source=placeapi_v2,,,4.9,,5.0,,5.0,5.0,,35,6,,,0,0,,,,,0
2002f9b58bb967525b1093e4,潭香阁酒店,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区滁宁西路20号,2002f9b58bb967525b1093e4,1,0,118.433286,32.209839,(0550)3919599,hotel,http://api.map.baidu.com/place/detail?uid=2002f9b58bb967525b1093e4&output=html&source=placeapi_v2,,,0,,0,,0,0,,6,1,,,0,0,,,118.43342182676,32.209976406388,0
a4e0a957f46f7ff3cf06a4fd,龙馨快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区恒丰西路1-1号,a4e0a957f46f7ff3cf06a4fd,1,0,118.312615,32.234079,13095507559,hotel,http://api.map.baidu.com/place/detail?uid=a4e0a957f46f7ff3cf06a4fd&output=html&source=placeapi_v2,,,2.8,,3.0,,3.0,3.0,,72,7,,,0,0,,,,,0
01eac4bc5f9aad415b109354,悦客之家快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区恒丰西路9号,01eac4bc5f9aad415b109354,1,0,118.312829,32.234082,(0550)3821666,hotel,http://api.map.baidu.com/place/detail?uid=01eac4bc5f9aad415b109354&output=html&source=placeapi_v2,,,3.9,,3.6,,3.6,3.6,,70,45,,,0,0,,,118.3128268785,32.23378881406,0
70814ede032ae7189e9d68b2,科家快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,滁州市南谯区恒丰路城南·京华园南苑,,1,0,118.312397,32.233467,,hotel,http://api.map.baidu.com/place/detail?uid=70814ede032ae7189e9d68b2&output=html&source=placeapi_v2,,,,,0,,0,0,,7,0,,,0,0,,,,,0
9e7556ed5bf5294aa4c75693,如家·neo(滁州丰乐大道店),酒店,快捷酒店,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区丰乐大道1899号长江商贸城b区1栋1~4楼,,1,0,118.321295,32.275305,(0550)3217688,hotel,http://api.map.baidu.com/place/detail?uid=9e7556ed5bf5294aa4c75693&output=html&source=placeapi_v2,,,4.2,,4.2,,4.2,4.2,,50,104,,,0,0,,,118.32116947232,32.275324871362,0
16e0353647e47540f32d8330,顾老三酒店,酒店,快捷酒店,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区新锐巷长乐巷5-112号,,1,0,118.314765,32.269542,13956308773,hotel,http://api.map.baidu.com/place/detail?uid=16e0353647e47540f32d8330&output=html&source=placeapi_v2,,,0,,0,,0,0,,9,0,,,0,0,,,,,0
0e35632284f7879e3be4a63b,格林豪泰快捷酒店(世贸广场龙蟠店),酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区丰乐大道1899号,0e35632284f7879e3be4a63b,1,0,118.322382,32.255179,(0550)3762777,hotel,http://api.map.baidu.com/place/detail?uid=0e35632284f7879e3be4a63b&output=html&source=placeapi_v2,,,4.3,,4.1,,4.1,4.1,,111,55,,,0,0,,,118.32257928915,32.255524321332,0
7b3651c7373f28bf04026f11,文昌商务宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区草塘路81号,7b3651c7373f28bf04026f11,1,0,118.320088,32.263387,(0550)2172008,hotel,http://api.map.baidu.com/place/detail?uid=7b3651c7373f28bf04026f11&output=html&source=placeapi_v2,,,2.2,,2.2,,2.2,2.2,,119,3,,,0,0,,,118.31994093802,32.263445614906,0
120a45a8e99a38a1223bf247,傲兴电竞酒店,酒店,快捷酒店,安徽省,滁州市,南谯区,滁州市南谯区南直隶路龙蟠集贸市场南侧约90米,120a45a8e99a38a1223bf247,1,0,118.317067,32.254938,(0550)3020999,hotel,http://api.map.baidu.com/place/detail?uid=120a45a8e99a38a1223bf247&output=html&source=placeapi_v2,,,5,,0,,0,0,,8,4,,,0,0,,,118.31728878712,32.255086153693,0
6bef4747e0ca419d276e98f1,速8酒店(东坡西路店),酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区全椒南路622号,6bef4747e0ca419d276e98f1,1,0,118.32091,32.255219,(0550)3177999,hotel,http://api.map.baidu.com/place/detail?uid=6bef4747e0ca419d276e98f1&output=html&source=placeapi_v2,,,4.3,,4.3,,4.3,4.3,,200,22,,,0,0,,,118.3209110954,32.255456049569,0
482651bfe4f53c682806ce60,汉庭酒店(滁州科教商业广场店),酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区东坡西路22号科教商业广场1楼,482651bfe4f53c682806ce60,1,0,118.31709,32.254846,(0550)7126999,hotel,http://api.map.baidu.com/place/detail?uid=482651bfe4f53c682806ce60&output=html&source=placeapi_v2,,,4.7,,4.7,,4.7,4.7,,60,25,,,0,0,,,118.31730308455,32.254842630406,0
038d341f174e4b9e14c8f657,龙蟠凤栖商务宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区永乐北路169号,038d341f174e4b9e14c8f657,1,0,118.331635,32.263585,(0550)3045666,hotel,http://api.map.baidu.com/place/detail?uid=038d341f174e4b9e14c8f657&output=html&source=placeapi_v2,0.0,,4.9,,4.2,,4.4,4.7,,56,4,,,0,0,,,118.3314456912,32.263621777282,0
416f9b805aa62f57a204646b,尚客优酒店(长江商贸城店),酒店,快捷酒店,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区丰乐大道1899号,,1,0,118.322878,32.277398,(0550)3215777,hotel,http://api.map.baidu.com/place/detail?uid=416f9b805aa62f57a204646b&output=html&source=placeapi_v2,,,4.6,,4.7,,4.7,4.7,,49,22,,,0,0,,,,,0
481aadb3580e5fe926d2bb76,茅嘉快捷宾馆,酒店,快捷酒店,安徽省,滁州市,南谯区,安徽省滁州市南谯区龙蟠大道与阳明路交叉路口(高速东方天地公寓),481aadb3580e5fe926d2bb76,1,0,118.347302,32.261229,(0550)3045988,hotel,http://api.map.baidu.com/place/detail?uid=481aadb3580e5fe926d2bb76&output=html&source=placeapi_v2,,,4.0,,4.1,,4.1,4.1,,108,37,,,0,0,,,118.34729887096,32.261064925986,0
