uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
6ec58c06f211fd842bd7ab75,百众地产,生活服务,房产中介机构,广东省,东莞市,,广东省东莞市东溪西路启铭商务楼4楼,,1,0,113.662931,22.902885,,life,http://api.map.baidu.com/place/detail?uid=6ec58c06f211fd842bd7ab75&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,,,,,,,,,,,0
0763f47bab2d9751a21de996,康华地产,生活服务,房产中介机构,广东省,东莞市,,广东省东莞市会展东路1号名都家居广场2栋9楼,,1,0,113.669129,22.90838,,life,http://api.map.baidu.com/place/detail?uid=0763f47bab2d9751a21de996&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2989feed23833981631c6787,宏鑫地产,生活服务,房产中介机构,广东省,东莞市,,广东省东莞市南五天平路8号,,1,0,113.674729,22.904289,(0769)88365555,life,http://api.map.baidu.com/place/detail?uid=2989feed23833981631c6787&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
1896dd84a0fa4cfecbfa5f6e,运峰地产,生活服务,房产中介机构,广东省,东莞市,,广东省东莞市大迳路1号中信富春山居4栋107号铺,,1,0,113.751675,22.917061,15818290486,life,http://api.map.baidu.com/place/detail?uid=1896dd84a0fa4cfecbfa5f6e&output=html&source=placeapi_v2,,09:00-21:00,0.0,,,,,,,3,2,,,,,,,113.75175044604,22.917012408953,0
2180ef9120d852e01d1d111f,光怡地产(凯东分行),生活服务,房产中介机构,广东省,东莞市,,广东省东莞市中央街凯东新城凯旋阁d栋,2180ef9120d852e01d1d111f,1,0,113.849029,22.907406,(0769)81883299,life,http://api.map.baidu.com/place/detail?uid=2180ef9120d852e01d1d111f&output=html&source=placeapi_v2,,09:00-20:00,3,,,,,,,9,,,,,,,,,,0
22cd15452ca895d54207c190,住商不动产(玉兰街店),生活服务,房产中介机构,广东省,东莞市,,东莞市大岭山镇凯东中央街S172铺,22cd15452ca895d54207c190,1,0,113.85022,22.90791,15876446664,life,http://api.map.baidu.com/place/detail?uid=22cd15452ca895d54207c190&output=html&source=placeapi_v2,,09:00-20:30,,,,,,,,7,,,,,,,,113.85028829298,22.907778993223,0
89c36f6b46b9cf57d42ce279,韩江地产,生活服务,房产中介机构,广东省,东莞市,,东莞市向东路大岭山镇矮岭冚综合市场北侧约40米,,1,0,113.839943,22.902879,,life,http://api.map.baidu.com/place/detail?uid=89c36f6b46b9cf57d42ce279&output=html&source=placeapi_v2,,09:00-20:30,,,,,,,,4,,,,,,,,,,0
fc86dfbe58992c7bcb213d47,辰光地产,生活服务,房产中介机构,广东省,东莞市,,东莞市上场南街正喆花园西侧约50米,fc86dfbe58992c7bcb213d47,1,0,113.853323,22.901109,(0769)33326216,life,http://api.map.baidu.com/place/detail?uid=fc86dfbe58992c7bcb213d47&output=html&source=placeapi_v2,,08:30-21:00,,,,,,,,7,,,,,,,,113.85335387012,22.901169618329,0
d0a0ca6002376e8ab5f42fde,韩江地产,生活服务,房产中介机构,广东省,东莞市,,广东省东莞市长富街33号101号,,1,0,113.848359,22.90203,,life,http://api.map.baidu.com/place/detail?uid=d0a0ca6002376e8ab5f42fde&output=html&source=placeapi_v2,,09:00-20:00,,,,,,,,4,,,,,,,,113.8482364527,22.902269956674,0
8d920b10399af4fa5e0d0283,德诚置业,生活服务,房产中介机构,广东省,东莞市,,东莞市新兴二巷德顺居东北侧约60米,,1,0,113.847871,22.910845,,life,http://api.map.baidu.com/place/detail?uid=8d920b10399af4fa5e0d0283&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
