uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
111ceb74a64e74236c4760db,闽侯县青口镇信道馆,运动健身,体育场馆,福建省,福州市,闽侯县,福建福州市闽侯县青口镇大埕村村委会旁,,1,0,119.353059,25.880952,18659999965,life,http://api.map.baidu.com/place/detail?uid=111ceb74a64e74236c4760db&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
d1a72aa2434f9c68bca8223c,船尾游泳馆,运动健身,体育场馆,福建省,福州市,闽侯县,福州市闽侯县青口镇大义船尾村381号,d1a72aa2434f9c68bca8223c,1,0,119.35224,25.887431,13055296755,life,http://api.map.baidu.com/place/detail?uid=d1a72aa2434f9c68bca8223c&output=html&source=placeapi_v2,,08:00-21:30,0,,,,,,,4,1,,,,,,,119.3520894313,25.887406787954,0
7ae033a9c002caea17c8f635,闽侯县祥谦五虎山小学-体艺馆,运动健身,体育场馆,福建省,福州市,闽侯县,福州市闽侯县辅澜路闽侯县祥谦五虎山小学,7ae033a9c002caea17c8f635,1,0,119.347327,25.915158,,life,http://api.map.baidu.com/place/detail?uid=7ae033a9c002caea17c8f635&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
4aece14198a7a9f32d47331a,东南明正跆拳道,运动健身,体育场馆,福建省,福州市,闽侯县,福州市闽侯县五虎路与洋山路交叉路口往西南约70米,,1,0,119.350801,25.916675,18558768566,life,http://api.map.baidu.com/place/detail?uid=4aece14198a7a9f32d47331a&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,119.35067712796,25.916955385016,0
31470061aa2ce178250bd02f,星耀台球,运动健身,体育场馆,福建省,福州市,闽侯县,福州市闽侯县辅澜路闽侯县祥谦五虎山小学东北侧约110米,,1,0,119.348091,25.916472,,life,http://api.map.baidu.com/place/detail?uid=31470061aa2ce178250bd02f&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,119.34820336616,25.916412307255,0
379317f4ed5dd6d6c91b95b6,实践咏春拳馆,运动健身,体育场馆,福建省,福州市,闽侯县,青口镇海韵A区1-95店面二楼,379317f4ed5dd6d6c91b95b6,1,0,119.381092,25.909709,18559907799,life,http://api.map.baidu.com/place/detail?uid=379317f4ed5dd6d6c91b95b6&output=html&source=placeapi_v2,,18:30-23:46,,,,,,,,2,,,,,,,,,,0
b49672425a7bb34230169bf7,东南冠军跆拳道俱乐部,运动健身,体育场馆,福建省,福州市,闽侯县,福建省福州市闽侯县青长路3楼,b49672425a7bb34230169bf7,1,0,119.388,25.900531,"(0591)28187777,15659371123",life,http://api.map.baidu.com/place/detail?uid=b49672425a7bb34230169bf7&output=html&source=placeapi_v2,,08:30-21:30,,,,,,,,4,,,,,,,,,,0
cd65b73d993a978403ff2dd0,青口镇青圃龙舟俱乐部,运动健身,体育场馆,福建省,福州市,闽侯县,福建省福州市闽侯县青口镇白水路88号,cd65b73d993a978403ff2dd0,1,0,119.387071,25.898263,13799990142,life,http://api.map.baidu.com/place/detail?uid=cd65b73d993a978403ff2dd0&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,,,,,,,,,,,0
3a8e528abdc36caa51e5c583,毅童星球少儿篮球俱乐部(青口校区),运动健身,体育场馆,福建省,福州市,闽侯县,福建省福州市闽侯县新城路66号,,1,0,119.380183,25.904836,13960960762,life,http://api.map.baidu.com/place/detail?uid=3a8e528abdc36caa51e5c583&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bdbf9025551c03c27f29bd59,龙御跆拳道,运动健身,体育场馆,福建省,福州市,闽侯县,福建省福州市闽侯县青长路旺丰超市4层,bdbf9025551c03c27f29bd59,1,0,119.388005,25.900658,15659801192,life,http://api.map.baidu.com/place/detail?uid=bdbf9025551c03c27f29bd59&output=html&source=placeapi_v2,,08:30-21:30,5,,,,,,,8,1,,,,,,,,,0
3c5c4802d8181f0c2cb96dd2,友福俱乐部,运动健身,体育场馆,福建省,福州市,闽侯县,福建省福州市闽侯县至美国际2楼,3c5c4802d8181f0c2cb96dd2,1,0,119.386554,25.930161,,life,http://api.map.baidu.com/place/detail?uid=3c5c4802d8181f0c2cb96dd2&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
