uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
fc4e8640262108dab2077d26,广鹏尊皇私人影院,休闲娱乐,电影院,海南省,海口市,琼山区,海南省海口市琼山区海榆路155号5楼,fc4e8640262108dab2077d26,1,0,110.566349,19.727947,(0898)65638225,life,http://api.map.baidu.com/place/detail?uid=fc4e8640262108dab2077d26&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
835f4543245f2f47a5da3954,中影泰得影城(观澜湖免税城店),休闲娱乐,电影院,海南省,海口市,龙华区,海南省海口市龙华区羊山大道39号观澜湖新城泰禾影城x02区1楼,835f4543245f2f47a5da3954,1,0,110.336467,19.923772,"(0898)65231313,(0898)68515966",life,http://api.map.baidu.com/place/detail?uid=835f4543245f2f47a5da3954&output=html&source=placeapi_v2,,,0,,,,,,,2,0,,,,,,,110.33634314289,19.923517232417,0
c6dfeb6ac7073b644c2fdfbc,东方红电影院,休闲娱乐,电影院,海南省,海口市,龙华区,海口市龙华区羊山大道19号观澜湖华谊冯小刚电影公社内,c6dfeb6ac7073b644c2fdfbc,1,0,110.354774,19.926396,,life,http://api.map.baidu.com/place/detail?uid=c6dfeb6ac7073b644c2fdfbc&output=html&source=placeapi_v2,,,0.0,,,,,,,,0,,,,,,,110.35451225396,19.92628437355,0
201f285639d13df741d63e4a,海经影院,休闲娱乐,电影院,海南省,海口市,美兰区,海南省海口市美兰区国营桂林洋农场海口经济学院学术中心一楼,,1,0,110.495135,19.971837,15915773713,life,http://api.map.baidu.com/place/detail?uid=201f285639d13df741d63e4a&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
95dce446fbe1c96252e5c599,中影嘉美巨幕影城(秀英寻尝里店),休闲娱乐,电影院,海南省,海口市,秀英区,海南省海口市秀英区秀英街道美俗路35号寻尝里美俗夜市3号楼1层,95dce446fbe1c96252e5c599,1,0,110.289515,20.007624,"(0898)66775252,(0898)66779090",life,http://api.map.baidu.com/place/detail?uid=95dce446fbe1c96252e5c599&output=html&source=placeapi_v2,39,,4,,,,,,,5,2,,,,,,,110.28946524234,20.007635649436,0
f70a5bfb2e365e833f9a5ee7,思美特逸智能家居私人影院,休闲娱乐,电影院,海南省,海口市,龙华区,海南省海口市龙华区南海大道万佳家居装饰广场3楼c305号,,1,0,110.329778,19.999693,,life,http://api.map.baidu.com/place/detail?uid=f70a5bfb2e365e833f9a5ee7&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,110.3295194777,19.999907368087,0
28e700f16d1d4718095cb3d6,海口奥斯卡亚豪国际影城(豪苑路店),休闲娱乐,电影院,海南省,海口市,龙华区,海南省海口市龙华区豪苑路1-11号亚豪建材城2楼,28e700f16d1d4718095cb3d6,1,0,110.332725,20.002009,"(0898)66826310,(0898)66827813",life,http://api.map.baidu.com/place/detail?uid=28e700f16d1d4718095cb3d6&output=html&source=placeapi_v2,35,,4.3,,,,,,,11,20,,,,,,,110.33285097303,20.002077037578,0
cd6e0840ebf323b2ab059d78,中视影城直梯,休闲娱乐,电影院,海南省,海口市,龙华区,海口市龙华区山高街喜盈门国际建材家具生活广场(学院路店),,1,0,110.343014,19.981732,,life,http://api.map.baidu.com/place/detail?uid=cd6e0840ebf323b2ab059d78&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
70d287ca379eafcc3586f4d0,中影泰得影城(桂林洋店),休闲娱乐,电影院,海南省,海口市,美兰区,海南省海口市美兰区桂林洋大道73号华侨城教师村一期2号楼2层201房,,1,0,110.485398,19.987854,(0898)65712085,life,http://api.map.baidu.com/place/detail?uid=70d287ca379eafcc3586f4d0&output=html&source=placeapi_v2,,,,,,,,,,3,1,,,,,,,,,0
8485eebefe9a1ff1a2a93483,海口中视国际影城(王府井店),休闲娱乐,电影院,海南省,海口市,秀英区,海南省海口市秀英区美林路5号王府井恩祥生活广场3楼,8485eebefe9a1ff1a2a93483,1,0,110.262403,20.020131,(0898)65687182,life,http://api.map.baidu.com/place/detail?uid=8485eebefe9a1ff1a2a93483&output=html&source=placeapi_v2,40,,0,,,,,,,9,0,,,,,,,110.26231249318,20.019296205645,0
