uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
b35c1bc30d1819834054d760,乾翔商务酒店,酒店,快捷酒店,河北省,邯郸市,成安县,河北省邯郸市成安县S313,,1,0,114.837218,36.413239,(0310)7388999,hotel,http://api.map.baidu.com/place/detail?uid=b35c1bc30d1819834054d760&output=html&source=placeapi_v2,,,0.0,,0,,0,0,,8,0,,,0,0,,,114.83686115537,36.413023575908,0
7825ec9cc5da29a0bbbd630f,红楼快捷宾馆,酒店,快捷酒店,河北省,邯郸市,成安县,邯郸市成安县S315河北农村信用社东侧约240米,,1,0,114.559104,36.455721,,hotel,http://api.map.baidu.com/place/detail?uid=7825ec9cc5da29a0bbbd630f&output=html&source=placeapi_v2,,,,,0,,0,0,,7,0,,,0,0,,,,,0
b07e7f3077628db7f6c59cd7,新鹏商务宾馆,酒店,快捷酒店,河北省,邯郸市,成安县,商城镇十字路口东行500米路南,,1,0,114.56493,36.455941,13931099841,hotel,http://api.map.baidu.com/place/detail?uid=b07e7f3077628db7f6c59cd7&output=html&source=placeapi_v2,,,1.0,,1.0,,1.0,1.0,,94,1,,,0,0,,,,,0
b474d063d52bb6cd40afe660,大厨酒店,酒店,快捷酒店,河北省,邯郸市,成安县,河北省邯郸市成安县S212,b474d063d52bb6cd40afe660,1,0,114.558001,36.455052,15226998519,hotel,http://api.map.baidu.com/place/detail?uid=b474d063d52bb6cd40afe660&output=html&source=placeapi_v2,,,0.0,,0,,0,0,,9,0,,,0,0,,,,,0
809bcb163209a8ffb320a8b8,兴旺商务宾馆,酒店,快捷酒店,河北省,邯郸市,成安县,河北省邯郸市成安县S212,,1,0,114.557987,36.454681,13313303611,hotel,http://api.map.baidu.com/place/detail?uid=809bcb163209a8ffb320a8b8&output=html&source=placeapi_v2,,,0,,0,,0,0,,7,0,,,0,0,,,114.55817773587,36.454689726315,0
c314fd05977373be01ec01d4,驿家365连锁酒店(寇公西路店),酒店,快捷酒店,河北省,邯郸市,成安县,河北邯郸市成安县成安镇迎凤凰西路消防队对面驿家365,,1,0,114.691587,36.447958,(0310)5232365,hotel,http://api.map.baidu.com/place/detail?uid=c314fd05977373be01ec01d4&output=html&source=placeapi_v2,,,4.4,,4.3,,4.3,4.3,,89,9,,,0,0,,,114.69174340722,36.448200923437,0
a560c0cc3c15a5a48bdb7333,驿家365连锁酒店(凤凰路店),酒店,快捷酒店,河北省,邯郸市,成安县,邯郸市成安县凤凰西路与迎宾大街交叉口西行200路北,a560c0cc3c15a5a48bdb7333,1,0,114.689162,36.461957,(0310)5238365,hotel,http://api.map.baidu.com/place/detail?uid=a560c0cc3c15a5a48bdb7333&output=html&source=placeapi_v2,,,4.7,,4.6,,4.6,4.6,,200,30,,,0,0,,,,,0
76ecd150340fc9a52c473386,恒昌快捷酒店,酒店,快捷酒店,河北省,邯郸市,邯山区,河北省邯郸市邯山区107国道冀南新区中心公园北侧,76ecd150340fc9a52c473386,1,0,114.427922,36.473562,16663101715,hotel,http://api.map.baidu.com/place/detail?uid=76ecd150340fc9a52c473386&output=html&source=placeapi_v2,,,5.0,,5.0,,5.0,5.0,,33,15,,,0,0,,,,,0
73abc617b56130e4067ce890,非凡快捷酒店,酒店,快捷酒店,河北省,邯郸市,邯山区,河北省邯郸市邯山区国道1076楼,73abc617b56130e4067ce890,1,0,114.436612,36.480845,(0310)6012818,hotel,http://api.map.baidu.com/place/detail?uid=73abc617b56130e4067ce890&output=html&source=placeapi_v2,,,4.8,,4.9,,4.9,4.9,,163,12,,,0,0,,,114.43684118791,36.480791350112,0
76ecd150340fc9a52c473386,恒昌快捷酒店,酒店,快捷酒店,河北省,邯郸市,邯山区,河北省邯郸市邯山区107国道冀南新区中心公园北侧,76ecd150340fc9a52c473386,1,0,114.427922,36.473562,16663101715,hotel,http://api.map.baidu.com/place/detail?uid=76ecd150340fc9a52c473386&output=html&source=placeapi_v2,,,5.0,,5.0,,5.0,5.0,,33,15,,,0,0,,,,,0
9368c759791e7ba726e0a021,驿家365连锁酒店(马头镇店),酒店,快捷酒店,河北省,邯郸市,邯山区,河北省邯郸市邯山区(马头镇邮局南行300米路西),9368c759791e7ba726e0a021,1,0,114.434537,36.478442,(0310)6011365,hotel,http://api.map.baidu.com/place/detail?uid=9368c759791e7ba726e0a021&output=html&source=placeapi_v2,,,3.9,,3.9,,3.9,3.9,,196,29,,,0,0,,,114.43470969578,36.478373724315,0
9c506b87f16432eedeee8bb1,如家联盟(冀南新区店),酒店,快捷酒店,河北省,邯郸市,邯山区,邯郸市邯山区中华路与成峰路交叉口西行200米路南,9c506b87f16432eedeee8bb1,1,0,114.464322,36.46964,(0310)7088111,hotel,http://api.map.baidu.com/place/detail?uid=9c506b87f16432eedeee8bb1&output=html&source=placeapi_v2,58.0,,4.6,,4.0,,4.0,4.0,,42,10,,,0,0,,,114.46433085914,36.469814133955,0
517dfe1191ec8616bc484207,银海商务酒店,酒店,快捷酒店,河北省,邯郸市,邯山区,邯郸市邯山区S315金鼎国际幼教(马头园)西南侧约50米,517dfe1191ec8616bc484207,1,0,114.480959,36.468634,(0310)3191493,hotel,http://api.map.baidu.com/place/detail?uid=517dfe1191ec8616bc484207&output=html&source=placeapi_v2,,,4.1,,4.1,,4.1,4.1,,82,32,,,0,0,,,114.48098487287,36.468897913757,0
