uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
cdb1e1669cb405e08bfc068c,东坝什村,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.588709,40.68439,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
e4bd964a9c21a890dc1e52d5,什不更村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.615805,40.685269,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
2f7266f379683adc6018095d,什不更村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.61607,40.685344,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
aa42f94d0ad94ad16b49f3b2,什不更村,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.609461,40.683579,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
2f7266f379683adc6018095d,什不更村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.61607,40.685344,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
b6124edc94da9273118824d2,什不更村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.616335,40.68542,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
e4bd964a9c21a890dc1e52d5,什不更村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,土默特左旗,44路,,0,0,111.615805,40.685269,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
4bbf3db88992ee66c056acdb,茂林太村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,玉泉区,44路,,0,0,111.645171,40.693629,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
d365a7eff3f495c9bfa82249,茂林太村,交通设施,公交车站,内蒙古自治区,呼和浩特市,玉泉区,44路,,0,0,111.641576,40.69291,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
031f83695190e4dcb42655a9,茂林太村委会,交通设施,公交车站,内蒙古自治区,呼和浩特市,玉泉区,44路,,0,0,111.637296,40.691645,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
9e225ce6fb326502eaf853f7,茂林太村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,玉泉区,44路,,0,0,111.645079,40.693613,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
c86fba055f1d772327e0a0bf,茂林太村东,交通设施,公交车站,内蒙古自治区,呼和浩特市,玉泉区,44路,,0,0,111.645263,40.693645,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
