uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
4a070c437b497d10475726a5,记忆咖啡,美食,咖啡厅,内蒙古自治区,呼和浩特市,土默特左旗,内蒙古自治区呼和浩特市土默特左旗金川上院小区雅静苑四号楼,4a070c437b497d10475726a5,1,0,111.557685,40.801084,13314715476,cater,http://api.map.baidu.com/place/detail?uid=4a070c437b497d10475726a5&output=html&source=placeapi_v2,,11:00-22:00,5,,,,,,,,1,,,,,,,111.55784027719,40.800907681023,0
237d5759c99db4929122e032,COSTA COFFEE(呼和浩特金宇国际店),美食,咖啡厅,内蒙古自治区,呼和浩特市,玉泉区,内蒙古自治区呼和浩特市玉泉区鄂尔多斯大街38号金宇国际F座1层,237d5759c99db4929122e032,1,0,111.686165,40.800596,(0471)3910650,cater,http://api.map.baidu.com/place/detail?uid=237d5759c99db4929122e032&output=html&source=placeapi_v2,26.0,09:00-18:00,5,,,,,,,,1,,,,,,,111.68624976838,40.800548932432,0
af804fe88e640d6ef32d83c4,希籽咖啡(大召店),美食,咖啡厅,内蒙古自治区,呼和浩特市,玉泉区,内蒙古自治区呼和浩特市玉泉区大召西夹道商业楼M11栋1-2层,af804fe88e640d6ef32d83c4,1,0,111.659773,40.804413,(0471)4364276,cater,http://api.map.baidu.com/place/detail?uid=af804fe88e640d6ef32d83c4&output=html&source=placeapi_v2,46.0,09:30-24:00,3.4,,,,,,,,0,,,,,,,111.65984993302,40.804445112963,0
d390b1169ca0061addee8b49,映梦花园咖啡馆,美食,咖啡厅,内蒙古自治区,呼和浩特市,赛罕区,呼和浩特市赛罕区双树巷奈伦城市亮点6号楼一单元102室,d390b1169ca0061addee8b49,1,0,111.693164,40.796246,15947410105,cater,http://api.map.baidu.com/place/detail?uid=d390b1169ca0061addee8b49&output=html&source=placeapi_v2,,09:00-21:00,,,,,,,,,,,,,,,,,,0
bbe600a7278bab94fa42b278,U度COFFEE(七巧国店),美食,咖啡厅,内蒙古自治区,呼和浩特市,赛罕区,内蒙古自治区呼和浩特市赛罕区包头东街5号七巧国2楼,bbe600a7278bab94fa42b278,1,0,111.725445,40.79258,"(0471)3487445,13848190369",cater,http://api.map.baidu.com/place/detail?uid=bbe600a7278bab94fa42b278&output=html&source=placeapi_v2,52.0,09:30-24:00,3.6,,,,,,,,2,,,,,,,111.72522057719,40.792720052102,0
d390b1169ca0061addee8b49,映梦花园咖啡馆,美食,咖啡厅,内蒙古自治区,呼和浩特市,赛罕区,呼和浩特市赛罕区双树巷奈伦城市亮点6号楼一单元102室,d390b1169ca0061addee8b49,1,0,111.693164,40.796246,15947410105,cater,http://api.map.baidu.com/place/detail?uid=d390b1169ca0061addee8b49&output=html&source=placeapi_v2,,09:00-21:00,,,,,,,,,,,,,,,,,,0
c75415f6ebddab16a80dd8a2,乔西咖啡,美食,咖啡厅,内蒙古自治区,呼和浩特市,赛罕区,内蒙古自治区呼和浩特市赛罕区昭乌达路425号,,1,0,111.707036,40.80429,18647387074,cater,http://api.map.baidu.com/place/detail?uid=c75415f6ebddab16a80dd8a2&output=html&source=placeapi_v2,,10:00-19:30,3.8,,,,,,,,,,,,,,,111.70734842435,40.804354248295,0
3731f3fb0a3f42d45fbe86a9,上岛咖啡(中海店),美食,咖啡厅,内蒙古自治区,呼和浩特市,赛罕区,内蒙古自治区呼和浩特市赛罕区乌兰察布东街90号,3731f3fb0a3f42d45fbe86a9,1,0,111.747633,40.806888,,cater,http://api.map.baidu.com/place/detail?uid=3731f3fb0a3f42d45fbe86a9&output=html&source=placeapi_v2,78.0,10:00-23:00,3.9,,,,,,,,156,,,,,,,111.74740586038,40.806816016302,0
4a070c437b497d10475726a5,记忆咖啡,美食,咖啡厅,内蒙古自治区,呼和浩特市,土默特左旗,内蒙古自治区呼和浩特市土默特左旗金川上院小区雅静苑四号楼,4a070c437b497d10475726a5,1,0,111.557685,40.801084,13314715476,cater,http://api.map.baidu.com/place/detail?uid=4a070c437b497d10475726a5&output=html&source=placeapi_v2,,11:00-22:00,5,,,,,,,,1,,,,,,,111.55784027719,40.800907681023,0
5dc4bdd5fed83576f82213a6,McCafe(呼和浩特天元店),美食,咖啡厅,内蒙古自治区,呼和浩特市,回民区,呼和浩特市回民区中山西路98号天元商厦1楼,5dc4bdd5fed83576f82213a6,1,0,111.671243,40.817121,4009200205,cater,http://api.map.baidu.com/place/detail?uid=5dc4bdd5fed83576f82213a6&output=html&source=placeapi_v2,,08:00-22:00,3.5,,,,,,,,1,,,,,,,111.67103004577,40.817270754092,0
