uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
1d028295d3ab6b036f3e1b7b,海宁皮革博物馆,旅游景点,博物馆,浙江省,嘉兴市,海宁市,海州西路236号,1d028295d3ab6b036f3e1b7b,1,0,120.675047,30.513451,,scope,http://api.map.baidu.com/place/detail?uid=1d028295d3ab6b036f3e1b7b&output=html&source=placeapi_v2,,09:00-17:00,3.4,,,,,,,,5,,,,,,,120.67417271919,30.513721850017,0
c1e87463d50a1bf5c27da2d2,海宁市博物馆,旅游景点,博物馆,浙江省,嘉兴市,海宁市,嘉兴市海宁市硖石街道西山路542号,c1e87463d50a1bf5c27da2d2,1,2,120.696795,30.538546,(0573)87046719,scope,http://api.map.baidu.com/place/detail?uid=c1e87463d50a1bf5c27da2d2&output=html&source=placeapi_v2,,08:30-17:30,4,,,,,,,,8,,,,,,,120.69764276163,30.538724356072,2
29069720de5acd12adcb6640,海宁星空失恋博物馆(爱琴海旗舰店),旅游景点,博物馆,浙江省,嘉兴市,海宁市,浙江省嘉兴市海宁市人民广场爱琴海购物公园5F,29069720de5acd12adcb6640,1,0,120.698123,30.532365,,scope,http://api.map.baidu.com/place/detail?uid=29069720de5acd12adcb6640&output=html&source=placeapi_v2,,10:00-22:00,0,,,,,,,,2,,,,,,,120.69901115939,30.533751961012,0
d991e1160346da541e389492,张宗祥书画院,旅游景点,博物馆,浙江省,嘉兴市,海宁市,嘉兴市海宁市仓基街41号,d991e1160346da541e389492,1,0,120.699766,30.535151,"(0573)87010237,(0573)87010238",scope,http://api.map.baidu.com/place/detail?uid=d991e1160346da541e389492&output=html&source=placeapi_v2,,,0,,,,,,,,2,,,,,,,,,0
66d8f0a5aa5493d330870aa3,菊文化博物馆,旅游景点,博物馆,浙江省,嘉兴市,桐乡市,屠甸互通与109县道交叉口南150米,,1,0,120.637426,30.581919,,scope,http://api.map.baidu.com/place/detail?uid=66d8f0a5aa5493d330870aa3&output=html&source=placeapi_v2,,,1,,,,,,,,1,,,,,,,120.63750725602,30.582648751338,0
16a3c782cdad6ea56018097a,金仲华纪念馆,旅游景点,博物馆,浙江省,嘉兴市,桐乡市,浙江省嘉兴市桐乡市庆丰南路8号桐乡市图书馆内,,1,0,120.556975,30.628802,(0573)88107827,scope,http://api.map.baidu.com/place/detail?uid=16a3c782cdad6ea56018097a&output=html&source=placeapi_v2,,08:30-17:00,,,,,,,,,,,,,,,,,,0
5d675e9f7ca2323040e1925c,钟旭洲钱币艺术博物馆,旅游景点,博物馆,浙江省,嘉兴市,桐乡市,环园路399号,5d675e9f7ca2323040e1925c,1,0,120.59242,30.639907,(0573)89378293,scope,http://api.map.baidu.com/place/detail?uid=5d675e9f7ca2323040e1925c&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,120.59226816654,30.640672179258,0
93ddfa9e4dce799f1de9998a,嘉兴马家浜文化博物馆,旅游景点,博物馆,浙江省,嘉兴市,南湖区,浙江省嘉兴市南湖区马家浜路297号,,1,0,120.713172,30.709696,(0573)82191932,scope,http://api.map.baidu.com/place/detail?uid=93ddfa9e4dce799f1de9998a&output=html&source=placeapi_v2,,09:00-17:00,4.3,,,,,,,,6,,,,,,,120.71256890178,30.710628889474,0
f866500d15e6aa59a20464be,平湖玺印篆刻博物馆,旅游景点,博物馆,浙江省,嘉兴市,平湖市,浙江省嘉兴市平湖市锦绣路18号,,1,0,121.035088,30.707852,(0573)85219657,scope,http://api.map.baidu.com/place/detail?uid=f866500d15e6aa59a20464be&output=html&source=placeapi_v2,,09:00-16:30,,,,,,,,,,,,,,,,121.03571710554,30.708186225468,0
ec4971fe78d31d384f3a5934,嘉兴丝绸博物馆,旅游景点,博物馆,浙江省,嘉兴市,秀洲区,浙江省嘉兴市秀洲区中山西路2710号嘉欣丝绸工业园内,ec4971fe78d31d384f3a5934,1,1,120.679667,30.752686,15888320182,scope,http://api.map.baidu.com/place/detail?uid=ec4971fe78d31d384f3a5934&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,1
3f826ed3ccf84347d1f49e22,嘉兴博物馆,旅游景点,博物馆,浙江省,嘉兴市,南湖区,海盐塘路485号(南湖新渡口南),3f826ed3ccf84347d1f49e22,1,2,120.770999,30.747999,(0573)83677092,scope,http://api.map.baidu.com/place/detail?uid=3f826ed3ccf84347d1f49e22&output=html&source=placeapi_v2,,09:00-17:00,4.3,,,,,,,,54,,,,,,,120.77169135142,30.747901755719,2
6f500eaece43bc5fa8059dfb,中国虫草博物馆,旅游景点,博物馆,浙江省,嘉兴市,平湖市,经济技术开发区新群路1938号,6f500eaece43bc5fa8059dfb,1,3,121.006916,30.7447,4009263838,scope,http://api.map.baidu.com/place/detail?uid=6f500eaece43bc5fa8059dfb&output=html&source=placeapi_v2,,,4,,,,,,,,13,,,,,,,121.00701992845,30.744231950794,3
181653340fed1c79fa2d618d,嘉兴电力博物馆,旅游景点,博物馆,浙江省,嘉兴市,南湖区,嘉兴市南湖区环城西路671号,181653340fed1c79fa2d618d,1,1,120.752179,30.770095,(0573)82421640,scope,http://api.map.baidu.com/place/detail?uid=181653340fed1c79fa2d618d&output=html&source=placeapi_v2,,,2,,,,,,,,1,,,,,,,120.7520053724,30.770505060337,1
41a093781426470d1e580045,嘉兴粽子文化博物馆,旅游景点,博物馆,浙江省,嘉兴市,南湖区,嘉兴市南湖区月河街小猪廊下61~67号,,1,1,120.757483,30.776947,(0573)82209577,scope,http://api.map.baidu.com/place/detail?uid=41a093781426470d1e580045&output=html&source=placeapi_v2,,08:30-20:00,4.2,,,,,,,,40,,,,,,,120.75712106243,30.775492904517,1
d0ca750b5e1bd8d3a1a934d7,中国香肠博物馆,旅游景点,博物馆,浙江省,嘉兴市,秀洲区,浙江省嘉兴市秀洲区华云路449号(艾博实业内),,1,0,120.722153,30.799023,,scope,http://api.map.baidu.com/place/detail?uid=d0ca750b5e1bd8d3a1a934d7&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
85730acbf1adce59047ce8e4,嘉善县博物馆,旅游景点,博物馆,浙江省,嘉兴市,嘉善县,嘉兴市嘉善县嘉善大道与阳光东路交叉路口往西北约140米,85730acbf1adce59047ce8e4,1,3,120.932207,30.830845,(0573)84606011,scope,http://api.map.baidu.com/place/detail?uid=85730acbf1adce59047ce8e4&output=html&source=placeapi_v2,,09:00-17:00,4.8,,,,,,,,7,,,,,,,120.93098232407,30.830074634091,3
6db1f280bc18fc3f2fb908ba,嘉善浙北民间收藏博物馆,旅游景点,博物馆,浙江省,嘉兴市,嘉善县,嘉兴市嘉善县人民大道567号,6db1f280bc18fc3f2fb908ba,1,1,120.930588,30.834313,(0573)84488999,scope,http://api.map.baidu.com/place/detail?uid=6db1f280bc18fc3f2fb908ba&output=html&source=placeapi_v2,,,5,,,,,,,,1,,,,,,,120.93077705587,30.834287608627,1
