uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
d6dae5c3b611bc4ed22dd6a3,塔石乡卫生院,医疗,综合医院,浙江省,金华市,婺城区,浙江省金华市婺城区枫溪路13号,d6dae5c3b611bc4ed22dd6a3,1,0,119.415374,28.86125,,hospital,http://api.map.baidu.com/place/detail?uid=d6dae5c3b611bc4ed22dd6a3&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,,,,,,,,,,,0
44207646dc68686adeee8b17,石柱中心卫生院,医疗,综合医院,浙江省,金华市,永康市,浙江省金华市永康市新大街2号,44207646dc68686adeee8b17,1,0,120.103815,28.850684,"(0579)89299005,(0579)89299017",hospital,http://api.map.baidu.com/place/detail?uid=44207646dc68686adeee8b17&output=html&source=placeapi_v2,,,0.0,,,,,,,3,,,,,,,,120.10405749522,28.85055715547,0
e6cf3670442de2da5cbe86ec,永康市第一人民医院,医疗,综合医院,浙江省,金华市,永康市,浙江省金华市永康市金山西路599号,e6cf3670442de2da5cbe86ec,1,9,120.066313,28.899812,(0579)87111834,hospital,http://api.map.baidu.com/place/detail?uid=e6cf3670442de2da5cbe86ec&output=html&source=placeapi_v2,0.0,"07:30-11:10,13:30-17:10",0,,,,,,,0,0,,,,,,,120.06671959301,28.898086137218,9
5e53af1a8ce0e25e4151c015,永康医院,医疗,综合医院,浙江省,金华市,永康市,浙江金华永康市胜利街前花园2号,5e53af1a8ce0e25e4151c015,1,4,120.039956,28.901372,(0579)87143113,hospital,http://api.map.baidu.com/place/detail?uid=5e53af1a8ce0e25e4151c015&output=html&source=placeapi_v2,,"08:00-11:30,14:00-17:30",0,,,,,,,7,0,,,,,,,120.0396040749,28.901669681995,4
f4a33da9d57cdf083010af11,芝英中心卫生院,医疗,综合医院,浙江省,金华市,永康市,浙江省金华市永康市芝英镇南市街45号,f4a33da9d57cdf083010af11,1,3,120.146172,28.939917,,hospital,http://api.map.baidu.com/place/detail?uid=f4a33da9d57cdf083010af11&output=html&source=placeapi_v2,,,0,,,,,,,6,0,,,,,,,120.14670824634,28.939895821956,3
8f296189939cc2e4ab059d6a,武义县杨家医院,医疗,综合医院,浙江省,金华市,武义县,浙江省金华市武义县东山路20号,,1,0,119.890619,28.984833,(0579)87601578,hospital,http://api.map.baidu.com/place/detail?uid=8f296189939cc2e4ab059d6a&output=html&source=placeapi_v2,,,0,,,,,,,0,0,,,,,,,119.89052129251,28.984752295238,0
beabdbf4b70aabe67069d3fb,象珠中心卫生院,医疗,综合医院,浙江省,金华市,永康市,金华市永康市升平中路55号,beabdbf4b70aabe67069d3fb,1,1,120.089274,28.98176,,hospital,http://api.map.baidu.com/place/detail?uid=beabdbf4b70aabe67069d3fb&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,120.08993608694,28.98167055566,1
8173ad9f9633100332f71d16,杭州市中医院(永康分院),医疗,综合医院,浙江省,金华市,永康市,经纬西路75号附近,,1,0,120.171975,28.985794,,hospital,http://api.map.baidu.com/place/detail?uid=8173ad9f9633100332f71d16&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
2b75337726f5c5654afc8d1d,永康市第二人民医院,医疗,综合医院,浙江省,金华市,永康市,金华市永康市古山镇古山三村经纬西路49弄8号,,1,1,120.17159,28.986238,,hospital,http://api.map.baidu.com/place/detail?uid=2b75337726f5c5654afc8d1d&output=html&source=placeapi_v2,0.0,08:00-18:00,0,,,,,,,2,0,,,,,,,120.17245078463,28.985890680941,1
482967ec0cb45aa60c0a7045,金华市婺城区第一人民医院,医疗,综合医院,浙江省,金华市,婺城区,金华市婺城区汤溪镇琳湖街829号,482967ec0cb45aa60c0a7045,1,5,119.413317,29.065494,(0579)82666843,hospital,http://api.map.baidu.com/place/detail?uid=482967ec0cb45aa60c0a7045&output=html&source=placeapi_v2,,"07:30-11:00,13:30-17:00",,,,,,,,0,,,,,,,,119.41247610541,29.06489400916,5
245250962311af7d43ab9ac5,蒋堂镇卫生院,医疗,综合医院,浙江省,金华市,婺城区,金华市婺城区八一南路与金杰东路交叉路口西北角,,1,0,119.468166,29.054022,,hospital,http://api.map.baidu.com/place/detail?uid=245250962311af7d43ab9ac5&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,1,,,,,,,,119.46833864695,29.053984187839,0
ffa890463e902dccab0dd891,金东康宁医院,医疗,综合医院,浙江省,金华市,金东区,浙江省金华市金东区海棠东路2999号,,1,0,119.725582,29.069235,,hospital,http://api.map.baidu.com/place/detail?uid=ffa890463e902dccab0dd891&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,119.72534200995,29.069648147923,0
1020060f8e3b1ddb1894c677,金华市中医院(江南总院),医疗,综合医院,浙江省,金华市,婺城区,浙江省金华市婺城区双溪西路439号,1020060f8e3b1ddb1894c677,1,6,119.648509,29.093029,(0579)82136722,hospital,http://api.map.baidu.com/place/detail?uid=1020060f8e3b1ddb1894c677&output=html&source=placeapi_v2,0.0,"08:00-11:30,13:30-17:00",0,,,,,,,0,0,,,,,,,119.64831117794,29.09395930156,6
a8b5b8c70d826318f82d61c7,金华市人民医院(新院区),医疗,综合医院,浙江省,金华市,金东区,丹溪东路267号,,1,0,119.686735,29.088813,"(0579)89137722,(0579)89163896",hospital,http://api.map.baidu.com/place/detail?uid=a8b5b8c70d826318f82d61c7&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,0,0,,,,,,,119.68640803792,29.089705854274,0
