uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
2d2f9e570da83ed945572600,云南泛亚专修学院,教育培训,成人教育,云南省,昆明市,晋宁区,昆明市晋宁区东凤路磷都花园东北侧约70米,,1,0,102.615995,24.66313,15911536213,education,http://api.map.baidu.com/place/detail?uid=2d2f9e570da83ed945572600&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
87402ad1756fa9a92806cedb,昆明老年大学(呈贡校区),教育培训,成人教育,云南省,昆明市,呈贡区,云南省昆明市呈贡区俪景路65号,87402ad1756fa9a92806cedb,1,1,102.803345,24.867657,(0871)63318368,education,http://api.map.baidu.com/place/detail?uid=87402ad1756fa9a92806cedb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.80246010319,24.867360684315,1
b28f18fbca0b16eaa8f72932,管渡区老年大学花田社区老年学校,教育培训,成人教育,云南省,昆明市,官渡区,昆明市官渡区先锋路俊福花城,,1,0,102.762457,24.938533,,education,http://api.map.baidu.com/place/detail?uid=b28f18fbca0b16eaa8f72932&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
4eebb69f05f4424c0b1cc79a,西南林业大学职业技术学院继续教育学院温泉教学区管理中心,教育培训,成人教育,云南省,昆明市,安宁市,昆明市安宁市秋木园村公路秋园墅语西南侧,,1,0,102.452865,24.986488,,education,http://api.map.baidu.com/place/detail?uid=4eebb69f05f4424c0b1cc79a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.45284467155,24.986661861632,0
a3b39ccc1517ce17d8eced37,中国民航管理干部学院(昆明校区),教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区怡景路9号,a3b39ccc1517ce17d8eced37,1,1,102.661834,24.985966,,education,http://api.map.baidu.com/place/detail?uid=a3b39ccc1517ce17d8eced37&output=html&source=placeapi_v2,,,0.0,,,,,,,,2,,,,,,,102.66184694669,24.986073185838,1
3d42c010cf91ace9f4eafc23,昆明老年大学,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区滇池路409号对面,3d42c010cf91ace9f4eafc23,1,0,102.697348,25.018363,,education,http://api.map.baidu.com/place/detail?uid=3d42c010cf91ace9f4eafc23&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.69720097723,25.018436742802,0
644c9e33f23eb0d7eedfca7b,赵浩知五华老年大学,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区云兴路99号6楼,644c9e33f23eb0d7eedfca7b,1,0,102.71126,25.023346,,education,http://api.map.baidu.com/place/detail?uid=644c9e33f23eb0d7eedfca7b&output=html&source=placeapi_v2,,,0,,,,,,,,1,,,,,,,102.71127365078,25.023244540756,0
8380bc58e5e57471eee4a563,浙江师范大学昆明函授站,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区滇池路384号滇池时代b座6楼a17室,8380bc58e5e57471eee4a563,1,0,102.69209,25.017539,,education,http://api.map.baidu.com/place/detail?uid=8380bc58e5e57471eee4a563&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6734c4f69b1b816222026234,云南省农业广播电视学校,教育培训,成人教育,云南省,昆明市,西山区,云南昆明市西山区益康路85~87号,6734c4f69b1b816222026234,1,0,102.703939,25.025518,,education,http://api.map.baidu.com/place/detail?uid=6734c4f69b1b816222026234&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
e2f058b02467261a9f9d68d0,西北农林科技大学云南函授站,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区益康路85~87号1幢2单元502号,e2f058b02467261a9f9d68d0,1,0,102.704001,25.025484,,education,http://api.map.baidu.com/place/detail?uid=e2f058b02467261a9f9d68d0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
145bedba2e470934cd04ef12,昆明理工大学(新盟函授点),教育培训,成人教育,云南省,昆明市,官渡区,昆明市官渡区海明路655号汇溪大厦B座4层401号,145bedba2e470934cd04ef12,1,0,102.739874,25.014458,,education,http://api.map.baidu.com/place/detail?uid=145bedba2e470934cd04ef12&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
950b5b1e85c39eb278f796ec,关上街道中心区社区老年大学,教育培训,成人教育,云南省,昆明市,官渡区,云南省昆明市官渡区关育路16号,950b5b1e85c39eb278f796ec,1,0,102.752396,25.015483,,education,http://api.map.baidu.com/place/detail?uid=950b5b1e85c39eb278f796ec&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.75244822043,25.015517139019,0
4456a9897dbc0197d13ce3c5,云南广播电视大学(幸福时光西北),教育培训,成人教育,云南省,昆明市,西山区,云南昆明市西山区学府路113号a幢,4456a9897dbc0197d13ce3c5,1,0,102.66277,25.051202,,education,http://api.map.baidu.com/place/detail?uid=4456a9897dbc0197d13ce3c5&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
86e4d9b7526ddaee79b55ca2,昆明市西山区老年大学,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区丽苑路188号,86e4d9b7526ddaee79b55ca2,1,0,102.672139,25.04266,"(0871)63522715,(0871)68236283",education,http://api.map.baidu.com/place/detail?uid=86e4d9b7526ddaee79b55ca2&output=html&source=placeapi_v2,,,0.0,,,,,,,,2,,,,,,,102.67212695372,25.042521367296,0
d1da3d0965fb02cb7369d329,云南行政学院函授学院档案局学区,教育培训,成人教育,云南省,昆明市,西山区,昆明市西山区西华北路119号档案大厦,d1da3d0965fb02cb7369d329,1,0,102.693615,25.036215,,education,http://api.map.baidu.com/place/detail?uid=d1da3d0965fb02cb7369d329&output=html&source=placeapi_v2,,,4.0,,,,,,,,2,,,,,,,102.69355744918,25.036366256415,0
4cf8d24e6c3513e59cf779c6,云南省农业广播电视学校(昆明分校),教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区西园路421号刘家营新区8栋701室,4cf8d24e6c3513e59cf779c6,1,0,102.6975,25.031404,(0871)64167378,education,http://api.map.baidu.com/place/detail?uid=4cf8d24e6c3513e59cf779c6&output=html&source=placeapi_v2,,,0.0,,,,,,,,3,,,,,,,102.69741106124,25.031313549629,0
78a8b46f770fc4397f29bd43,云南银潮中老年艺术大学,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区安康路9号昆房置换大厦4楼,78a8b46f770fc4397f29bd43,1,0,102.709432,25.034375,18388166206,education,http://api.map.baidu.com/place/detail?uid=78a8b46f770fc4397f29bd43&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.70916059009,25.034328418444,0
6734c4f69b1b816222026234,云南省农业广播电视学校,教育培训,成人教育,云南省,昆明市,西山区,云南昆明市西山区益康路85~87号,6734c4f69b1b816222026234,1,0,102.703939,25.025518,,education,http://api.map.baidu.com/place/detail?uid=6734c4f69b1b816222026234&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
e2f058b02467261a9f9d68d0,西北农林科技大学云南函授站,教育培训,成人教育,云南省,昆明市,西山区,云南省昆明市西山区益康路85~87号1幢2单元502号,e2f058b02467261a9f9d68d0,1,0,102.704001,25.025484,,education,http://api.map.baidu.com/place/detail?uid=e2f058b02467261a9f9d68d0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
789e5259b2f8de43873304e8,盘龙区社会老年大学,教育培训,成人教育,云南省,昆明市,官渡区,昆明市官渡区二环东路锦都大酒店西北侧,789e5259b2f8de43873304e8,1,0,102.750453,25.04401,(0871)63316889,education,http://api.map.baidu.com/place/detail?uid=789e5259b2f8de43873304e8&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.75051979475,25.04401078191,0
7524cb4fc7d0a03504026f0e,云南交通职业技术学院-继续教育学院,教育培训,成人教育,云南省,昆明市,官渡区,云南省昆明市官渡区吴井路太乙桥29号,7524cb4fc7d0a03504026f0e,1,0,102.735014,25.034718,"(0871)66244258,(0871)66244388",education,http://api.map.baidu.com/place/detail?uid=7524cb4fc7d0a03504026f0e&output=html&source=placeapi_v2,,,1,,,,,,,,2,,,,,,,102.73469191211,25.034306481183,0
d219bb1d263a938af50e77c6,云南省广播电视学校,教育培训,成人教育,云南省,昆明市,官渡区,云南省昆明市官渡区吴井路215号,d219bb1d263a938af50e77c6,1,0,102.733983,25.031017,(0871)63542704,education,http://api.map.baidu.com/place/detail?uid=d219bb1d263a938af50e77c6&output=html&source=placeapi_v2,,,5,,,,,,,,2,,,,,,,102.73398881368,25.031393109545,0
948f23506c53eaf454bfff1c,云南老年大学(白龙路校区),教育培训,成人教育,云南省,昆明市,盘龙区,云南省昆明市盘龙区白龙路149号,948f23506c53eaf454bfff1c,1,0,102.741841,25.057298,(0871)65358043,education,http://api.map.baidu.com/place/detail?uid=948f23506c53eaf454bfff1c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.74176176339,25.057395457121,0
859f973ad87ad9524302455f,云南省老年人体育协会老年大学,教育培训,成人教育,云南省,昆明市,盘龙区,云南昆明市盘龙区文艺路66号,859f973ad87ad9524302455f,1,0,102.743725,25.05306,,education,http://api.map.baidu.com/place/detail?uid=859f973ad87ad9524302455f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
c02b367a207a4dc993114c84,中国科学院老年人大学昆明分校,教育培训,成人教育,云南省,昆明市,盘龙区,云南省昆明市盘龙区文艺路128号,,1,0,102.748355,25.053258,,education,http://api.map.baidu.com/place/detail?uid=c02b367a207a4dc993114c84&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,102.74835689158,25.053161107655,0
