uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
6a1484c8a885f9e054bfff85,甘肃省歌剧院,休闲娱乐,剧院,甘肃省,兰州市,城关区,兰州市城关区白银路357-363号,6a1484c8a885f9e054bfff85,1,0,103.823856,36.057585,(0931)8153871,life,http://api.map.baidu.com/place/detail?uid=6a1484c8a885f9e054bfff85&output=html&source=placeapi_v2,,,5,,,,,,,20,2,,,,,,,103.82384137429,36.057644009772,0
64f445f81b5bc5a884154101,甘肃黄河剧院太阳部落,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区皋兰路街道皋兰路8号甘肃黄河剧院太阳部落,64f445f81b5bc5a884154101,1,0,103.847344,36.050609,,life,http://api.map.baidu.com/place/detail?uid=64f445f81b5bc5a884154101&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,103.84713996523,36.05063478963,0
57e06b9e37bd1f6e15a190bb,瓦拉卡互动沉浸式剧场,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区定西路237附9号,57e06b9e37bd1f6e15a190bb,1,0,103.867276,36.046773,15352302291,life,http://api.map.baidu.com/place/detail?uid=57e06b9e37bd1f6e15a190bb&output=html&source=placeapi_v2,221,13:00-01:00,0,,,,,,,3,1,,,,,,,,,0
bf423c74fd73dbb0735e8082,二分之一沉浸式剧场,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区天水南路205号,,1,0,103.859406,36.045563,18189508192,life,http://api.map.baidu.com/place/detail?uid=bf423c74fd73dbb0735e8082&output=html&source=placeapi_v2,,14:00-22:00,,,,,,,,,,,,,,,,,,0
fc35ab236349f118f33cbacf,兰州青稞演艺中心,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区甘南路666号无境汇6层,fc35ab236349f118f33cbacf,1,0,103.836089,36.0581,,life,http://api.map.baidu.com/place/detail?uid=fc35ab236349f118f33cbacf&output=html&source=placeapi_v2,,18:00-24:00,0,,,,,,,7,0,,,,,,,,,0
e6573c771c42f69aeedfca74,甘肃省歌舞剧院,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区东岗东路2号楼,e6573c771c42f69aeedfca74,1,2,103.880194,36.052022,(0931)4670860,life,http://api.map.baidu.com/place/detail?uid=e6573c771c42f69aeedfca74&output=html&source=placeapi_v2,,,0,,,,,,,6,0,,,,,,,103.87993254859,36.052105692767,2
57e06b9e37bd1f6e15a190bb,瓦拉卡互动沉浸式剧场,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区定西路237附9号,57e06b9e37bd1f6e15a190bb,1,0,103.867276,36.046773,15352302291,life,http://api.map.baidu.com/place/detail?uid=57e06b9e37bd1f6e15a190bb&output=html&source=placeapi_v2,221,13:00-01:00,0,,,,,,,3,1,,,,,,,,,0
3be928c765978a3133f71d54,兰州飞天剧院,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区东岗东路2704号c塔,3be928c765978a3133f71d54,1,0,103.879342,36.053098,,life,http://api.map.baidu.com/place/detail?uid=3be928c765978a3133f71d54&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,103.8790036441,36.053224738232,0
74716970f0dccf2904fef5cc,秦腔艺术剧院,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃省兰州市城关区段家滩路704号,,1,0,103.888897,36.054011,,life,http://api.map.baidu.com/place/detail?uid=74716970f0dccf2904fef5cc&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,,,0
6a8648f3d8b22aa53517dc6c,兰州飞天剧院值班室,休闲娱乐,剧院,甘肃省,兰州市,城关区,甘肃兰州市城关区东岗西路2号,,1,0,103.879519,36.053253,,life,http://api.map.baidu.com/place/detail?uid=6a8648f3d8b22aa53517dc6c&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
