uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
59bbf944061f0685b5f42f27,鸿盛图文快印,生活服务,图文快印店,甘肃省,兰州市,七里河区,兰州市七里河区彭家坪西路郑家庄新村幼儿园北侧约160米,,1,0,103.723342,36.059532,18794799965,life,http://api.map.baidu.com/place/detail?uid=59bbf944061f0685b5f42f27&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
8c08305c5765ccd30c0e6b60,小涛复印店,生活服务,图文快印店,甘肃省,兰州市,七里河区,兰州市七里河区龚家湾路174号,8c08305c5765ccd30c0e6b60,1,0,103.75499,36.056282,15339865353,life,http://api.map.baidu.com/place/detail?uid=8c08305c5765ccd30c0e6b60&output=html&source=placeapi_v2,,,,,,,,,,8,,,,,,,,103.75510527884,36.056420503268,0
47b4cb9a7e1651d71ef74d41,创丽复印店,生活服务,图文快印店,甘肃省,兰州市,七里河区,兰州市七里河区龚家湾路兰州工业学院南校区西北侧约80米,,1,0,103.754345,36.056593,,life,http://api.map.baidu.com/place/detail?uid=47b4cb9a7e1651d71ef74d41&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
8dd7dd80f57833b15cbe86cd,西诚图文快印,生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区火车站西路281号,8dd7dd80f57833b15cbe86cd,1,0,103.846893,36.044089,,life,http://api.map.baidu.com/place/detail?uid=8dd7dd80f57833b15cbe86cd&output=html&source=placeapi_v2,,08:00-19:00,0.0,,,,,,,6,,,,,,,,103.84695898272,36.044140794574,0
4054f8df7dee38d25e17c3b2,祁祺图文快印,生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区定西路548号,4054f8df7dee38d25e17c3b2,1,0,103.864177,36.048283,"(0931)8633989,13919167670",life,http://api.map.baidu.com/place/detail?uid=4054f8df7dee38d25e17c3b2&output=html&source=placeapi_v2,,08:00-20:00,0,,,,,,,15,1,,,,,,,103.86415833078,36.048235986893,0
0b06eb63cb7e394b631809df,京瓷快印店(和政西街店),生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区和政西街3号,0b06eb63cb7e394b631809df,1,0,103.842759,36.046144,,life,http://api.map.baidu.com/place/detail?uid=0b06eb63cb7e394b631809df&output=html&source=placeapi_v2,,14:00-18:00,,,,,,,,12,,,,,,,,103.84287335272,36.046129101449,0
eea047c85d418546754ff155,鼎峰图文快印(民主东路店),生活服务,图文快印店,甘肃省,兰州市,城关区,兰州市城关区民主东路106号,eea047c85d418546754ff155,1,0,103.853428,36.049065,"(0931)8880764,13679497973",life,http://api.map.baidu.com/place/detail?uid=eea047c85d418546754ff155&output=html&source=placeapi_v2,,09:00-21:00,4.3,,,,,,,16,3,,,,,,,103.85345335786,36.04899405646,0
ae9105a373be784d2e47330f,金禾图文快印,生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区金昌南路17号,ae9105a373be784d2e47330f,1,0,103.835121,36.047378,13659318785,life,http://api.map.baidu.com/place/detail?uid=ae9105a373be784d2e47330f&output=html&source=placeapi_v2,,,0.0,,,,,,,11,,,,,,,,103.83542062574,36.047130123165,0
c9c5c2f69c325fc30bb93acc,鸿赢图文,生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区平凉路8号,c9c5c2f69c325fc30bb93acc,1,0,103.857148,36.043415,13893368835,life,http://api.map.baidu.com/place/detail?uid=c9c5c2f69c325fc30bb93acc&output=html&source=placeapi_v2,,09:00-18:00,0,,,,,,,9,0,,,,,,,103.85697025538,36.043374734257,0
c29d2e485667a125f32d83ab,鼎好图文(平凉路店),生活服务,图文快印店,甘肃省,兰州市,城关区,甘肃省兰州市城关区平凉路28号,c29d2e485667a125f32d83ab,1,0,103.856949,36.044012,"(0931)8663964,17318755068",life,http://api.map.baidu.com/place/detail?uid=c29d2e485667a125f32d83ab&output=html&source=placeapi_v2,,08:00-22:00,5,,,,,,,14,3,,,,,,,,,0
