uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
264e6d05061dd56c0d3ddabe,售房部,生活服务,房产中介机构,甘肃省,兰州市,七里河区,兰州市七里河区工林路格兰绿都南侧约120米,264e6d05061dd56c0d3ddabe,1,0,103.801012,36.059835,,life,http://api.map.baidu.com/place/detail?uid=264e6d05061dd56c0d3ddabe&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
b0e9d27e4b2c3b7fc1f1cf16,容大房产,生活服务,房产中介机构,甘肃省,兰州市,七里河区,兰州市七里河区S101花玺小镇小区,b0e9d27e4b2c3b7fc1f1cf16,1,0,103.812022,36.054213,,life,http://api.map.baidu.com/place/detail?uid=b0e9d27e4b2c3b7fc1f1cf16&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
970b9f6e44b6c88fbfa82234,宏辉房产(铁路局店),生活服务,房产中介机构,甘肃省,兰州市,城关区,甘肃省兰州市城关区东街640-700号,970b9f6e44b6c88fbfa82234,1,0,103.849763,36.043577,4008093139,life,http://api.map.baidu.com/place/detail?uid=970b9f6e44b6c88fbfa82234&output=html&source=placeapi_v2,,10:00-19:00,,,,,,,,14,,,,,,,,103.84983652656,36.043563993746,0
daf3ed174b5fe3634afc8da6,玛雅房屋(铁东村店),生活服务,房产中介机构,甘肃省,兰州市,城关区,兰州市城关区铁路新村东街仁恒国际西南侧,daf3ed174b5fe3634afc8da6,1,0,103.849637,36.043963,(0931)4630469,life,http://api.map.baidu.com/place/detail?uid=daf3ed174b5fe3634afc8da6&output=html&source=placeapi_v2,,08:30-18:30,0,,,,,,,9,1,,,,,,,103.84961179298,36.043856620799,0
b641612e15d5b36838221c84,信业房产(兰海店),生活服务,房产中介机构,甘肃省,兰州市,城关区,甘肃省兰州市城关区甘南路275号,b641612e15d5b36838221c84,1,0,103.855679,36.054598,(0931)8774772,life,http://api.map.baidu.com/place/detail?uid=b641612e15d5b36838221c84&output=html&source=placeapi_v2,,10:00-19:00,0.0,,,,,,,8,,,,,,,,103.85565123836,36.054626767728,0
21c32bd17cb921b4b220a8a9,钧衡房产,生活服务,房产中介机构,甘肃省,兰州市,城关区,铁路西村88号设计院文化宫斜对面,21c32bd17cb921b4b220a8a9,1,0,103.842735,36.046049,(0931)4992299,life,http://api.map.baidu.com/place/detail?uid=21c32bd17cb921b4b220a8a9&output=html&source=placeapi_v2,,10:00-19:00,0,,,,,,,11,1,,,,,,,103.84285441734,36.04603375958,0
86549e3b833900aaf4b916f1,宏辉房产(广场店),生活服务,房产中介机构,甘肃省,兰州市,城关区,甘肃省兰州市城关区广场北路98号陆都花园5号楼-1号商铺,86549e3b833900aaf4b916f1,1,0,103.850132,36.06109,(0931)8472301,life,http://api.map.baidu.com/place/detail?uid=86549e3b833900aaf4b916f1&output=html&source=placeapi_v2,,10:00-19:00,1,,,,,,,11,,,,,,,,103.85011495186,36.061026077186,0
dc7b41167213f480e115f969,邦房(兴业店),生活服务,房产中介机构,甘肃省,兰州市,城关区,甘肃省兰州市城关区牟家庄200号达祥小区附3铺面,dc7b41167213f480e115f969,1,0,103.84496,36.041159,"15117245473,18119447537",life,http://api.map.baidu.com/place/detail?uid=dc7b41167213f480e115f969&output=html&source=placeapi_v2,,,,,,,,,,8,,,,,,,,,,0
cdc975b1770d3e4ec26c1488,玛雅房屋(一只船店),生活服务,房产中介机构,甘肃省,兰州市,城关区,甘肃省兰州市城关区一只船南街80号,cdc975b1770d3e4ec26c1488,1,0,103.858184,36.052552,,life,http://api.map.baidu.com/place/detail?uid=cdc975b1770d3e4ec26c1488&output=html&source=placeapi_v2,,08:30-18:30,0.0,,,,,,,9,1,,,,,,,103.85803865593,36.052284430768,0
df3e4c44c2c6fdae2ce67bdd,巨信房屋(中山林店),生活服务,房产中介机构,甘肃省,兰州市,城关区,民主西路418号,df3e4c44c2c6fdae2ce67bdd,1,0,103.834699,36.051839,(0931)8449900,life,http://api.map.baidu.com/place/detail?uid=df3e4c44c2c6fdae2ce67bdd&output=html&source=placeapi_v2,,08:30-18:00,0,,,,,,,13,1,,,,,,,103.83465210561,36.051687734001,0
