uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
9fbfeef2c257fd45ede4a566,韩家坪公墓,生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区兰州汽车南站西南(西黄公路东),9fbfeef2c257fd45ede4a566,1,1,103.770342,36.044715,,life,http://api.map.baidu.com/place/detail?uid=9fbfeef2c257fd45ede4a566&output=html&source=placeapi_v2,,,0.0,,,,,,,0,,,,,,,,103.7702589436,36.044618057411,1
d9667b1f6c6f7929ad31e54d,殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区保育院东北侧约100米,d9667b1f6c6f7929ad31e54d,1,0,103.772751,36.059346,,life,http://api.map.baidu.com/place/detail?uid=d9667b1f6c6f7929ad31e54d&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
144c8ac862e00b695cd4feb6,郭记寿衣店,生活服务,殡葬服务,甘肃省,兰州市,七里河区,武威路兰驼小区6号楼附近,144c8ac862e00b695cd4feb6,1,0,103.770021,36.058917,18719800538,life,http://api.map.baidu.com/place/detail?uid=144c8ac862e00b695cd4feb6&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
81a8275b76065514276e984f,花圈寿衣铺,生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区武山路253号,81a8275b76065514276e984f,1,0,103.760316,36.0604,18993034628,life,http://api.map.baidu.com/place/detail?uid=81a8275b76065514276e984f&output=html&source=placeapi_v2,,07:00-19:00,,,,,,,,10,,,,,,,,,,0
34f68ab09386f6098f55ec5c,兰州市天桥公墓,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区S101梅园小区西侧约220米,34f68ab09386f6098f55ec5c,1,0,103.809167,36.045884,,life,http://api.map.baidu.com/place/detail?uid=34f68ab09386f6098f55ec5c&output=html&source=placeapi_v2,,,0.0,,,,,,,,0,,,,,,,103.80932683593,36.045617471519,0
f719572c672db573f4eafcdd,天桥怡园,生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区八里镇八里窑华坪路天桥怡园,,1,0,103.806861,36.037658,,life,http://api.map.baidu.com/place/detail?uid=f719572c672db573f4eafcdd&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,103.80704328044,36.037545642833,0
fc364c88ad17125b0869d90a,品牌骨灰盒,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路,,1,0,103.806233,36.049665,,life,http://api.map.baidu.com/place/detail?uid=fc364c88ad17125b0869d90a&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
9a9f4af8abc66e3da3acc4d6,殡葬用品批发服务部,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路,,1,0,103.804498,36.04897,,life,http://api.map.baidu.com/place/detail?uid=9a9f4af8abc66e3da3acc4d6&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
4b2fa78ce44c0e7ea8f729a5,永安陵园咨询处,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路,,1,0,103.804431,36.048976,(0931)5880000,life,http://api.map.baidu.com/place/detail?uid=4b2fa78ce44c0e7ea8f729a5&output=html&source=placeapi_v2,,08:00-16:00,,,,,,,,,,,,,,,,,,0
5c85be0b44ee3bbc1f38941f,殡葬一条龙,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路,,1,0,103.80711,36.051506,,life,http://api.map.baidu.com/place/detail?uid=5c85be0b44ee3bbc1f38941f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
a4726de684d47e73c51e511b,甘肃省穆斯林殡仪馆,生活服务,殡葬服务,甘肃省,兰州市,七里河区,五星坪后街2号(近灵明堂),,1,0,103.799081,36.048609,,life,http://api.map.baidu.com/place/detail?uid=a4726de684d47e73c51e511b&output=html&source=placeapi_v2,,,0.0,,,,,,,1,,,,,,,,,,0
c5f8eb176e922d8c28b97c7b,兰州福寿园(兰州沈家岭福寿人文园),生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区沈家岭100号,c5f8eb176e922d8c28b97c7b,1,0,103.801046,36.030732,,life,http://api.map.baidu.com/place/detail?uid=c5f8eb176e922d8c28b97c7b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,103.80098130465,36.030737297923,0
9fcdc9ba387a9f2c2cb96dcb,三国日杂殡葬用品店,生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区工林路126号,,1,0,103.810141,36.058277,,life,http://api.map.baidu.com/place/detail?uid=9fcdc9ba387a9f2c2cb96dcb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,103.80996271136,36.057829053396,0
f6263d08ef7e4fdf2cb9083a,天祥殡葬一条龙,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路甘肃二建华林坪小区东南侧约70米,,1,0,103.808304,36.05516,,life,http://api.map.baidu.com/place/detail?uid=f6263d08ef7e4fdf2cb9083a&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
46e290774f9df9083fe23131,小葛殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,七里河区,甘肃省兰州市七里河区华林路247号,46e290774f9df9083fe23131,1,0,103.808019,36.055725,,life,http://api.map.baidu.com/place/detail?uid=46e290774f9df9083fe23131&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,,,,,,,,,,,0
820ea4a86c7fadbf2bb97c19,甘肃安德殡葬一条龙服务中心,生活服务,殡葬服务,甘肃省,兰州市,七里河区,兰州市七里河区华林路甘肃二建华林坪小区,,1,0,103.807762,36.055782,,life,http://api.map.baidu.com/place/detail?uid=820ea4a86c7fadbf2bb97c19&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
af9a91a639fa4024715e8006,寿衣骨灰盒,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区和政西街安恬小区,af9a91a639fa4024715e8006,1,0,103.842614,36.045314,,life,http://api.map.baidu.com/place/detail?uid=af9a91a639fa4024715e8006&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
8dbe47b2be32d90194ca07b8,万眼泉园林公墓,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区金昌南路兰州仁和医院东侧约40米,8dbe47b2be32d90194ca07b8,1,0,103.836012,36.047245,,life,http://api.map.baidu.com/place/detail?uid=8dbe47b2be32d90194ca07b8&output=html&source=placeapi_v2,,,0,,,,,,,7,0,,,,,,,103.83589496967,36.047295360608,0
2b77cfa96032af9b9222e085,顺太殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区和政西街兰州市五十六中西南侧约70米,2b77cfa96032af9b9222e085,1,0,103.840199,36.047393,,life,http://api.map.baidu.com/place/detail?uid=2b77cfa96032af9b9222e085&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
7502b5a229bc6ac25e0d02db,殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区常顺东街红山根-三村,7502b5a229bc6ac25e0d02db,1,0,103.861824,36.037251,,life,http://api.map.baidu.com/place/detail?uid=7502b5a229bc6ac25e0d02db&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,103.86172833173,36.037275168801,0
42f069f369123c7d283a9f17,殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区红星巷金信小区,42f069f369123c7d283a9f17,1,0,103.869778,36.040071,,life,http://api.map.baidu.com/place/detail?uid=42f069f369123c7d283a9f17&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,103.86962312294,36.040107553604,0
0ecf0fca927c716940ab9a1d,花圈店,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区南环东路兰州市第五十二中学东侧,,1,0,103.866254,36.035274,,life,http://api.map.baidu.com/place/detail?uid=0ecf0fca927c716940ab9a1d&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
42f069f369123c7d283a9f17,殡葬一条龙服务,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区红星巷金信小区,42f069f369123c7d283a9f17,1,0,103.869778,36.040071,,life,http://api.map.baidu.com/place/detail?uid=42f069f369123c7d283a9f17&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,103.86962312294,36.040107553604,0
e8f0fee7ca0d1776e81e97fc,安乐寿衣花圈(嘉峪关西路),生活服务,殡葬服务,甘肃省,兰州市,城关区,甘肃省兰州市城关区嘉峪关西路147号,e8f0fee7ca0d1776e81e97fc,1,0,103.880751,36.044368,,life,http://api.map.baidu.com/place/detail?uid=e8f0fee7ca0d1776e81e97fc&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,103.8807941161,36.04447106217,0
7d5f70baec17827994031928,寿衣,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区沪霍线甘肃省人民医院西南2门南侧约30米,7d5f70baec17827994031928,1,0,103.872337,36.053349,,life,http://api.map.baidu.com/place/detail?uid=7d5f70baec17827994031928&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
4ada493698242c616849f37b,花圈,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区东岗东路拱星墩小学东北侧约30米,4ada493698242c616849f37b,1,0,103.900644,36.045493,,life,http://api.map.baidu.com/place/detail?uid=4ada493698242c616849f37b&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,103.90063102298,36.045389725702,0
f7cc10b5cef6db28b5147fd6,兰州和平牡丹园公墓办事处,生活服务,殡葬服务,甘肃省,兰州市,城关区,兰州市城关区段家滩路555号,f7cc10b5cef6db28b5147fd6,1,0,103.891515,36.051051,"(0931)5278416,(0931)8633338",scope,http://api.map.baidu.com/place/detail?uid=f7cc10b5cef6db28b5147fd6&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,103.89158820631,36.051240282166,0
15ed53ce69da8a549222e01a,龙凤园公墓,生活服务,殡葬服务,甘肃省,兰州市,城关区,甘肃省兰州市城关区龙凤园公墓管理处南250米,,1,0,103.920585,36.031668,,life,http://api.map.baidu.com/place/detail?uid=15ed53ce69da8a549222e01a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,103.92065369944,36.031629322961,0
