uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
baea11e75955a7e128d7ab66,仁华大药房,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,拉萨市堆龙德庆区乃琼镇中心小学北侧约50米,,1,0,90.995476,29.635435,,hospital,http://api.map.baidu.com/place/detail?uid=baea11e75955a7e128d7ab66&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
e0a49c8f90420c5045572646,西藏金灵医药,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区园区南路11号,,1,0,90.995625,29.625369,,hospital,http://api.map.baidu.com/place/detail?uid=e0a49c8f90420c5045572646&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,90.995455590058,29.625128508346,0
45743ac9c83f5e9fda2f2856,堆龙仁尔祥医药超市,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,拉青东二路与波玛路交叉口西南200米,,1,0,90.998162,29.632837,,hospital,http://api.map.baidu.com/place/detail?uid=45743ac9c83f5e9fda2f2856&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,90.998395685601,29.632779144957,0
649908d69d3a92a81b94c6f3,月王藏药,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区维色路9号,,1,0,91.021498,29.63322,,hospital,http://api.map.baidu.com/place/detail?uid=649908d69d3a92a81b94c6f3&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
6538f233ec8ea583eee4a534,仁安大药房,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区柳梧新区世纪大道天知世界城珑玺小区门面1-5-6号,,1,0,91.06998,29.631098,(0891)6829808,hospital,http://api.map.baidu.com/place/detail?uid=6538f233ec8ea583eee4a534&output=html&source=placeapi_v2,,08:00-00:00,0.0,,,,,,,3,,,,,,,,,,0
36262af815178073fb22136f,友谊大药房(察古大道店),医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区柳梧乡察古大道海亮世纪新城,36262af815178073fb22136f,1,0,91.093902,29.624742,18089986241,hospital,http://api.map.baidu.com/place/detail?uid=36262af815178073fb22136f&output=html&source=placeapi_v2,,10:00-22:00,0,,,,,,,4,0,,,,,,,91.094173298812,29.624897391807,0
8c0c6c753065e6c12ce67b0e,泰康医药(通站路店),医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区柳梧新区金马国际对面,8c0c6c753065e6c12ce67b0e,1,0,91.088936,29.625357,(0891)6534648,hospital,http://api.map.baidu.com/place/detail?uid=8c0c6c753065e6c12ce67b0e&output=html&source=placeapi_v2,,09:30-22:00,,,,,,,,3,,,,,,,,91.088704844762,29.625265744787,0
da1a25c238b8f0e0f8221356,安润堂大药房,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区北京大道22-2-5号,,1,0,91.089651,29.616979,,hospital,http://api.map.baidu.com/place/detail?uid=da1a25c238b8f0e0f8221356&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,91.090013752245,29.617002690366,0
b49f62abe425263c1d1d111c,京爱医药,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,拉萨市堆龙德庆区北京大道海亮祥云华府(西区),,1,0,91.089374,29.620786,,hospital,http://api.map.baidu.com/place/detail?uid=b49f62abe425263c1d1d111c&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,91.089694285162,29.62080613717,0
c69141bc9628985dc16c140c,梵光大药房,医疗,药店,西藏自治区,拉萨市,堆龙德庆区,西藏自治区拉萨市堆龙德庆区柳梧新区世纪大道10号百益南岸商品房S-4-1-1,,1,0,91.084467,29.63421,18076902201,hospital,http://api.map.baidu.com/place/detail?uid=c69141bc9628985dc16c140c&output=html&source=placeapi_v2,,09:00-23:00,,,,,,,,3,,,,,,,,91.084423303618,29.634190863199,0
