uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
d397bad145bbcb8d4251c093,机电制冷维修,生活服务,维修点,江西省,南昌市,南昌县,南昌市南昌县S526广福客运站东侧约220米,d397bad145bbcb8d4251c093,1,0,115.921515,28.368693,13870823810,life,http://api.map.baidu.com/place/detail?uid=d397bad145bbcb8d4251c093&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
ef10136f0b979d2742ab9aa3,小万化肥批发机电维修,生活服务,维修点,江西省,南昌市,南昌县,南昌市南昌县S526广福客运站东北侧约200米,ef10136f0b979d2742ab9aa3,1,0,115.92112,28.368908,"13576281220,13870055310",life,http://api.map.baidu.com/place/detail?uid=ef10136f0b979d2742ab9aa3&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.92117278651,28.368987794962,0
5b178e3facf52441f4b91699,骑韵电动车摩托车修理店,生活服务,维修点,江西省,南昌市,南昌县,南昌市南昌县S526,5b178e3facf52441f4b91699,1,0,115.966079,28.345315,,life,http://api.map.baidu.com/place/detail?uid=5b178e3facf52441f4b91699&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.96599332939,28.345209339887,0
1974b29b5ee0b46d2806ce20,四辉家电维修,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县前进路颖华中学东南侧约60米,,1,0,116.098736,28.358642,13607914826,life,http://api.map.baidu.com/place/detail?uid=1974b29b5ee0b46d2806ce20&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,116.09862250641,28.358721810051,0
09cd0fc38046045507fef549,小蒋家电维修,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县桥西五街街心花园住宅小区西侧约140米,,1,0,116.088457,28.355945,,life,http://api.map.baidu.com/place/detail?uid=09cd0fc38046045507fef549&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
f63d77a085b6a562f4b91643,小龚家电维修,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县利民路农村商业银行(温圳支行)南侧约100米,,1,0,116.090184,28.348608,13687083915,life,http://api.map.baidu.com/place/detail?uid=f63d77a085b6a562f4b91643&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,116.0903367996,28.34860435405,0
a816b3987e1faa6e5d17c37b,电器维修店,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县高桥街张公派出所西南侧约110米,,1,0,116.190656,28.367661,,life,http://api.map.baidu.com/place/detail?uid=a816b3987e1faa6e5d17c37b&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
faa0adf056c2783c71455bb4,孔师傅家电维修,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县富民路张公镇综合大市场,,1,0,116.188513,28.368963,,life,http://api.map.baidu.com/place/detail?uid=faa0adf056c2783c71455bb4&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
92874719c4f74c086fc02c2f,佳丰电器维修中心,生活服务,维修点,江西省,南昌市,进贤县,南昌市进贤县云桥南路恒昌华城,,1,0,116.258037,28.359159,,life,http://api.map.baidu.com/place/detail?uid=92874719c4f74c086fc02c2f&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,116.25827994363,28.358982584909,0
64271062a510ad6f42d63efe,手机维修换屏,生活服务,维修点,江西省,南昌市,进贤县,江西省南昌市进贤县胜利南路4号,,1,0,116.262386,28.356028,,life,http://api.map.baidu.com/place/detail?uid=64271062a510ad6f42d63efe&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
