uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
1af1d71d0888fe631b94c665,数码服务中心,生活服务,维修点,江苏省,南京市,高淳区,南京市高淳区沧浪街金楼花园北侧约160米,,1,0,118.822506,31.336668,,life,http://api.map.baidu.com/place/detail?uid=1af1d71d0888fe631b94c665&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
c7680148b3b2b561f42310a0,海兵电动车维修,生活服务,维修点,江苏省,南京市,高淳区,南京市高淳区中兴路阳江中心小学北侧约80米,,1,0,118.827336,31.338343,,life,http://api.map.baidu.com/place/detail?uid=c7680148b3b2b561f42310a0&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
56f65def3f4ab55f4e776e36,专业维修部,生活服务,维修点,江苏省,南京市,高淳区,南京市高淳区沧浪街高淳区永丰中学南侧约110米,,1,0,118.821209,31.336944,,life,http://api.map.baidu.com/place/detail?uid=56f65def3f4ab55f4e776e36&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6c3fa3f7a61eb5c1b6147fa4,变频器维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区北岭路29号2栋2橦1-6号,6c3fa3f7a61eb5c1b6147fa4,1,0,118.883411,31.338641,,life,http://api.map.baidu.com/place/detail?uid=6c3fa3f7a61eb5c1b6147fa4&output=html&source=placeapi_v2,,,,,,,,,,8,,,,,,,,118.88342801151,31.33847118353,0
36bfad381f4b7fc8c3364419,家电维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区甘霖路北岭山庄36幢,36bfad381f4b7fc8c3364419,1,0,118.877627,31.336295,,life,http://api.map.baidu.com/place/detail?uid=36bfad381f4b7fc8c3364419&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,118.87752416264,31.336267819979,0
f31c202817e88c7c077ce8c7,NB专业手机维修(世纪花园店),生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区北岭路168-25号,,1,0,118.890158,31.338599,13182951115,life,http://api.map.baidu.com/place/detail?uid=f31c202817e88c7c077ce8c7&output=html&source=placeapi_v2,,08:00-21:00,0,,,,,,,2,0,,,,,,,118.89015106828,31.338688313117,0
7ea5696ba24b356dede4a5f6,小丁家电维修(丹凤路店),生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区北漪路5号3~7号,7ea5696ba24b356dede4a5f6,1,0,118.887165,31.332194,,life,http://api.map.baidu.com/place/detail?uid=7ea5696ba24b356dede4a5f6&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,,,0
f3b9834173153cd6882fb53f,乐修手机维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区淳溪镇镇北路27-5号,f3b9834173153cd6882fb53f,1,0,118.874148,31.329731,15150611253,life,http://api.map.baidu.com/place/detail?uid=f3b9834173153cd6882fb53f&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,,,0
0cfd739c423dc17115a19024,佳东手机维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区淳东路37号1栋101室,,1,0,118.880605,31.332845,,life,http://api.map.baidu.com/place/detail?uid=0cfd739c423dc17115a19024&output=html&source=placeapi_v2,,08:00-22:00,0,,,,,,,3,0,,,,,,,118.88077621364,31.332849226306,0
868f2629bd1a37b4c0f1cfaf,建军摩托修配,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区北岭路98之1~2号1栋1单元,868f2629bd1a37b4c0f1cfaf,1,0,118.878763,31.337898,,life,http://api.map.baidu.com/place/detail?uid=868f2629bd1a37b4c0f1cfaf&output=html&source=placeapi_v2,,,,,,,,,,10,,,,,,,,,,0
29705c7b029fbc6b28d7aba0,越平电动车维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区淳溪镇北岭山庄44栋越平电动车维修,,1,0,118.877031,31.335927,,life,http://api.map.baidu.com/place/detail?uid=29705c7b029fbc6b28d7aba0&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
68cc05db7260478cbe484229,小邢摩配(北岭路店),生活服务,维修点,江苏省,南京市,高淳区,江苏南京市高淳区北岭路166号天泰雅居3幢103号,68cc05db7260478cbe484229,1,0,118.887269,31.338418,13072508500,life,http://api.map.baidu.com/place/detail?uid=68cc05db7260478cbe484229&output=html&source=placeapi_v2,,08:00-18:30,,,,,,,,7,,,,,,,,118.88722706139,31.338517628826,0
741e7e66e9cfcd19471a323b,鸿胜电动车维修部,生活服务,维修点,江苏省,南京市,高淳区,江苏南京市高淳区宝塔路华天购物广场7栋101室,741e7e66e9cfcd19471a323b,1,0,118.881164,31.329878,,life,http://api.map.baidu.com/place/detail?uid=741e7e66e9cfcd19471a323b&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,,,0
420f1ef2724efdf8d72ce24f,旭派电池富新电动车维修,生活服务,维修点,江苏省,南京市,高淳区,江苏省南京市高淳区胥河路98号3栋,420f1ef2724efdf8d72ce24f,1,0,118.897562,31.343245,,life,http://api.map.baidu.com/place/detail?uid=420f1ef2724efdf8d72ce24f&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,118.8975430267,31.343126884534,0
