uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
8d96925c31aaf047c1f1cf3e,那陈派出所,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,南宁市良庆区那陈新街1号,8d96925c31aaf047c1f1cf3e,1,0,108.292486,22.453827,(0771)4140019,life,http://api.map.baidu.com/place/detail?uid=8d96925c31aaf047c1f1cf3e&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,108.29252911284,22.453941597948,0
f54658e26e2d7978f403b880,百济派出所治安防控点,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,南宁市邕宁区上宁街百济镇中心幼儿园北侧约130米,f54658e26e2d7978f403b880,1,0,108.587277,22.471567,(0771)4376022,life,http://api.map.baidu.com/place/detail?uid=f54658e26e2d7978f403b880&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7eed8aacaafe042bdf1e52a4,校园警务室,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,南宁市邕宁区蒲百二级公路百济镇初级中学,,1,0,108.591664,22.473741,,life,http://api.map.baidu.com/place/detail?uid=7eed8aacaafe042bdf1e52a4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
367f60c9cd2b8da3343a7196,社会治安综合治理领导小组,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,南宁市邕宁区上宁街百济镇中心幼儿园北侧约160米,367f60c9cd2b8da3343a7196,1,0,108.586833,22.471743,,life,http://api.map.baidu.com/place/detail?uid=367f60c9cd2b8da3343a7196&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
9ee392b841e50940babd63a8,南宁市公安局百济派出所,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,南宁市邕宁区百兴路,9ee392b841e50940babd63a8,1,0,108.581779,22.473146,(0771)4376022,life,http://api.map.baidu.com/place/detail?uid=9ee392b841e50940babd63a8&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,,,0
765ede06737437173a13fd3f,苏圩派出所,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区苏圩镇团结路10号,765ede06737437173a13fd3f,1,0,108.106556,22.550372,(0771)4178015,life,http://api.map.baidu.com/place/detail?uid=765ede06737437173a13fd3f&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,108.1067982558,22.55034035071,0
2a7a25ec46b3f01d6c3e1b4c,南宁市公安局公路巡逻民警支队五大队苏圩中队,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区南宁市公安局公路巡警支队五大队苏圩中队,2a7a25ec46b3f01d6c3e1b4c,1,0,108.107156,22.558252,(0771)4178016,life,http://api.map.baidu.com/place/detail?uid=2a7a25ec46b3f01d6c3e1b4c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,108.10725965426,22.55804514107,0
63d2c8d24a3e8550c7f02593,南宁市江南区人民法院苏圩人民法庭,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,G322苏圩蔬菜市场西侧,63d2c8d24a3e8550c7f02593,1,0,108.109639,22.559192,(0771)4896539,life,http://api.map.baidu.com/place/detail?uid=63d2c8d24a3e8550c7f02593&output=html&source=placeapi_v2,,"08:00-12:00,15:00-18:00",,,,,,,,,,,,,,,,108.10971125216,22.559014728807,0
8c5b0258670fc4372811d1fa,七坡林场驻永红警务室,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区,,1,0,108.19857,22.579358,,life,http://api.map.baidu.com/place/detail?uid=8c5b0258670fc4372811d1fa&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
066a6f07adf4ef53acee7a44,南宁机场公安分局,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区航空路与机场路交叉路口往东北约70米,066a6f07adf4ef53acee7a44,1,1,108.180711,22.619342,,life,http://api.map.baidu.com/place/detail?uid=066a6f07adf4ef53acee7a44&output=html&source=placeapi_v2,,"09:00-12:00,14:00-17:00",,,,,,,,,,,,,,,,108.18070516932,22.619224025576,1
bd5046e89d0b7b3cd72ce2c5,南宁市公安局交警支队民航机场大队,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,永安路326号,bd5046e89d0b7b3cd72ce2c5,1,0,108.180269,22.619516,,life,http://api.map.baidu.com/place/detail?uid=bd5046e89d0b7b3cd72ce2c5&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,0,,,,,,,,108.18059593537,22.61934456667,0
fb0b8c266191868cdeee8b01,江南公安分局毒品查缉点,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区南友高速,,1,0,108.183753,22.62912,,life,http://api.map.baidu.com/place/detail?uid=fb0b8c266191868cdeee8b01&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7716c5971a9683d328201a13,安保执勤,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区吴圩镇机场路南宁吴圩国际机场F2,,1,0,108.19245,22.607474,,life,http://api.map.baidu.com/place/detail?uid=7716c5971a9683d328201a13&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ce6dff29cc616df7aa0dd88f,新江派出所,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,南宁市邕宁区新江街482号,ce6dff29cc616df7aa0dd88f,1,0,108.502638,22.624065,(0771)4762002,life,http://api.map.baidu.com/place/detail?uid=ce6dff29cc616df7aa0dd88f&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,108.50257231294,22.62385883774,0
18aaefcbea5fbd06465726ac,南宁市邕宁区人民法院那楼人民法庭,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,那楼镇那楼街537号,18aaefcbea5fbd06465726ac,1,0,108.634562,22.61651,(0771)4345401,life,http://api.map.baidu.com/place/detail?uid=18aaefcbea5fbd06465726ac&output=html&source=placeapi_v2,,"08:00-12:00,15:00-18:00",,,,,,,,0,,,,,,,,108.63467234493,22.616526142097,0
f86c4ccc3c1b444bc929150a,南宁市公安局邕宁分局那楼派出所,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,广西壮族自治区南宁市邕宁区那楼街78号,f86c4ccc3c1b444bc929150a,1,0,108.636681,22.615469,,life,http://api.map.baidu.com/place/detail?uid=f86c4ccc3c1b444bc929150a&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,108.63662069143,22.615420268041,0
e70a5e40591881a2f1193766,邕宁区人民检察院派驻那楼镇检察室,政府机构,公检法机构,广西壮族自治区,南宁市,邕宁区,广西壮族自治区南宁市邕宁区X022(人和路),e70a5e40591881a2f1193766,1,0,108.634484,22.616291,,life,http://api.map.baidu.com/place/detail?uid=e70a5e40591881a2f1193766&output=html&source=placeapi_v2,,,0.0,,,,,,,0,,,,,,,,,,0
6fd8aab944aa9413da2f28f3,江南区人民法院吴圩人民法庭,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,友谊路吴圩段114号,6fd8aab944aa9413da2f28f3,1,0,108.227058,22.653617,(0771)4207320,life,http://api.map.baidu.com/place/detail?uid=6fd8aab944aa9413da2f28f3&output=html&source=placeapi_v2,,"08:00-12:00,15:00-18:00",,,,,,,,,,,,,,,,108.22718450249,22.653421615314,0
997490b49e7f3ccef8221388,南宁市公安局吴圩派出所,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区友谊路吴圩段85号,,1,0,108.22781,22.653233,(0771)4207316,life,http://api.map.baidu.com/place/detail?uid=997490b49e7f3ccef8221388&output=html&source=placeapi_v2,,"09:00-12:00,14:00-17:00",,,,,,,,0,,,,,,,,108.22773736911,22.653351053536,0
e490acccb722906080a00ca5,南宁市交警支队十大队吴圩中队,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区友谊路吴圩段304号,e490acccb722906080a00ca5,1,0,108.225329,22.646216,(0771)4207480,life,http://api.map.baidu.com/place/detail?uid=e490acccb722906080a00ca5&output=html&source=placeapi_v2,,08:30-17:30,,,,,,,,0,,,,,,,,108.22557274029,22.64631965746,0
f6d230f5e4ab177c0f0e6ba1,交通警察,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区衡友线光明小学北侧约80米,f6d230f5e4ab177c0f0e6ba1,1,0,108.225706,22.646336,,life,http://api.map.baidu.com/place/detail?uid=f6d230f5e4ab177c0f0e6ba1&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,108.22585218966,22.646391037822,0
686a6dfc8296cd667adbd2a7,南宁市江南区人民检察院派驻吴圩检察室,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区博济街27-2,,1,0,108.23122,22.653028,,life,http://api.map.baidu.com/place/detail?uid=686a6dfc8296cd667adbd2a7&output=html&source=placeapi_v2,,,,,,,,,,0,,,,,,,,108.23126089791,22.653094191172,0
926a81f1f5b2ef424d2fdf31,吴圩派出所空港商贸城执勤点,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区衡友线光明小学南侧约70米,926a81f1f5b2ef424d2fdf31,1,0,108.225428,22.643052,,life,http://api.map.baidu.com/place/detail?uid=926a81f1f5b2ef424d2fdf31&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,108.22547555172,22.642979748942,0
5d5a9c4dab5cfdae774ff184,那马派出所,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,那马镇那马街3号,,1,0,108.394361,22.642532,(0771)4770107,life,http://api.map.baidu.com/place/detail?uid=5d5a9c4dab5cfdae774ff184&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,108.39455276155,22.642388047909,0
213a2aee41209933734b87c0,凌宁市公安局玉洞派出所南宁市良庆区秋月湖幼儿园警务室,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,银海大道818号附近,213a2aee41209933734b87c0,1,0,108.343293,22.727794,,life,http://api.map.baidu.com/place/detail?uid=213a2aee41209933734b87c0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
98c6cc8ac717ff7b465726a7,金象派出所治安防控,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,南宁市良庆区建业三街百洋水产集团股份有限公司饲料分公司,98c6cc8ac717ff7b465726a7,1,0,108.332622,22.729107,,life,http://api.map.baidu.com/place/detail?uid=98c6cc8ac717ff7b465726a7&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,108.33276124503,22.729154054655,0
d37c10818f85286c11882423,金象警务工作服务站,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,广西壮族自治区南宁市良庆区银海大道,,1,0,108.339687,22.733396,,life,http://api.map.baidu.com/place/detail?uid=d37c10818f85286c11882423&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,108.33946982112,22.733749301996,0
93dc64b32487c433acee7a58,玉洞派出所坡洋警务室,政府机构,公检法机构,广西壮族自治区,南宁市,良庆区,南宁市良庆区永和街2-1号附近,93dc64b32487c433acee7a58,1,0,108.343457,22.733935,,life,http://api.map.baidu.com/place/detail?uid=93dc64b32487c433acee7a58&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,108.34367576477,22.734078499942,0
3ccca9ac5bb901e42cb9080c,南宁市公安局那洪派出所执勤室,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区X003,,1,0,108.259452,22.756957,,life,http://api.map.baidu.com/place/detail?uid=3ccca9ac5bb901e42cb9080c&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,108.25943046783,22.756785109111,0
7f47c4330e6425fd22f017c8,南宁市公安局交警支队疏导大队交通违法处理点,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,广西壮族自治区南宁市江南区友谊路21-6号,7f47c4330e6425fd22f017c8,1,0,108.297486,22.764598,,life,http://api.map.baidu.com/place/detail?uid=7f47c4330e6425fd22f017c8&output=html&source=placeapi_v2,,"09:00-12:00,14:00-17:00",,,,,,,,1,,,,,,,,108.29730505021,22.76437060721,0
81f430fd813774bfcac3db0f,广西壮族自治区公安局交通警察支队十二大队警务室(高岭服务区),政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区高岭服务区附近,81f430fd813774bfcac3db0f,1,0,108.294484,22.745196,,life,http://api.map.baidu.com/place/detail?uid=81f430fd813774bfcac3db0f&output=html&source=placeapi_v2,,"09:00-12:00,14:00-17:00",,,,,,,,,,,,,,,,108.2945036153,22.745373864871,0
8529bf21e86016704f6d46e0,经开区派出所执勤点,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区国凯一支路金凯工业园西侧约200米,8529bf21e86016704f6d46e0,1,0,108.306156,22.757284,,life,http://api.map.baidu.com/place/detail?uid=8529bf21e86016704f6d46e0&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,108.30622360247,22.757284480341,0
143ea21e49d1df474d554712,那洪派出所治安防控点,政府机构,公检法机构,广西壮族自治区,南宁市,江南区,南宁市江南区友谊路58-8号附近,143ea21e49d1df474d554712,1,0,108.292965,22.757237,,life,http://api.map.baidu.com/place/detail?uid=143ea21e49d1df474d554712&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,108.29287622977,22.757237215092,0
