uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
549dbbc9408e6cc1601c6770,世纪购物超市,购物,超市,浙江省,宁波市,宁海县,浙江省宁波市宁海县崔家村路90号,,1,0,121.459814,29.510402,,shopping,http://api.map.baidu.com/place/detail?uid=549dbbc9408e6cc1601c6770&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bf8e4b6c4f91ea7ce812e4a0,佳品超市(崔家店),购物,超市,浙江省,宁波市,宁海县,宁波市宁海县崔家村星海花园望海码头1号楼,,1,0,121.464369,29.515341,13335745585,shopping,http://api.map.baidu.com/place/detail?uid=bf8e4b6c4f91ea7ce812e4a0&output=html&source=placeapi_v2,,06:00-23:00,,,,,,,,,,,,,,,,121.46452430418,29.515308219366,0
55aac4429462f6f30f0e6b35,乐惠超市(丹东线店),购物,超市,浙江省,宁波市,奉化区,莼湖街道下陈批发市场内,,1,0,121.44708,29.528221,,shopping,http://api.map.baidu.com/place/detail?uid=55aac4429462f6f30f0e6b35&output=html&source=placeapi_v2,,05:00-22:30,,,,,,,,,,,,,,,,121.44689116081,29.52786626142,0
f4d9ec667aa041f0d72ce2ff,鑫峰超市(崔家店),购物,超市,浙江省,宁波市,宁海县,宁波市宁海县西店镇崔家村15号,f4d9ec667aa041f0d72ce2ff,1,0,121.45821,29.510542,15268862723,shopping,http://api.map.baidu.com/place/detail?uid=f4d9ec667aa041f0d72ce2ff&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
89e7b9613091ca3aa4c756ad,栖凤渔港超市,购物,超市,浙江省,宁波市,奉化区,宁波市奉化区栖凤村村民委员会附近,,1,0,121.531447,29.530424,,shopping,http://api.map.baidu.com/place/detail?uid=89e7b9613091ca3aa4c756ad&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
b1e309a239fc162214c8f6fb,万家乐超市(栖凤店),购物,超市,浙江省,宁波市,奉化区,浙江省宁波市奉化区莼湖街道渔港中路100-6号,b1e309a239fc162214c8f6fb,1,0,121.530366,29.534918,15867475073,shopping,http://api.map.baidu.com/place/detail?uid=b1e309a239fc162214c8f6fb&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,121.5303414915,29.534993048241,0
def92aa3f5df7f7c260bd0bc,联华超市,购物,超市,浙江省,宁波市,奉化区,栖凤村,,1,0,121.530234,29.535189,,shopping,http://api.map.baidu.com/place/detail?uid=def92aa3f5df7f7c260bd0bc&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
0a8281fcf977cdf702294f8a,建丽超市(西沪村店),购物,超市,浙江省,宁波市,象山县,宁波市象山县孙下线,0a8281fcf977cdf702294f8a,1,0,121.780206,29.53233,13968390738,shopping,http://api.map.baidu.com/place/detail?uid=0a8281fcf977cdf702294f8a&output=html&source=placeapi_v2,,06:30-22:00,0.0,,,,,,,,0,,,,,,,,,0
0c123758b2947a910782c284,同发超市,购物,超市,浙江省,宁波市,奉化区,浙江省宁波市奉化区莼湖街道莼湖镇同山村石头堤8号西南方向130米,0c123758b2947a910782c284,1,0,121.514299,29.561605,13221870636,shopping,http://api.map.baidu.com/place/detail?uid=0c123758b2947a910782c284&output=html&source=placeapi_v2,,05:30-22:30,0.0,,,,,,,,,,,,,,,121.51446632572,29.561539226093,0
d791b5166ad0a6dd9fec2b97,好又多购物(金海路店),购物,超市,浙江省,宁波市,奉化区,浙江省宁波市奉化区力邦小区3幢1正北方向70米,,1,0,121.512439,29.54581,13884410619,shopping,http://api.map.baidu.com/place/detail?uid=d791b5166ad0a6dd9fec2b97&output=html&source=placeapi_v2,,06:00-23:00,,,,,,,,,,,,,,,,121.5124432959,29.545997153625,0
58c4efce713d995fcb213d54,湾里超市,购物,超市,浙江省,宁波市,奉化区,宁波市奉化区白裘线,,1,0,121.600055,29.560656,,shopping,http://api.map.baidu.com/place/detail?uid=58c4efce713d995fcb213d54&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7536909b3eecf93c750269a9,贝贝超市,购物,超市,浙江省,宁波市,奉化区,宁波市奉化区曹黄线梅鹤新村南侧约180米,7536909b3eecf93c750269a9,1,0,121.591175,29.570109,(0574)88787233,shopping,http://api.map.baidu.com/place/detail?uid=7536909b3eecf93c750269a9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,121.59135787726,29.570120375751,0
