uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
c96b034abedcbdb217b54ba5,古山六角亭,旅游景点,风景区,福建省,泉州市,南安市,福建省泉州市南安市石井镇古山村乡村道路十字路口,,1,0,118.41991,24.632319,,scope,http://api.map.baidu.com/place/detail?uid=c96b034abedcbdb217b54ba5&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
04d2e3559d78a458dbecede9,石井鹤憩园,旅游景点,风景区,福建省,泉州市,南安市,泉州市南安市G228南安市石井厚德中学东南侧约210米,,1,0,118.428437,24.635987,,scope,http://api.map.baidu.com/place/detail?uid=04d2e3559d78a458dbecede9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
b89bcf1c255f60bf2fe67be6,祈福门,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市灵仙路中国建设银行(晋江英林支行)东南侧约300米,,1,0,118.588786,24.631596,,scope,http://api.map.baidu.com/place/detail?uid=b89bcf1c255f60bf2fe67be6&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ebf61b32055acd555a3ac8ba,图灵坊,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市龙英路敦煌大酒店东南侧约100米,ebf61b32055acd555a3ac8ba,1,0,118.584869,24.630431,15311376878,scope,http://api.map.baidu.com/place/detail?uid=ebf61b32055acd555a3ac8ba&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
82ad0c275d94e116a4c7568a,生态宝树园,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市后头村幼儿园南侧约260米,,1,0,118.581137,24.606223,,scope,http://api.map.baidu.com/place/detail?uid=82ad0c275d94e116a4c7568a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
27535a730944d708fe0eb0e8,清虚胜境牌坊,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市陈而灶大道狮峰中心学校北侧约230米,,1,0,118.679756,24.624113,,scope,http://api.map.baidu.com/place/detail?uid=27535a730944d708fe0eb0e8&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
befdb292862889e187154162,海峡和平女神,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市环岛路,befdb292862889e187154162,1,0,118.686922,24.634095,,scope,http://api.map.baidu.com/place/detail?uid=befdb292862889e187154162&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,118.68667056823,24.634106069582,0
753d3c4449d05313f942b289,玉龙殿戏台,旅游景点,风景区,福建省,泉州市,晋江市,泉州市晋江市福厦高速,,1,0,118.474792,24.652884,,scope,http://api.map.baidu.com/place/detail?uid=753d3c4449d05313f942b289&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
ad20272f70fb03042cb90883,河龙亭,旅游景点,风景区,福建省,泉州市,晋江市,福建省泉州市晋江市环城高速,,1,0,118.474777,24.652987,,scope,http://api.map.baidu.com/place/detail?uid=ad20272f70fb03042cb90883&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
a8afa5d855b282b0118824ae,东石古寨,旅游景点,风景区,福建省,泉州市,晋江市,福建省泉州市晋江市古寨路养恩幼儿园附近,,1,1,118.464441,24.667361,,scope,http://api.map.baidu.com/place/detail?uid=a8afa5d855b282b0118824ae&output=html&source=placeapi_v2,,00:00-24:00,4.5,,,,,,,,17,,,,,,,,,1
