uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
2a82d44c0e73dd172fb9088e,庄行服务区,交通设施,服务区,上海市,上海市,奉贤区,上海市奉贤区庄行服务区,,1,2,121.401878,30.893852,,life,http://api.map.baidu.com/place/detail?uid=2a82d44c0e73dd172fb9088e&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,121.40349578064,30.894022404733,2
c5534ca9b53a6242cae33c1c,庄行服务,交通设施,服务区,上海市,上海市,奉贤区,上海市奉贤区上海绕城高速庄行服务区,,1,0,121.401411,30.894117,,life,http://api.map.baidu.com/place/detail?uid=c5534ca9b53a6242cae33c1c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2858c7e1bfcf4cb3e9f8531e,叶榭服务区,交通设施,服务区,上海市,上海市,松江区,上海市松江区叶榭服务区(嘉金高速公路西50米),2858c7e1bfcf4cb3e9f8531e,1,4,121.312827,30.963722,,life,http://api.map.baidu.com/place/detail?uid=2858c7e1bfcf4cb3e9f8531e&output=html&source=placeapi_v2,,,0.0,,,,,,,0,1,,,,,,,121.31257863031,30.964431718025,4
acd6bc9a06dddef1e8f853bc,叶榭服务区,交通设施,服务区,上海市,上海市,松江区,上海市松江区叶榭服务区(嘉金高速公路东),acd6bc9a06dddef1e8f853bc,1,2,121.314138,30.963856,,life,http://api.map.baidu.com/place/detail?uid=acd6bc9a06dddef1e8f853bc&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,121.31510096798,30.961173068604,2
d7ab75306fb6e57e72210b76,乐翼服务外包,交通设施,服务区,上海市,上海市,闵行区,上海市闵行区江薛路闵行丽园小区,,1,0,121.378175,30.999273,,life,http://api.map.baidu.com/place/detail?uid=d7ab75306fb6e57e72210b76&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,,,0
d25eccb736db5df96240a957,小昆山服务区,,,上海市,上海市,松江区,上海市松江区小昆山服务区(昆港公路东),,0,3,121.140598,31.059087,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,3
fb04313d073f8d313ce231f9,小昆山服务区,,,上海市,上海市,松江区,上海市松江区(上海绕城高速公路东),,0,2,121.141979,31.058422,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,2
7ef55b25c5a8bbfb87420e17,小昆山服务区-停车场,,,上海市,上海市,松江区,小昆山服务区与G1501上海绕城高速交叉口北150米,,0,1,121.141831,31.058157,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,1
04d236f36d980a2aa3acc455,小昆山服务区-停车场,,,上海市,上海市,松江区,上海市松江区上海绕城高速小昆山服务区,,0,0,121.14029,31.059775,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
e88e3b2bfdf9922ffbf0cbc5,G1501/小昆山服务区(路口),,,上海市,上海市,松江区,上海市松江区小昆山服务区,,0,0,121.140524,31.060285,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
d1baa4877ddfd53afea77882,上海绕城高速/小昆山服务区(路口),,,上海市,上海市,松江区,上海市松江区上海绕城高速,,0,0,121.140524,31.060285,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
6fddd7fdb62f2c7e3517dce4,小昆山服务区-公厕,,,上海市,上海市,松江区,上海市松江区昆港公路小昆山服务区,,0,0,121.139919,31.059283,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
87fef55c8ba916651ce999e0,国家电网充电站(小昆山服务区上海绕城电动汽车站),,,上海市,上海市,松江区,G1501上海绕城高速小昆山服务区(上海绕城),,0,0,121.140289,31.058575,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
ec1ab52030c142dcad31e50e,上海绕城高速小昆山ETC服务网点,,,上海市,上海市,松江区,上海市松江区G1501上海绕城高速小昆山服务区,,0,0,121.139945,31.059427,(021)57761875,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
6faab6b0789447753904b146,颛桥服务区,交通设施,服务区,上海市,上海市,闵行区,上海市闵行区,6faab6b0789447753904b146,1,3,121.422176,31.0711,,life,http://api.map.baidu.com/place/detail?uid=6faab6b0789447753904b146&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,121.42197949178,31.070686842145,3
f02a9a7906bafa9249fd3f1a,航头服务区,交通设施,服务区,上海市,上海市,浦东新区,上海市浦东新区航头服务区(申嘉湖高速公路南),,1,2,121.557518,31.068754,,life,http://api.map.baidu.com/place/detail?uid=f02a9a7906bafa9249fd3f1a&output=html&source=placeapi_v2,,,5.0,,,,,,,2,1,,,,,,,121.55576413138,31.068196868258,2
2212764c45e08c770f0a704b,航头服务区,交通设施,服务区,上海市,上海市,浦东新区,上海市浦东新区航头服务区(申嘉湖高速公路北),2212764c45e08c770f0a704b,1,3,121.557277,31.06979,,life,http://api.map.baidu.com/place/detail?uid=2212764c45e08c770f0a704b&output=html&source=placeapi_v2,,,0,,,,,,,1,0,,,,,,,121.55773157855,31.069923822086,3
90372f5e1ef359b145572656,申嘉湖高速航头服务区,交通设施,服务区,上海市,上海市,浦东新区,上海市浦东新区航头镇申嘉湖高速航头服务区,90372f5e1ef359b145572656,1,0,121.557292,31.069753,,life,http://api.map.baidu.com/place/detail?uid=90372f5e1ef359b145572656&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,121.55735864342,31.069674561721,0
