uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
40b10cc89d4fe302b5147faf,霆海浴场,旅游景点,海滨浴场,上海市,上海市,奉贤区,上海市奉贤区海湾镇人民塘路465号,40b10cc89d4fe302b5147faf,1,0,121.533903,30.838275,,life,http://api.map.baidu.com/place/detail?uid=40b10cc89d4fe302b5147faf&output=html&source=placeapi_v2,,11:00-23:00,0,,,,,,,3,0,,,,,,,121.53378469293,30.838410525245,0
3f2978300a62062e5e0d026e,渔人码头-人工沙滩,旅游景点,海滨浴场,上海市,上海市,奉贤区,上海市奉贤区海鸥路8号,3f2978300a62062e5e0d026e,1,0,121.527068,30.819502,(021)57121819,scope,http://api.map.baidu.com/place/detail?uid=3f2978300a62062e5e0d026e&output=html&source=placeapi_v2,,08:30-18:00,0.0,,,,,,,,2,,,,,,,121.52480273393,30.821414025616,0
d7fd2ad3ad2bd2570bccddfa,碧丽宫鸿盛大浴场,旅游景点,海滨浴场,上海市,上海市,金山区,上海市金山区亭林镇南亭公路6289号,d7fd2ad3ad2bd2570bccddfa,1,0,121.330174,30.888038,,life,http://api.map.baidu.com/place/detail?uid=d7fd2ad3ad2bd2570bccddfa&output=html&source=placeapi_v2,,,0,,,,,,,13,0,,,,,,,121.33022319745,30.88789289614,0
7524cb4ff8bbb33504026fe7,海天一角休闲浴场,旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区阔街50号,7524cb4ff8bbb33504026fe7,1,1,121.236639,31.012104,(021)57819578,life,http://api.map.baidu.com/place/detail?uid=7524cb4ff8bbb33504026fe7&output=html&source=placeapi_v2,,00:00-24:00,3.7,,,,,,,17,3,,,,,,,121.23677423143,31.011998211946,1
39d196ddbff36baf58f6beb6,龙江浴场,旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区中山西路19弄11号,39d196ddbff36baf58f6beb6,1,0,121.224341,31.012641,,life,http://api.map.baidu.com/place/detail?uid=39d196ddbff36baf58f6beb6&output=html&source=placeapi_v2,,00:00-24:00,0.0,,,,,,,10,,,,,,,,121.2243359969,31.012723921109,0
41572e009cdfcdb5b55f1ee2,龙游港足道,旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区影视路49~51号,41572e009cdfcdb5b55f1ee2,1,0,121.320924,31.018902,(021)57602880,life,http://api.map.baidu.com/place/detail?uid=41572e009cdfcdb5b55f1ee2&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,19,0,,,,,,,121.32092879992,31.019004626123,0
46e86fddc576a112d13ce311,源慈浴场,旅游景点,海滨浴场,上海市,上海市,奉贤区,上海市奉贤区南桥镇西渡扶港路266号,46e86fddc576a112d13ce311,1,0,121.447383,30.999809,,life,http://api.map.baidu.com/place/detail?uid=46e86fddc576a112d13ce311&output=html&source=placeapi_v2,20,00:00-24:00,0,,,,,,,15,0,,,,,,,121.44748087965,30.999765678964,0
f5e3bcaec274fac05e17c314,京光浴场,旅游景点,海滨浴场,上海市,上海市,闵行区,上海市闵行区江川东路831号,f5e3bcaec274fac05e17c314,1,0,121.433643,31.013603,,life,http://api.map.baidu.com/place/detail?uid=f5e3bcaec274fac05e17c314&output=html&source=placeapi_v2,50,00:00-24:00,4,,,,,,,26,0,,,,,,,121.43348865999,31.013748605345,0
341c35def2079cc0e70738ad,国建浴场,旅游景点,海滨浴场,上海市,上海市,浦东新区,上海市浦东新区南团公路1866弄2号,341c35def2079cc0e70738ad,1,0,121.763866,30.993668,,life,http://api.map.baidu.com/place/detail?uid=341c35def2079cc0e70738ad&output=html&source=placeapi_v2,,,0.0,,,,,,,9,,,,,,,,121.76358263665,30.993762315274,0
606ab0d00a33cc330e3dda3b,天荣浴场(沪松路店),旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区沪松路15-1号,606ab0d00a33cc330e3dda3b,1,0,121.25036,31.021938,,life,http://api.map.baidu.com/place/detail?uid=606ab0d00a33cc330e3dda3b&output=html&source=placeapi_v2,69,19:45-23:30,0,,,,,,,14,0,,,,,,,121.25042643333,31.021944401878,0
41572e009cdfcdb5b55f1ee2,龙游港足道,旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区影视路49~51号,41572e009cdfcdb5b55f1ee2,1,0,121.320924,31.018902,(021)57602880,life,http://api.map.baidu.com/place/detail?uid=41572e009cdfcdb5b55f1ee2&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,19,0,,,,,,,121.32092879992,31.019004626123,0
2e00c5dd02b1c261d7851f26,日月潭浴场(航头·商城路),旅游景点,海滨浴场,上海市,上海市,浦东新区,上海市浦东新区商城路41号,2e00c5dd02b1c261d7851f26,1,0,121.601583,31.033763,,life,http://api.map.baidu.com/place/detail?uid=2e00c5dd02b1c261d7851f26&output=html&source=placeapi_v2,,10:00-24:00,4,,,,,,,23,2,,,,,,,121.60144133793,31.033863805995,0
3f9337d65abbdcb2f72310e7,天马浴场(新宅路店),旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区佘山度假区天马镇新宅路193号,3f9337d65abbdcb2f72310e7,1,0,121.148708,31.076149,,life,http://api.map.baidu.com/place/detail?uid=3f9337d65abbdcb2f72310e7&output=html&source=placeapi_v2,,,3.2,,,,,,,7,5,,,,,,,121.14879119932,31.07617579689,0
96b672aad623c274cf04efb3,碧红池浴场,旅游景点,海滨浴场,上海市,上海市,浦东新区,上海市浦东新区通济路136弄12号,96b672aad623c274cf04efb3,1,0,121.753428,31.052373,,life,http://api.map.baidu.com/place/detail?uid=96b672aad623c274cf04efb3&output=html&source=placeapi_v2,,11:00-24:00,3.2,,,,,,,11,4,,,,,,,121.75339857542,31.052245648267,0
2dd71661513f492414c8f606,西子湾大浴场(佘山店),旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区佘山桃源路佘山汽车站北门东北侧约70米,2dd71661513f492414c8f606,1,0,121.179297,31.104727,(021)57808908,life,http://api.map.baidu.com/place/detail?uid=2dd71661513f492414c8f606&output=html&source=placeapi_v2,85,00:00-24:00,3.2,,,,,,,25,16,,,,,,,121.17951335915,31.104642054416,0
5ffb1816c6f115226f4760da,九莲富浴场,旅游景点,海滨浴场,上海市,上海市,松江区,上海市松江区九杜路477号3楼,5ffb1816c6f115226f4760da,1,0,121.316226,31.149933,,life,http://api.map.baidu.com/place/detail?uid=5ffb1816c6f115226f4760da&output=html&source=placeapi_v2,,,0,,,,,,,8,0,,,,,,,121.31636151699,31.150185014177,0
0a076728713b39baab059db8,海健浴场,旅游景点,海滨浴场,上海市,上海市,闵行区,上海市闵行区莘朱路2248号,0a076728713b39baab059db8,1,0,121.433038,31.130742,(021)64534589,life,http://api.map.baidu.com/place/detail?uid=0a076728713b39baab059db8&output=html&source=placeapi_v2,10,10:30-23:30,0,,,,,,,22,0,,,,,,,121.43301568161,31.130612953152,0
7d979becc51fc56c21f01796,清溪泉浴场,旅游景点,海滨浴场,上海市,上海市,青浦区,上海市青浦区凤星路1528号,7d979becc51fc56c21f01796,1,0,121.234198,31.2048,(021)59770572,life,http://api.map.baidu.com/place/detail?uid=7d979becc51fc56c21f01796&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,16,0,,,,,,,121.23441103721,31.204834840627,0
49d959385e9e6542c61e517f,港泉浴场,旅游景点,海滨浴场,上海市,上海市,浦东新区,上海市浦东新区丽雅路142号,49d959385e9e6542c61e517f,1,0,121.688622,31.241883,(021)58584498,life,http://api.map.baidu.com/place/detail?uid=49d959385e9e6542c61e517f&output=html&source=placeapi_v2,,00:00-24:00,4.1,,,,,,,24,8,,,,,,,121.6884585425,31.241855791367,0
f62b42d2edeb943cc0364485,曹江浴场,旅游景点,海滨浴场,上海市,上海市,嘉定区,上海市嘉定区华江公路江桥一村,f62b42d2edeb943cc0364485,1,0,121.352736,31.264427,,life,http://api.map.baidu.com/place/detail?uid=f62b42d2edeb943cc0364485&output=html&source=placeapi_v2,,00:00-24:00,5,,,,,,,17,2,,,,,,,121.35283584679,31.264268884405,0
c52a7359ae29b2b3f4231028,海滨到家,,,上海市,上海市,普陀区,上海市普陀区中山北路1759号浦发广场d座1413号,,1,0,121.44031,31.258389,17317566452,life,http://api.map.baidu.com/place/detail?uid=c52a7359ae29b2b3f4231028&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,,,0
4d2f12195a00f144110daa36,金鑫浴场(嘉实广场店),旅游景点,海滨浴场,上海市,上海市,嘉定区,上海市嘉定区嘉松北路6130弄嘉实生活广场F1,4d2f12195a00f144110daa36,1,0,121.228709,31.293896,,life,http://api.map.baidu.com/place/detail?uid=4d2f12195a00f144110daa36&output=html&source=placeapi_v2,,00:00-24:00,2,,,,,,,18,0,,,,,,,121.22949333681,31.293918419747,0
9e2b7ed96d61f6d302294f34,鑫润浴场,旅游景点,海滨浴场,上海市,上海市,普陀区,上海市普陀区绿杨路286号,9e2b7ed96d61f6d302294f34,1,0,121.36224,31.29319,(021)66071999,life,http://api.map.baidu.com/place/detail?uid=9e2b7ed96d61f6d302294f34&output=html&source=placeapi_v2,49,00:00-24:00,3.5,,,,,,,7,2,,,,,,,121.36210592577,31.293236087263,0
1020060fdc83afa71894c6d0,天之情宾馆浴场,旅游景点,海滨浴场,上海市,上海市,杨浦区,上海市杨浦区殷行路600号,1020060fdc83afa71894c6d0,1,0,121.538958,31.334701,,life,http://api.map.baidu.com/place/detail?uid=1020060fdc83afa71894c6d0&output=html&source=placeapi_v2,100,00:00-24:00,0,,,,,,,26,0,,,,,,,121.53897221976,31.334526436058,0
