uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
6047db164beea5b29d82ea67,林盛堡站-售票厅,生活服务,售票处,辽宁省,沈阳市,苏家屯区,沈阳市苏家屯区苏盛街林盛堡站,,1,0,123.369461,41.585645,,life,http://api.map.baidu.com/place/detail?uid=6047db164beea5b29d82ea67&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
eb664829c121604a22f0173b,苏家屯区客货联运站售票厅,生活服务,售票处,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区丁香街212号,eb664829c121604a22f0173b,1,0,123.333571,41.661068,,life,http://api.map.baidu.com/place/detail?uid=eb664829c121604a22f0173b&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
8bfaeaecf94729c515b54b5a,东北航空有限公司,生活服务,售票处,辽宁省,沈阳市,浑南区,辽宁省沈阳市浑南区桃仙国际机场空港四街阳光超市东北方60米,8bfaeaecf94729c515b54b5a,1,0,123.513422,41.648146,(024)88333355,life,http://api.map.baidu.com/place/detail?uid=8bfaeaecf94729c515b54b5a&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,5,1,,,,,,,123.51358213507,41.648011528195,0
d2b5ef9814af146cb426558e,瑞丽航空辽宁分公司,生活服务,售票处,辽宁省,沈阳市,浑南区,沈阳市浑南区机场北二路与空港四街交叉路口往东北约180米,d2b5ef9814af146cb426558e,1,0,123.512105,41.65226,,life,http://api.map.baidu.com/place/detail?uid=d2b5ef9814af146cb426558e&output=html&source=placeapi_v2,,09:00-16:00,0.0,,,,,,,4,1,,,,,,,123.51216768208,41.652202674823,0
3cf1da2b79fa324e13293561,深圳航空,生活服务,售票处,辽宁省,沈阳市,浑南区,辽宁沈阳市浑南区机场路沈阳桃仙国际机场t1航站楼,3cf1da2b79fa324e13293561,1,0,123.503434,41.645908,,life,http://api.map.baidu.com/place/detail?uid=3cf1da2b79fa324e13293561&output=html&source=placeapi_v2,,,0.0,,,,,,,1,1,,,,,,,,,0
4026626350bc88290a5cb372,高花站-售票处,生活服务,售票处,辽宁省,沈阳市,铁西区,辽宁省沈阳市铁西区正发锻造厂西北,,1,0,123.0368,41.695523,,life,http://api.map.baidu.com/place/detail?uid=4026626350bc88290a5cb372&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,123.03746271399,41.695933823049,0
035b17496e0cfd90ac080f8d,蚂蚁王国-售票处,生活服务,售票处,辽宁省,沈阳市,铁西区,沈阳市铁西区178乡道附近,035b17496e0cfd90ac080f8d,1,0,123.236576,41.698278,,life,http://api.map.baidu.com/place/detail?uid=035b17496e0cfd90ac080f8d&output=html&source=placeapi_v2,,,0.0,,,,,,,3,1,,,,,,,,,0
8f59c12daae22529d12dd677,经纬售票处,生活服务,售票处,辽宁省,沈阳市,苏家屯区,沈阳市苏家屯区雪松路32号7门,8f59c12daae22529d12dd677,1,0,123.344578,41.671247,13840198353,life,http://api.map.baidu.com/place/detail?uid=8f59c12daae22529d12dd677&output=html&source=placeapi_v2,,06:30-19:00,5,,,,,,,14,1,,,,,,,,,0
122934ff9f157bf6293a9ff1,沈阳火车南站东广场-售票处(东)A1,生活服务,售票处,辽宁省,沈阳市,浑南区,辽宁省沈阳市浑南区全运路500号,122934ff9f157bf6293a9ff1,1,0,123.414719,41.675067,,life,http://api.map.baidu.com/place/detail?uid=122934ff9f157bf6293a9ff1&output=html&source=placeapi_v2,,,1.0,,,,,,,,1,,,,,,,123.4150051678,41.675042654574,0
8e7e39b42660ec1243e19262,辽宁省科学技术馆-自助取票机,生活服务,售票处,辽宁省,沈阳市,浑南区,沈阳市浑南区智慧三街159号,8e7e39b42660ec1243e19262,1,0,123.465656,41.681824,,life,http://api.map.baidu.com/place/detail?uid=8e7e39b42660ec1243e19262&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
d038b2a84bf24fe98bf15dc9,沈阳联合航空服务有限公司,生活服务,售票处,辽宁省,沈阳市,和平区,辽宁省沈阳市和平区浑河西街道满融800号,,1,0,123.339059,41.717807,13904004010,life,http://api.map.baidu.com/place/detail?uid=d038b2a84bf24fe98bf15dc9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6de00ea976e742382afc4813,榆树台站-售票厅,生活服务,售票处,辽宁省,沈阳市,浑南区,辽宁省-沈阳市-浑南区-前榆路98号,,1,0,123.430436,41.723645,,life,http://api.map.baidu.com/place/detail?uid=6de00ea976e742382afc4813&output=html&source=placeapi_v2,,,0.0,,,,,,,1,1,,,,,,,,,0
8e13b8eec9c8168af32d83cc,沈阳北站火车票代售点(G123),生活服务,售票处,辽宁省,沈阳市,和平区,沈阳市和平区长白西三街28-5号6门,8e13b8eec9c8168af32d83cc,1,0,123.397672,41.737815,,life,http://api.map.baidu.com/place/detail?uid=8e13b8eec9c8168af32d83cc&output=html&source=placeapi_v2,,09:00-19:00,,,,,,,,10,,,,,,,,,,0
46251c53792b3d0a8605bf98,长白岛森林公园代步观光车-售票处,生活服务,售票处,辽宁省,沈阳市,和平区,沈阳市和平区胜利南街与南堤西路交叉口长白岛森林公园代步观光车,,1,0,123.400424,41.761447,,life,http://api.map.baidu.com/place/detail?uid=46251c53792b3d0a8605bf98&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6f1fbf109f01db50e31103cb,龙湖唐宁ONE-北门八贝智能无人售酒柜,生活服务,售票处,辽宁省,沈阳市,和平区,沈阳市和平区仙岛南路龙湖唐宁ONE,,1,0,123.406833,41.739436,,life,http://api.map.baidu.com/place/detail?uid=6f1fbf109f01db50e31103cb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
f2c6e32739782287f7e73b9e,国航沈阳营业部售票处,生活服务,售票处,辽宁省,沈阳市,和平区,辽宁省沈阳市和平区青年大街392号万鑫A座3606号,f2c6e32739782287f7e73b9e,1,0,123.444231,41.760184,(024)23180409,life,http://api.map.baidu.com/place/detail?uid=f2c6e32739782287f7e73b9e&output=html&source=placeapi_v2,,08:30-17:00,0.0,,,,,,,,,,,,,,,,,0
3b059efbbf5eab926849f318,盛京大剧院-售票中心,生活服务,售票处,辽宁省,沈阳市,沈河区,辽宁省沈阳市沈河区沈水路518号,3b059efbbf5eab926849f318,1,0,123.450082,41.759736,(024)23362666,life,http://api.map.baidu.com/place/detail?uid=3b059efbbf5eab926849f318&output=html&source=placeapi_v2,,,3.0,,,,,,,1,1,,,,,,,123.44994061214,41.759839643694,0
0bc43888df12467b2902e1de,科普影院-售票处,生活服务,售票处,辽宁省,沈阳市,沈河区,辽宁省沈阳市沈河区青年大街201号,0bc43888df12467b2902e1de,1,0,123.442269,41.767964,,life,http://api.map.baidu.com/place/detail?uid=0bc43888df12467b2902e1de&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,123.44191210016,41.768013046347,0
