uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
5b276a365deac4d95a3ac8fd,天乐二手家电,购物,家电数码,辽宁省,沈阳市,苏家屯区,沈阳市苏家屯区南沙柳路溪畔人家(西北门店)东侧,5b276a365deac4d95a3ac8fd,1,0,123.350676,41.657076,13190099283,shopping,http://api.map.baidu.com/place/detail?uid=5b276a365deac4d95a3ac8fd&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,123.35062119905,41.657188379497,0
f5e3bcae3caa00c15e17c352,国美电器(苏家屯店),购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区海棠街35号,f5e3bcae3caa00c15e17c352,1,0,123.352469,41.669242,(024)31061368,shopping,http://api.map.baidu.com/place/detail?uid=f5e3bcae3caa00c15e17c352&output=html&source=placeapi_v2,4524.0,09:00-18:30,4.5,,,,,,,,6,,,,,,,123.35229436043,41.669224149381,0
80c6f5db919a4b8aebe58227,海尔专卖店(No.ZMDB1035店),购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区枫杨路107号,80c6f5db919a4b8aebe58227,1,0,123.338091,41.663328,18240003188,shopping,http://api.map.baidu.com/place/detail?uid=80c6f5db919a4b8aebe58227&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,,,,,,,,,123.33812917129,41.663333488989,0
e56bf5e338fc45440782c252,苏宁易购(苏家屯店),购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区枫杨路45号商业大厦1~3楼,e56bf5e338fc45440782c252,1,2,123.353154,41.667458,18604058258,shopping,http://api.map.baidu.com/place/detail?uid=e56bf5e338fc45440782c252&output=html&source=placeapi_v2,3259.5,09:00-18:30,5,,,,,,,,200,,,,,,,123.35297174747,41.667547644257,2
101bc61b365721a3c42ba152,科华电脑,购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区丽花街52-1号,101bc61b365721a3c42ba152,1,0,123.350062,41.667462,15840088355,shopping,http://api.map.baidu.com/place/detail?uid=101bc61b365721a3c42ba152&output=html&source=placeapi_v2,,08:00-18:00,3,,,,,,,,6,,,,,,,123.35018461718,41.667569623197,0
fe70e0ee6b4ac8266fa3ccfe,乐视生态旗舰店,购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区枫杨路107号1克拉生活广场1F层,fe70e0ee6b4ac8266fa3ccfe,1,0,123.337787,41.663642,,shopping,http://api.map.baidu.com/place/detail?uid=fe70e0ee6b4ac8266fa3ccfe&output=html&source=placeapi_v2,,09:00-18:30,,,,,,,,,,,,,,,,,,0
f5ae61017fb9f3600a5cb307,惠普电脑柜台,购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区枫杨路45号苏宁易购1楼,f5ae61017fb9f3600a5cb307,1,0,123.353217,41.667364,,shopping,http://api.map.baidu.com/place/detail?uid=f5ae61017fb9f3600a5cb307&output=html&source=placeapi_v2,,09:00-19:00,5,,,,,,,,9,,,,,,,,,0
f5e3bcae3caa00c15e17c352,国美电器(苏家屯店),购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区海棠街35号,f5e3bcae3caa00c15e17c352,1,0,123.352469,41.669242,(024)31061368,shopping,http://api.map.baidu.com/place/detail?uid=f5e3bcae3caa00c15e17c352&output=html&source=placeapi_v2,4524.0,09:00-18:30,4.5,,,,,,,,6,,,,,,,123.35229436043,41.669224149381,0
e56bf5e338fc45440782c252,苏宁易购(苏家屯店),购物,家电数码,辽宁省,沈阳市,苏家屯区,辽宁省沈阳市苏家屯区枫杨路45号商业大厦1~3楼,e56bf5e338fc45440782c252,1,2,123.353154,41.667458,18604058258,shopping,http://api.map.baidu.com/place/detail?uid=e56bf5e338fc45440782c252&output=html&source=placeapi_v2,3259.5,09:00-18:30,5,,,,,,,,200,,,,,,,123.35297174747,41.667547644257,2
ef3d2b3c0495ec5ceee4a5e9,金龙通讯(文竹街店),购物,家电数码,辽宁省,沈阳市,苏家屯区,文竹街59-4号,ef3d2b3c0495ec5ceee4a5e9,1,0,123.352942,41.680105,,shopping,http://api.map.baidu.com/place/detail?uid=ef3d2b3c0495ec5ceee4a5e9&output=html&source=placeapi_v2,,,0.0,,,,,,,,1,,,,,,,123.35276120621,41.680071488439,0
