uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
fa1780eb8cc1b3b99e82ead0,滨海白石立交,交通设施,桥,广东省,深圳市,南山区,深圳市南山区,fa1780eb8cc1b3b99e82ead0,1,0,113.940321,22.527962,,life,http://api.map.baidu.com/place/detail?uid=fa1780eb8cc1b3b99e82ead0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,113.94035627058,22.527969380899,0
52e9f5e8a9853a068d77278f,团圆桥,交通设施,桥,广东省,深圳市,南山区,广东省深圳市南山区深南大道9005号中国民俗文化村内,,1,0,113.992482,22.536527,,life,http://api.map.baidu.com/place/detail?uid=52e9f5e8a9853a068d77278f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,113.9927449772,22.535992778896,0
b8e3940c0ca49a7f2d473326,海韵桥B,交通设施,桥,广东省,深圳市,南山区,深圳市南山区滨海深湾立交桥,b8e3940c0ca49a7f2d473326,1,0,113.990273,22.524766,,life,http://api.map.baidu.com/place/detail?uid=b8e3940c0ca49a7f2d473326&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
3a6a18f0a2ba23992202201d,民俗村天桥,交通设施,桥,广东省,深圳市,南山区,深圳市南山区深南大道,3a6a18f0a2ba23992202201d,1,0,113.996576,22.5395,,life,http://api.map.baidu.com/place/detail?uid=3a6a18f0a2ba23992202201d&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
7c825e31300b8f0d1fe99940,南坪立交,交通设施,桥,广东省,深圳市,南山区,广东省深圳市南山区南坪立交(广深高速公路),7c825e31300b8f0d1fe99940,1,0,113.993397,22.555854,,life,http://api.map.baidu.com/place/detail?uid=7c825e31300b8f0d1fe99940&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
d991e116bfc11e551f38940c,滨海侨城东立交桥,交通设施,桥,广东省,深圳市,福田区,广东省深圳市福田区滨海侨城东立交,d991e116bfc11e551f38940c,1,0,114.005394,22.530788,,life,http://api.map.baidu.com/place/detail?uid=d991e116bfc11e551f38940c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
90f7ce45635b6b611b11d5db,香蜜湖立交桥,交通设施,桥,广东省,深圳市,福田区,深圳市福田区深南中路6009号,90f7ce45635b6b611b11d5db,1,0,114.034777,22.542905,,life,http://api.map.baidu.com/place/detail?uid=90f7ce45635b6b611b11d5db&output=html&source=placeapi_v2,,,4.0,,,,,,,0,1,,,,,,,114.03475342588,22.542552147862,0
33fbfa8343cde5bc0af5ebad,车公庙立交,交通设施,桥,广东省,深圳市,福田区,深圳市福田区,33fbfa8343cde5bc0af5ebad,1,0,114.037113,22.534465,,life,http://api.map.baidu.com/place/detail?uid=33fbfa8343cde5bc0af5ebad&output=html&source=placeapi_v2,,,0.0,,,,,,,,0,,,,,,,,,0
3f826ed379143c45d0f49eb0,红荔西跨线桥,交通设施,桥,广东省,深圳市,福田区,广东省深圳市福田区香蜜湖世纪中心家居广场(香蜜湖店),3f826ed379143c45d0f49eb0,1,0,114.033393,22.548202,,life,http://api.map.baidu.com/place/detail?uid=3f826ed379143c45d0f49eb0&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,114.03338183823,22.548239923951,0
2a86bb232a8f8fc8be4842ce,滨河彩田立交桥,交通设施,桥,广东省,深圳市,福田区,深圳市福田区,2a86bb232a8f8fc8be4842ce,1,0,114.074692,22.534645,,life,http://api.map.baidu.com/place/detail?uid=2a86bb232a8f8fc8be4842ce&output=html&source=placeapi_v2,,,,,,,,,,0,,,,,,,,114.07476114159,22.534596586464,0
b693dba6c5de6a07d8ecedc7,桥尚坊,交通设施,桥,广东省,深圳市,福田区,深圳市福田区,b693dba6c5de6a07d8ecedc7,1,0,114.058375,22.53157,,life,http://api.map.baidu.com/place/detail?uid=b693dba6c5de6a07d8ecedc7&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
4eb3b533dafeee754302452c,深南新洲立交桥,交通设施,桥,广东省,深圳市,福田区,广东省深圳市福田区中心区深南新洲立交桥(深南大道),4eb3b533dafeee754302452c,1,0,114.05553,22.545502,,life,http://api.map.baidu.com/place/detail?uid=4eb3b533dafeee754302452c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.05552961537,22.545501792093,0
d4034eb3848739f6c036442c,深南益田立交,交通设施,桥,广东省,深圳市,福田区,广东省深圳市福田区中心区深南益田立交(深南大道南),d4034eb3848739f6c036442c,1,0,114.06325,22.5455,,life,http://api.map.baidu.com/place/detail?uid=d4034eb3848739f6c036442c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.06325791733,22.54530677502,0
93df0dc3f899b52b882fb52d,滨河红岭立交,交通设施,桥,广东省,深圳市,罗湖区,广东省深圳市福田区滨河红岭立交东北(滨河大道),93df0dc3f899b52b882fb52d,1,0,114.111388,22.541649,,life,http://api.map.baidu.com/place/detail?uid=93df0dc3f899b52b882fb52d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.11119993082,22.541595344962,0
