uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
570e99c3ef06909422026202,梅堰卫生院公共卫生服务部,医疗,诊所,江苏省,苏州市,吴江区,苏州市吴江区梅新街中国石化梅新加油站东侧约100米,570e99c3ef06909422026202,1,0,120.588735,30.983128,,hospital,http://api.map.baidu.com/place/detail?uid=570e99c3ef06909422026202&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
a2f3ddf501b3b595c71b754e,吴江平望梁伟武中医诊所,医疗,诊所,江苏省,苏州市,吴江区,苏州市吴江区梅新街梅兴苑小区东北侧约60米,a2f3ddf501b3b595c71b754e,1,0,120.594348,30.983417,,hospital,http://api.map.baidu.com/place/detail?uid=a2f3ddf501b3b595c71b754e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
625f851276cb3143c9291516,苏州雅优德口腔门诊部,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区平望镇龙翔路95号龙南御景苑24幢109铺,625f851276cb3143c9291516,1,0,120.593952,30.990049,,hospital,http://api.map.baidu.com/place/detail?uid=625f851276cb3143c9291516&output=html&source=placeapi_v2,,08:00-17:30,0,,,,,,,1,0,,,,,,,120.59395428059,30.989977862979,0
8a270acd489ea9bbae080f75,吴江平望韦琴英内科诊所,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区通运北路106号,8a270acd489ea9bbae080f75,1,0,120.639032,30.986215,18962595722,hospital,http://api.map.baidu.com/place/detail?uid=8a270acd489ea9bbae080f75&output=html&source=placeapi_v2,,,,,,,,,,7,,,,,,,,120.63890593118,30.986222820931,0
02523d46a32bd3e7a20464d6,吴江平望刘胜男中西医结合诊所,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区平望镇莺湖南路10号103,02523d46a32bd3e7a20464d6,1,0,120.643571,30.975926,,hospital,http://api.map.baidu.com/place/detail?uid=02523d46a32bd3e7a20464d6&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,3,,,,,,,,120.64381282352,30.975804328736,0
785d812f0e150fd54d3a59ad,吴江区平望社区卫生服务中心,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区螽斯港北岸20号,785d812f0e150fd54d3a59ad,1,0,120.648443,30.984522,,hospital,http://api.map.baidu.com/place/detail?uid=785d812f0e150fd54d3a59ad&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,120.64844080637,30.984378070236,0
1346b162b910074349fd3f3b,苏州齿安口腔门诊部,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区通运西路90号2幢101室,1346b162b910074349fd3f3b,1,0,120.640084,30.982121,,hospital,http://api.map.baidu.com/place/detail?uid=1346b162b910074349fd3f3b&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,120.64008734486,30.982286380736,0
763da7b084900c612806ce27,曾老太鼻炎馆(平望店),医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区学才路41号,763da7b084900c612806ce27,1,0,120.645796,30.985944,,hospital,http://api.map.baidu.com/place/detail?uid=763da7b084900c612806ce27&output=html&source=placeapi_v2,,08:30-21:00,0.0,,,,,,,2,1,,,,,,,120.64581719553,30.986113017784,0
0ff66a52cc4ab7e7d1f49ede,苏州吴江仁雅口腔门诊部,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区平望汽车站北首莺湖路17号,0ff66a52cc4ab7e7d1f49ede,1,0,120.645065,30.980668,,hospital,http://api.map.baidu.com/place/detail?uid=0ff66a52cc4ab7e7d1f49ede&output=html&source=placeapi_v2,,20:00-20:00,,,,,,,,0,0,,,,,,,120.64495725665,30.980729639979,0
9573d8f8eedb0ca8a5da39f5,松陵镇叶家港村卫生室,医疗,诊所,江苏省,苏州市,吴江区,江苏省苏州市吴江区松陵镇叶家港村,,1,0,120.512341,31.02424,(0512)63708121,hospital,http://api.map.baidu.com/place/detail?uid=9573d8f8eedb0ca8a5da39f5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
