uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
f60a15ede01753ecbb17e7cb,鼓浪屿食品(庙港店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区庙西街1号,f60a15ede01753ecbb17e7cb,1,0,120.471577,30.997293,18261827226,cater,http://api.map.baidu.com/place/detail?uid=f60a15ede01753ecbb17e7cb&output=html&source=placeapi_v2,60.0,09:00-21:00,3.5,,,,,,,,1,,,,,,,120.47157505056,30.99742090548,0
b75d52bd320e7c047dc876b8,麦香园蛋糕(幸运店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区梅新街62号,b75d52bd320e7c047dc876b8,1,0,120.593997,30.983711,18014899330,cater,http://api.map.baidu.com/place/detail?uid=b75d52bd320e7c047dc876b8&output=html&source=placeapi_v2,10.0,09:00-21:00,3.5,,,,,,,,2,,,,,,,,,0
2848ffd6096d677148cc4a6c,梅堰宇琪蛋糕店,美食,蛋糕甜品店,江苏省,苏州市,吴江区,平望镇梅堰社区梅新街梅兴苑小区1幢19店面/20店面,2848ffd6096d677148cc4a6c,1,0,120.593104,30.983278,"(0512)63685676,13616257452",cater,http://api.map.baidu.com/place/detail?uid=2848ffd6096d677148cc4a6c&output=html&source=placeapi_v2,,06:30-21:00,0,,,,,,,,1,,,,,,,120.59302891453,30.983388406029,0
f60a15ede01753ecbb17e7cb,鼓浪屿食品(庙港店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区庙西街1号,f60a15ede01753ecbb17e7cb,1,0,120.471577,30.997293,18261827226,cater,http://api.map.baidu.com/place/detail?uid=f60a15ede01753ecbb17e7cb&output=html&source=placeapi_v2,60.0,09:00-21:00,3.5,,,,,,,,1,,,,,,,120.47157505056,30.99742090548,0
e5243a43c0c639bf364aae6b,特香蛋糕(黎里店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区黎民南路356号,e5243a43c0c639bf364aae6b,1,0,120.713377,31.009296,(0512)63619315,cater,http://api.map.baidu.com/place/detail?uid=e5243a43c0c639bf364aae6b&output=html&source=placeapi_v2,44.0,10:00-22:00,4.2,,,,,,,,6,,,,,,,120.71318238515,31.009305617989,0
20bce2436d4ec6840f0a7064,金都蛋糕(老街店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区浦南路710号,20bce2436d4ec6840f0a7064,1,0,120.847773,31.01863,18501552835,cater,http://api.map.baidu.com/place/detail?uid=20bce2436d4ec6840f0a7064&output=html&source=placeapi_v2,41.0,06:00-23:30,0.0,,,,,,,,,,,,,,,120.8476342771,31.018725576255,0
cda61966c8806d377ec876f5,金都烘焙(北厍店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区北厍镇新厍路151号,cda61966c8806d377ec876f5,1,0,120.792314,31.057484,"18912716115,18912763369",cater,http://api.map.baidu.com/place/detail?uid=cda61966c8806d377ec876f5&output=html&source=placeapi_v2,27.0,09:00-22:00,3.7,,,,,,,,1,,,,,,,,,0
cac5fc7648c025f32cb96dfc,特香蛋糕(莘塔店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区莘塔大街766号,cac5fc7648c025f32cb96dfc,1,0,120.856228,31.058701,"(0512)63296056,18013725897",cater,http://api.map.baidu.com/place/detail?uid=cac5fc7648c025f32cb96dfc&output=html&source=placeapi_v2,20.0,09:00-21:00,3.5,,,,,,,,1,,,,,,,120.85612490807,31.058698767078,0
d80e5a961f818352471a3206,裕上玺茶(城司路店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,江苏省苏州市吴江区城司路845号嘉乐城7幢107,d80e5a961f818352471a3206,1,0,120.857332,31.039782,15301558932,cater,http://api.map.baidu.com/place/detail?uid=d80e5a961f818352471a3206&output=html&source=placeapi_v2,8.0,11:30-21:00,4.8,,,,,,,,26,,,,,,,,,0
480b24d022e8bef19cec2bc0,特香蛋糕(开发路店),美食,蛋糕甜品店,江苏省,苏州市,吴江区,菀坪镇开发路158号,480b24d022e8bef19cec2bc0,1,0,120.60686,31.072858,(0512)63397301,cater,http://api.map.baidu.com/place/detail?uid=480b24d022e8bef19cec2bc0&output=html&source=placeapi_v2,,07:00-21:30,3.4,,,,,,,,0,,,,,,,120.60686075418,31.072772970602,0
