uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
c93dead1e6b1ac9f1c389493,万马仕广场,购物,百货商场,山西省,太原市,小店区,太原市小店区真武路与康宁街交汇处往北50米,c93dead1e6b1ac9f1c389493,1,1,112.582349,37.749451,,shopping,http://api.map.baidu.com/place/detail?uid=c93dead1e6b1ac9f1c389493&output=html&source=placeapi_v2,,08:00-24:00,0,,,,,,,,0,,,,,,,112.58165441446,37.748777011195,1
bdc31db1d90f24bc85420e8c,康宁大卖场,购物,百货商场,山西省,太原市,小店区,太原市小店区康宁雅苑5单元,bdc31db1d90f24bc85420e8c,1,1,112.581148,37.749098,(0351)7025666,shopping,http://api.map.baidu.com/place/detail?uid=bdc31db1d90f24bc85420e8c&output=html&source=placeapi_v2,,09:00-19:30,,,,,,,,,,,,,,,,112.58118490341,37.74901210253,1
be54cde928843c5978f7965d,中环商贸城,购物,百货商场,山西省,太原市,小店区,山西省太原市小店区坞城路119号,be54cde928843c5978f7965d,1,2,112.590461,37.800363,,shopping,http://api.map.baidu.com/place/detail?uid=be54cde928843c5978f7965d&output=html&source=placeapi_v2,,09:00-20:00,2.5,,,,,,,,4,,,,,,,112.59090762327,37.800056887409,2
850815e12e1d2d9a43e1925d,佰购平阳商贸城,购物,百货商场,山西省,太原市,小店区,太原市小店区平阳路144号,850815e12e1d2d9a43e1925d,1,0,112.560118,37.834091,,shopping,http://api.map.baidu.com/place/detail?uid=850815e12e1d2d9a43e1925d&output=html&source=placeapi_v2,,09:00-19:00,4.1,,,,,,,,31,,,,,,,112.55972478003,37.834053442541,0
edd64ce123341c883fe2312a,新康隆商城(平阳路店),购物,百货商场,山西省,太原市,小店区,太原市小店区平阳路117号,edd64ce123341c883fe2312a,1,7,112.558562,37.836369,(0351)2539123,shopping,http://api.map.baidu.com/place/detail?uid=edd64ce123341c883fe2312a&output=html&source=placeapi_v2,800.0,09:30-19:30,4.6,,,,,,,,11,,,,,,,112.55904979507,37.836677263205,7
c4e3236a1232871780a12ea3,晋商国际广场,购物,百货商场,山西省,太原市,迎泽区,太原市迎泽区半山路1号,c4e3236a1232871780a12ea3,1,1,112.63322,37.822815,,shopping,http://api.map.baidu.com/place/detail?uid=c4e3236a1232871780a12ea3&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,112.633418514,37.82182008201,1
1020060f3a27b1a51894c66e,南寒购物广场,购物,百货商场,山西省,太原市,万柏林区,山西省太原市万柏林区西矿街396号,1020060f3a27b1a51894c66e,1,7,112.46377,37.857913,(0351)6148482,shopping,http://api.map.baidu.com/place/detail?uid=1020060f3a27b1a51894c66e&output=html&source=placeapi_v2,,09:00-18:30,5,,,,,,,,2,,,,,,,112.46417468551,37.858214690143,7
dfc496b6d0ec2dae8936ee5e,汇都商贸(千峰店),购物,百货商场,山西省,太原市,万柏林区,太原市万柏林区迎泽大街106号,dfc496b6d0ec2dae8936ee5e,1,1,112.522142,37.862957,,shopping,http://api.map.baidu.com/place/detail?uid=dfc496b6d0ec2dae8936ee5e&output=html&source=placeapi_v2,168.0,09:00-19:00,5,,,,,,,,5,,,,,,,112.52155951586,37.863117143287,1
37d60a46d3de4a791e1d112b,山西国体商场,购物,百货商场,山西省,太原市,迎泽区,山西省太原市迎泽区解放南路国体商城南区2楼,37d60a46d3de4a791e1d112b,1,2,112.567851,37.849656,(0351)7925058,shopping,http://api.map.baidu.com/place/detail?uid=37d60a46d3de4a791e1d112b&output=html&source=placeapi_v2,,09:00-19:00,4.7,,,,,,,,9,,,,,,,112.56763621774,37.849692882776,2
edd64ce123341c883fe2312a,新康隆商城(平阳路店),购物,百货商场,山西省,太原市,小店区,太原市小店区平阳路117号,edd64ce123341c883fe2312a,1,7,112.558562,37.836369,(0351)2539123,shopping,http://api.map.baidu.com/place/detail?uid=edd64ce123341c883fe2312a&output=html&source=placeapi_v2,800.0,09:30-19:30,4.6,,,,,,,,11,,,,,,,112.55904979507,37.836677263205,7
5c2dc21d9537901d6fc02c2a,双塔购物广场,购物,百货商场,山西省,太原市,迎泽区,山西省太原市迎泽区双塔寺街13号,5c2dc21d9537901d6fc02c2a,1,2,112.587285,37.852352,(0351)8269903,shopping,http://api.map.baidu.com/place/detail?uid=5c2dc21d9537901d6fc02c2a&output=html&source=placeapi_v2,,08:00-19:30,3.7,,,,,,,,5,,,,,,,112.58728414719,37.852246482387,2
9b9b698dc253af606cc02c8b,太原日化城,购物,百货商场,山西省,太原市,迎泽区,山西省太原市迎泽区朝阳街8号2楼,9b9b698dc253af606cc02c8b,1,0,112.605628,37.860844,,shopping,http://api.map.baidu.com/place/detail?uid=9b9b698dc253af606cc02c8b&output=html&source=placeapi_v2,,09:00-18:00,0,,,,,,,,2,,,,,,,112.60579052977,37.86101660426,0
451218032a6975d53913fd38,新精品商城,购物,百货商场,山西省,太原市,迎泽区,山西省太原市迎泽区新开巷10号,451218032a6975d53913fd38,1,3,112.600727,37.863455,,shopping,http://api.map.baidu.com/place/detail?uid=451218032a6975d53913fd38&output=html&source=placeapi_v2,,08:00-18:00,4.3,,,,,,,,3,,,,,,,112.60049932167,37.864614678441,3
75d0881ab68c51543a04b14d,解放百货大楼,购物,百货商场,山西省,太原市,杏花岭区,太原市杏花岭区解放路158号,75d0881ab68c51543a04b14d,1,4,112.568758,37.887875,(0351)3085789,shopping,http://api.map.baidu.com/place/detail?uid=75d0881ab68c51543a04b14d&output=html&source=placeapi_v2,,09:00-19:30,4.4,,,,,,,,7,,,,,,,112.56832991171,37.887675203988,4
161a0ed2b853cf515cd4fe5e,桃园秀水街购物广场(桃园二巷),购物,百货商场,山西省,太原市,杏花岭区,山西省太原市杏花岭区桃园二巷61号,161a0ed2b853cf515cd4fe5e,1,4,112.552487,37.877299,15303512559,shopping,http://api.map.baidu.com/place/detail?uid=161a0ed2b853cf515cd4fe5e&output=html&source=placeapi_v2,,09:00-17:30,4,,,,,,,,5,,,,,,,112.55280417419,37.877848992418,4
e47cb01dba0db1bee856fad2,百花谷,购物,百货商场,山西省,太原市,杏花岭区,山西省太原市杏花岭区学府西街东区1号楼,e47cb01dba0db1bee856fad2,1,0,112.557041,37.880517,,shopping,http://api.map.baidu.com/place/detail?uid=e47cb01dba0db1bee856fad2&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,112.55738730735,37.880526377324,0
0c40542aecfa61082dfaa76c,阳光时尚广场,购物,百货商场,山西省,太原市,杏花岭区,山西省太原市杏花岭区柳溪街11号东区a座,0c40542aecfa61082dfaa76c,1,4,112.552322,37.889393,(0351)3334558,shopping,http://api.map.baidu.com/place/detail?uid=0c40542aecfa61082dfaa76c&output=html&source=placeapi_v2,,"11:30-14:30,17:30-21:30",4,,,,,,,,5,,,,,,,112.55273937223,37.890041948394,4
49d959389e9b255ac61e515b,新星大世界,购物,百货商场,山西省,太原市,迎泽区,山西省太原市迎泽区解放路26号,49d959389e9b255ac61e515b,1,1,112.566927,37.871332,(0351)6625759,life,http://api.map.baidu.com/place/detail?uid=49d959389e9b255ac61e515b&output=html&source=placeapi_v2,,,3,,,,,,,7,3,,,,,,,112.56702122611,37.871084813242,1
850815e1aa0fa9e643e1924f,御花园购物中心,购物,百货商场,山西省,太原市,杏花岭区,山西省太原市杏花岭区肖墙路9号,3dda2704b4abcc7a9d9d68de,1,2,112.574304,37.882704,(0351)3343690,shopping,http://api.map.baidu.com/place/detail?uid=850815e1aa0fa9e643e1924f&output=html&source=placeapi_v2,,10:00-22:00,0,,,,,,,,2,,,,,,,112.57457910245,37.883287228181,2
850815e1aa0fa9e643e1924f,御花园购物中心,购物,百货商场,山西省,太原市,杏花岭区,山西省太原市杏花岭区肖墙路9号,3dda2704b4abcc7a9d9d68de,1,2,112.574304,37.882704,(0351)3343690,shopping,http://api.map.baidu.com/place/detail?uid=850815e1aa0fa9e643e1924f&output=html&source=placeapi_v2,,10:00-22:00,0,,,,,,,,2,,,,,,,112.57457910245,37.883287228181,2
