uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
c6b3bb604037906a1f389422,迎宾街游乐场,旅游景点,游乐园,天津市,天津市,滨海新区,天津市滨海新区旭日路与迎宾街交叉路口往东北约130米,c6b3bb604037906a1f389422,1,0,117.467963,38.856959,,scope,http://api.map.baidu.com/place/detail?uid=c6b3bb604037906a1f389422&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.46700964963,38.856533355236,0
7fd72311dad30a9e5cbe8620,临潮湖,旅游景点,游乐园,天津市,天津市,滨海新区,天津市滨海新区学府路与迎宾街交叉口北侧,7fd72311dad30a9e5cbe8620,1,0,117.466704,38.867972,,scope,http://api.map.baidu.com/place/detail?uid=7fd72311dad30a9e5cbe8620&output=html&source=placeapi_v2,,06:00-21:00,4.2,,,,,,,,33,,,,,,,117.46641388982,38.865255531975,0
6d0e3a8c1d688384e6e96560,快乐大世界,旅游景点,游乐园,天津市,天津市,滨海新区,天津市滨海新区迎宾街临潮湖,,1,1,117.468085,38.867192,,scope,http://api.map.baidu.com/place/detail?uid=6d0e3a8c1d688384e6e96560&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,1
8fa8f01d574849df1e3894ca,狩猎英雄,旅游景点,游乐园,天津市,天津市,滨海新区,天津市滨海新区迎宾街临潮湖,,1,0,117.467189,38.867371,,scope,http://api.map.baidu.com/place/detail?uid=8fa8f01d574849df1e3894ca&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1297b08650a906878bf15d24,望海山-豪华转马,旅游景点,游乐园,天津市,天津市,滨海新区,天津市滨海新区望海山(学府路北),1297b08650a906878bf15d24,1,0,117.468018,38.867226,,scope,http://api.map.baidu.com/place/detail?uid=1297b08650a906878bf15d24&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.46793112782,38.865514359311,0
5244b94792f517ef6e20b95e,静海西双庄园膜幻水世界,旅游景点,游乐园,天津市,天津市,静海区,天津市静海区京福公路与南外环交汇处南行300米路西(西双庄园园区内),,1,0,116.888085,38.906757,13552005067,scope,http://api.map.baidu.com/place/detail?uid=5244b94792f517ef6e20b95e&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,,,0
92546d366fed5dfbadb22a25,团泊湖乐乐岛冰雪嘉年华,旅游景点,游乐园,天津市,天津市,静海区,天津市静海区团泊新城津王公路团泊酒店内,,1,0,117.16498,38.911766,,scope,http://api.map.baidu.com/place/detail?uid=92546d366fed5dfbadb22a25&output=html&source=placeapi_v2,,,4.5,,,,,,,1,2,,,,,,,,,0
3e0a81a2e064fa877369d378,冰雪奇缘水上乐园,旅游景点,游乐园,天津市,天津市,静海区,天津市静海区九通家园北门蒙古大营院内,3e0a81a2e064fa877369d378,1,0,116.973245,38.9495,,scope,http://api.map.baidu.com/place/detail?uid=3e0a81a2e064fa877369d378&output=html&source=placeapi_v2,,10:00-21:00,,,,,,,,,,,,,,,,116.97318664634,38.949605026153,0
00ecee7d25155067b04c491e,小站迎新合作社水上乐园,旅游景点,游乐园,天津市,天津市,津南区,天津市津南区小站镇北马路石柱河桥北侧500米迎新合作社内,,1,0,117.45877,38.948583,,scope,http://api.map.baidu.com/place/detail?uid=00ecee7d25155067b04c491e&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,,,0
ab7fa0b0cdacbfb2ae080f14,玛歌庄园悦水园,旅游景点,游乐园,天津市,天津市,西青区,天津市西青区赛达路1号,ab7fa0b0cdacbfb2ae080f14,1,0,117.234312,39.005925,,scope,http://api.map.baidu.com/place/detail?uid=ab7fa0b0cdacbfb2ae080f14&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.23410390946,39.006416592134,0
