uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
c9f451b41c7362944e55478c,顺缘快印,生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区团结西路168号,,1,0,117.488393,38.730649,,life,http://api.map.baidu.com/place/detail?uid=c9f451b41c7362944e55478c&output=html&source=placeapi_v2,,,1,,,,,,,9,1,,,,,,,117.48854982819,38.730406093582,0
3dd74e164b4504dc250bd0d5,黑与白广告,生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区三号院花园路59号,3dd74e164b4504dc250bd0d5,1,0,117.518586,38.731707,(022)25916032,life,http://api.map.baidu.com/place/detail?uid=3dd74e164b4504dc250bd0d5&output=html&source=placeapi_v2,,,,,,,,,,9,,,,,,,,,,0
2aaa8fa9818522203f9a5e1c,艺鑫广告文印部,生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区创业路2号院,2aaa8fa9818522203f9a5e1c,1,0,117.514143,38.746816,18722011266,life,http://api.map.baidu.com/place/detail?uid=2aaa8fa9818522203f9a5e1c&output=html&source=placeapi_v2,,,,,,,,,,10,,,,,,,,117.51412153991,38.746976138317,0
4a5d3f29f6b26cc296ca07f3,简印,生活服务,图文快印店,天津市,天津市,静海区,天津市静海区长江道大邱庄镇,,1,0,117.072,38.845051,"15900252570,18622957210",life,http://api.map.baidu.com/place/detail?uid=4a5d3f29f6b26cc296ca07f3&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,5,1,,,,,,,,,0
eb6e6fba6bc0ec9c940319f6,丰彩图文工程复印,生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区迎宾街永明路大港公园南门西,eb6e6fba6bc0ec9c940319f6,1,0,117.471241,38.844782,(022)63213252,life,http://api.map.baidu.com/place/detail?uid=eb6e6fba6bc0ec9c940319f6&output=html&source=placeapi_v2,,07:30-18:00,0,,,,,,,7,1,,,,,,,117.47125193153,38.844675432981,0
29ec13892017d2dc2fe67b98,鼎诺图文(旭日路店),生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区大港街道大港晨晖北里南门底商,29ec13892017d2dc2fe67b98,1,0,117.469469,38.856225,18502211502,life,http://api.map.baidu.com/place/detail?uid=29ec13892017d2dc2fe67b98&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,10,,,,,,,,117.4695320733,38.856124375082,0
720ab898210dec3a29201a69,云利印章店,生活服务,图文快印店,天津市,天津市,滨海新区,天津市滨海新区霞光路29-103号,720ab898210dec3a29201a69,1,0,117.471729,38.853685,13011340666,life,http://api.map.baidu.com/place/detail?uid=720ab898210dec3a29201a69&output=html&source=placeapi_v2,,08:30-18:00,,,,,,,,8,,,,,,,,117.47174001056,38.853548345475,0
06679412eb8d467cf90cad12,静文复印,生活服务,图文快印店,天津市,天津市,静海区,天津市静海区涞文线掌上明珠家具(春鹏慕家具城店)西侧约210米,,1,0,116.90572,38.938953,,life,http://api.map.baidu.com/place/detail?uid=06679412eb8d467cf90cad12&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
33fab206dd19ac74b13c81ff,松林复印(胜利大街店),生活服务,图文快印店,天津市,天津市,静海区,天津市静海区新华小区底商6号,33fab206dd19ac74b13c81ff,1,0,116.929484,38.943471,,life,http://api.map.baidu.com/place/detail?uid=33fab206dd19ac74b13c81ff&output=html&source=placeapi_v2,,,4,,,,,,,10,1,,,,,,,116.92932424508,38.943471903445,0
b1e035a50ea1e06cca09f032,佳能复印机打印机(胜利大街店),生活服务,图文快印店,天津市,天津市,静海区,天津市静海区新华小区底商,b1e035a50ea1e06cca09f032,1,0,116.929539,38.943711,(022)28937735,life,http://api.map.baidu.com/place/detail?uid=b1e035a50ea1e06cca09f032&output=html&source=placeapi_v2,,08:00-18:00,0.0,,,,,,,11,,,,,,,,116.92932574885,38.943712178953,0
c354555e94554e95c9c3db16,百顺创业复印(地纬路店),生活服务,图文快印店,天津市,天津市,静海区,天津市静海区地纬路东升楼,c354555e94554e95c9c3db16,1,0,116.950823,38.941916,13512033276,life,http://api.map.baidu.com/place/detail?uid=c354555e94554e95c9c3db16&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,9,,,,,,,,,,0
4255ffa61f6e11c351e5c570,海发复印,生活服务,图文快印店,天津市,天津市,静海区,天津市静海区东方红路天桥口腔斜对面,4255ffa61f6e11c351e5c570,1,0,116.958676,38.939156,,life,http://api.map.baidu.com/place/detail?uid=4255ffa61f6e11c351e5c570&output=html&source=placeapi_v2,,08:00-19:30,0.0,,,,,,,8,,,,,,,,,,0
cc650a8e66a983e901897207,赛可优数码快印（津南店）,生活服务,图文快印店,天津市,天津市,津南区,天津市津南区红旗路2号,cc650a8e66a983e901897207,1,0,117.389007,38.986702,(022)88738485,life,http://api.map.baidu.com/place/detail?uid=cc650a8e66a983e901897207&output=html&source=placeapi_v2,,08:30-20:30,3,,,,,,,8,2,,,,,,,117.38900447321,38.986655836932,0
364f1c80d1aa860fadb22a42,博时印务业务部,生活服务,图文快印店,天津市,天津市,津南区,天津市津南区普红馨苑9号楼底商15号,364f1c80d1aa860fadb22a42,1,0,117.388252,38.98932,(022)28397999,life,http://api.map.baidu.com/place/detail?uid=364f1c80d1aa860fadb22a42&output=html&source=placeapi_v2,,08:00-17:30,0,,,,,,,5,1,,,,,,,117.38813615134,38.989416837474,0
da00f536f23962b4ad080fd9,文汇打字复印社,生活服务,图文快印店,天津市,天津市,西青区,天津市西青区友谊路延长线与龙泉道交口谊龙花园二层底商3号派出所旁,da00f536f23962b4ad080fd9,1,0,117.223317,39.017674,13682053599,life,http://api.map.baidu.com/place/detail?uid=da00f536f23962b4ad080fd9&output=html&source=placeapi_v2,,08:15-18:00,0.0,,,,,,,13,,,,,,,,117.22320345089,39.017666378803,0
