uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
819725d7c2a60d8744e27458,和发烧烤涮羊肉自主超市,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太平镇窦庄子村245号,,1,0,117.343502,38.588854,17627814856,cater,http://api.map.baidu.com/place/detail?uid=819725d7c2a60d8744e27458&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ba42488a006f745e213bf224,民乐菜馆,美食,中餐厅,天津市,天津市,滨海新区,窦太路(窦家庄中心广场南侧约250米),ba42488a006f745e213bf224,1,0,117.34039,38.587965,13920884786,cater,http://api.map.baidu.com/place/detail?uid=ba42488a006f745e213bf224&output=html&source=placeapi_v2,,10:00-22:00,,,,,,,,,,,,,,,,,,0
f4103d5a2025b951283a9f00,大饼店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区窦太路窦庄子卫生院东南侧约80米,,1,0,117.340555,38.587148,,cater,http://api.map.baidu.com/place/detail?uid=f4103d5a2025b951283a9f00&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
79a6549106de7cfa940319c7,晋秦面庄,美食,中餐厅,天津市,天津市,静海区,天津市静海区中青路,,1,0,117.102009,38.617152,,cater,http://api.map.baidu.com/place/detail?uid=79a6549106de7cfa940319c7&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1db9447c36b1782f96031941,天聚祥饭店,美食,中餐厅,天津市,天津市,静海区,天津市静海区中青路静海区韩庄子中心校南侧约40米,,1,0,117.138733,38.620627,,cater,http://api.map.baidu.com/place/detail?uid=1db9447c36b1782f96031941&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ba116420a41d6226f8f0cb54,天源酒家,美食,中餐厅,天津市,天津市,静海区,天津市静海区山深线,,1,0,117.154301,38.619854,,cater,http://api.map.baidu.com/place/detail?uid=ba116420a41d6226f8f0cb54&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
803f79ee1abcb1986d20b926,鑫垚海鲜,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路居安里南侧约80米,,1,0,117.335623,38.62587,"17181401777,18522132311",cater,http://api.map.baidu.com/place/detail?uid=803f79ee1abcb1986d20b926&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
3c462abac8416d877ab55cb5,炒菜涮羊肉火锅鸡,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区远太路太平镇第一小学西北侧约160米,,1,0,117.337406,38.626454,(022)63149618,cater,http://api.map.baidu.com/place/detail?uid=3c462abac8416d877ab55cb5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
8f5e6525204809f3ab175a2f,君越食府,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区远太路居安里东侧约90米,8f5e6525204809f3ab175a2f,1,0,117.336982,38.627453,15822616123,cater,http://api.map.baidu.com/place/detail?uid=8f5e6525204809f3ab175a2f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
d5b5dae2e1c2c19c932ca3bf,食尚家常菜,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区远太路居安里东侧约110米,,1,0,117.337072,38.627177,15122218992,cater,http://api.map.baidu.com/place/detail?uid=d5b5dae2e1c2c19c932ca3bf&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
3977823a8138b9141df74df1,老侯羊汤,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平镇第一小学西北侧约130米,,1,0,117.338437,38.626528,,cater,http://api.map.baidu.com/place/detail?uid=3977823a8138b9141df74df1&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
11738c23005bda0cf32d83a5,安泰肥牛,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太平镇文化中心斜对面,,1,0,117.340938,38.626789,,cater,http://api.map.baidu.com/place/detail?uid=11738c23005bda0cf32d83a5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
532a6bf16271f82cdf1e5225,三姐海鲜,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区友爱南街泰安里东南侧,,1,0,117.341403,38.623041,15522083776,cater,http://api.map.baidu.com/place/detail?uid=532a6bf16271f82cdf1e5225&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.34137068,38.623193811869,0
55eb85c15d997669d12dd620,天和聚饭店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平镇第一小学北侧约130米,55eb85c15d997669d12dd620,1,0,117.339094,38.626671,13821233906,cater,http://api.map.baidu.com/place/detail?uid=55eb85c15d997669d12dd620&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
71738269181b67c9626858b0,宝丽鑫酒楼,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平村二中西南侧,71738269181b67c9626858b0,1,0,117.342228,38.627516,,cater,http://api.map.baidu.com/place/detail?uid=71738269181b67c9626858b0&output=html&source=placeapi_v2,,"10:30-14:00,16:30-21:00",,,,,,,,,,,,,,,,117.34227290482,38.627406662204,0
5c558ff2f7a05a171b11d58c,嘉美家常菜,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平村二中西侧,,1,0,117.341777,38.628796,,cater,http://api.map.baidu.com/place/detail?uid=5c558ff2f7a05a171b11d58c&output=html&source=placeapi_v2,,,,,,,,,,,1,,,,,,,,,0
d50a03922c6ed3de0c0a704a,配餐室,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平村二中西南侧,,1,0,117.342209,38.627767,,cater,http://api.map.baidu.com/place/detail?uid=d50a03922c6ed3de0c0a704a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
0d08a0a4e0a141265fbe8611,烧烤火锅鸡,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平村二中西南侧,,1,0,117.342176,38.627835,,cater,http://api.map.baidu.com/place/detail?uid=0d08a0a4e0a141265fbe8611&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
a2b40492547468d82d4733e4,好再来,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区泰安里东侧约130米,,1,0,117.343887,38.623973,,cater,http://api.map.baidu.com/place/detail?uid=a2b40492547468d82d4733e4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
dca0fb166a55e287ad080f3c,靓点酒家,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路北100米太平镇第二小学附近,,1,0,117.344635,38.628371,"(022)63135152,15822468909",cater,http://api.map.baidu.com/place/detail?uid=dca0fb166a55e287ad080f3c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.34446444238,38.628378376583,0
b5f4ebf97a8077a6f03cbaab,二丫铁锅炖,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平镇第二小学东南侧约40米,,1,0,117.346297,38.628469,,cater,http://api.map.baidu.com/place/detail?uid=b5f4ebf97a8077a6f03cbaab&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
308f5725dc12e13c41d63eef,青姐羊汤涮羊肉火锅鸡,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路太平镇第二小学东南侧约40米,,1,0,117.346404,38.62857,,cater,http://api.map.baidu.com/place/detail?uid=308f5725dc12e13c41d63eef&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7388dffd561b69e8d2ff239b,向阳饭庄,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区西侧约90米,7388dffd561b69e8d2ff239b,1,0,117.391978,38.635366,(022)63199996,cater,http://api.map.baidu.com/place/detail?uid=7388dffd561b69e8d2ff239b&output=html&source=placeapi_v2,48.0,09:00-21:00,3.5,,,,,,,,0,,,,,,,117.39196205607,38.635463750843,0
dffd631c755006bf39221c9b,民族清真饭店,美食,中餐厅,天津市,天津市,滨海新区,港西街双合小区附近,,1,0,117.393708,38.635602,13622114889,cater,http://api.map.baidu.com/place/detail?uid=dffd631c755006bf39221c9b&output=html&source=placeapi_v2,,,5,,,,,,,,1,,,,,,,117.39364057764,38.635806638394,0
a2b6490bb4f6c7d1ee74f8a4,德顺祥,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路天津滨海农商银行(港西支行)西南侧约160米,,1,0,117.384755,38.634305,,cater,http://api.map.baidu.com/place/detail?uid=a2b6490bb4f6c7d1ee74f8a4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
81468c0d99bc7b9e1df74d9d,逸景饭店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路星辰里东南侧约220米,,1,0,117.384392,38.634223,,cater,http://api.map.baidu.com/place/detail?uid=81468c0d99bc7b9e1df74d9d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
23e3c47d2d57806721f017e9,天津市滨海新区玉食豆腐店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区港西街兴港胡同41号,,1,0,117.391495,38.632831,13920854981,cater,http://api.map.baidu.com/place/detail?uid=23e3c47d2d57806721f017e9&output=html&source=placeapi_v2,,06:00-22:00,,,,,,,,,,,,,,,,,,0
5fb56dd915fb7784d518b7ed,韩家烧鸡店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区西侧约40米,,1,0,117.39253,38.635455,,cater,http://api.map.baidu.com/place/detail?uid=5fb56dd915fb7784d518b7ed&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.39253545256,38.635548964525,0
b843bdc6896ed173ca1b957f,树良牛肉店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区西侧约100米,b843bdc6896ed173ca1b957f,1,0,117.391808,38.635644,,cater,http://api.map.baidu.com/place/detail?uid=b843bdc6896ed173ca1b957f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
137570ac965e294d42d63e7e,伊顺园饭庄,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路与清真寺东路交口,,1,0,117.392693,38.635478,"15302033027,18002032033",cater,http://api.map.baidu.com/place/detail?uid=137570ac965e294d42d63e7e&output=html&source=placeapi_v2,,10:00-22:00,,,,,,,,,1,,,,,,,117.3926025991,38.635558892959,0
b0cfa67828171d395e0d02ab,清真向阳从月烧鸡店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区西侧约80米,b0cfa67828171d395e0d02ab,1,0,117.392083,38.635721,15822333807,cater,http://api.map.baidu.com/place/detail?uid=b0cfa67828171d395e0d02ab&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.39212215567,38.635562715983,0
07a67c54de2fbb1609a8d473,张记羊汤,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区,,1,0,117.393202,38.63554,,cater,http://api.map.baidu.com/place/detail?uid=07a67c54de2fbb1609a8d473&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.3931584975,38.635717911965,0
d8f789f2116627caa1d23024,清真羊汤,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区太沙路双合小区西侧约40米,,1,0,117.392526,38.635774,,cater,http://api.map.baidu.com/place/detail?uid=d8f789f2116627caa1d23024&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6405b39aab82b3b27dc876d0,庆云发饭店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区津歧线,,1,0,117.561022,38.628397,,cater,http://api.map.baidu.com/place/detail?uid=6405b39aab82b3b27dc876d0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
aa4312e079aa5ab5e6073884,齐迷饭店,美食,中餐厅,天津市,天津市,静海区,天津市静海区李姚路,,1,0,117.083392,38.649859,,cater,http://api.map.baidu.com/place/detail?uid=aa4312e079aa5ab5e6073884&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2cc012dd04730170a1046448,新派大虾,美食,中餐厅,天津市,天津市,静海区,天津市静海区中旺镇四方城天润家园1号商铺,2cc012dd04730170a1046448,1,0,117.139047,38.643725,13752421345,cater,http://api.map.baidu.com/place/detail?uid=2cc012dd04730170a1046448&output=html&source=placeapi_v2,,09:30-22:30,,,,,,,,,,,,,,,,,,0
c7f3ef0c2ac9994390114c3a,昕盛饭庄,美食,中餐厅,天津市,天津市,静海区,天津市静海区天润家园商铺21号,,1,0,117.138857,38.64478,(022)68531843,cater,http://api.map.baidu.com/place/detail?uid=c7f3ef0c2ac9994390114c3a&output=html&source=placeapi_v2,,09:30-22:00,,,,,,,,,,,,,,,,,,0
a56412520a7e4c7f9cf7792b,一家人饭店,美食,中餐厅,天津市,天津市,静海区,中旺镇蔡中路中旺医院公交站西,,1,0,117.139096,38.643219,18920321026,cater,http://api.map.baidu.com/place/detail?uid=a56412520a7e4c7f9cf7792b&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,117.13907353588,38.643378154425,0
da11aa950cb8509431f71d8f,许姐秘制炸串,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路四方城天润家园,,1,0,117.138978,38.644139,,cater,http://api.map.baidu.com/place/detail?uid=da11aa950cb8509431f71d8f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
88975b83ec31e71bed74f83a,东仔平价海鲜,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路四方城天润家园西北侧约40米,,1,0,117.138375,38.644941,,cater,http://api.map.baidu.com/place/detail?uid=88975b83ec31e71bed74f83a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
5be4bdde083b7ee9373a718d,刘记砂锅,美食,中餐厅,天津市,天津市,静海区,天津市静海区中旺镇张高庄村中海加油站向南175米,,1,0,117.159544,38.658702,,cater,http://api.map.baidu.com/place/detail?uid=5be4bdde083b7ee9373a718d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
78c0e0d569734819ad31e565,东家北小菜馆家,美食,中餐厅,天津市,天津市,静海区,天津市静海区山深线,,1,0,117.158323,38.646462,,cater,http://api.map.baidu.com/place/detail?uid=78c0e0d569734819ad31e565&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
be0836a9a0a9ca300e3dda83,胖子饭店,美食,中餐厅,天津市,天津市,静海区,天津市静海区山深线广厦家园东北侧约210米,,1,0,117.158196,38.645291,15612730695,cater,http://api.map.baidu.com/place/detail?uid=be0836a9a0a9ca300e3dda83&output=html&source=placeapi_v2,,08:00-02:00,0,,,,,,,,1,,,,,,,,,0
8d826c544d7a7bb37bf796f5,石锅鱼,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路天津农商银行(静海中旺支行)东侧约160米,,1,0,117.150597,38.643886,18522068792,cater,http://api.map.baidu.com/place/detail?uid=8d826c544d7a7bb37bf796f5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
c6479354e6ad5203f5c59c85,流河排骨,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路广厦家园西侧约50米,,1,0,117.15327,38.64339,13072009633,cater,http://api.map.baidu.com/place/detail?uid=c6479354e6ad5203f5c59c85&output=html&source=placeapi_v2,,,3.4,,,,,,,,,,,,,,,,,0
8fe31378db645c592dfaa753,二子早点砂锅,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路广厦家园西侧约60米,,1,0,117.153155,38.643707,,cater,http://api.map.baidu.com/place/detail?uid=8fe31378db645c592dfaa753&output=html&source=placeapi_v2,,,3.4,,,,,,,,0,,,,,,,,,0
e84b70afb615fc905fbe8648,晶晶羊肉馆,美食,中餐厅,天津市,天津市,静海区,天津市静海区优乐快捷宾馆(蔡中路北),,1,0,117.153041,38.643766,13752790044,cater,http://api.map.baidu.com/place/detail?uid=e84b70afb615fc905fbe8648&output=html&source=placeapi_v2,,"08:00-14:00,17:00-01:00",3.0,,,,,,,,,,,,,,,,,0
e21f8a601636e10f2cb96d1e,东北铁锅炖,美食,中餐厅,天津市,天津市,静海区,天津市静海区垛庄村广厦家园底商108号,,1,0,117.155774,38.643607,18345902225,cater,http://api.map.baidu.com/place/detail?uid=e21f8a601636e10f2cb96d1e&output=html&source=placeapi_v2,,09:30-23:15,,,,,,,,,,,,,,,,,,0
6ed9ee8cab921ac53b221c1d,红霞砂锅羊汤炖鱼,美食,中餐厅,天津市,天津市,静海区,天津市静海区港中线,,1,0,117.160818,38.643244,,cater,http://api.map.baidu.com/place/detail?uid=6ed9ee8cab921ac53b221c1d&output=html&source=placeapi_v2,,10:00-23:30,,,,,,,,,,,,,,,,,,0
2597d241914ab38fc8213dbc,金呈海鲜烧烤,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路天津农商银行(静海中旺支行)东侧约170米,,1,0,117.150767,38.643909,18522003404,cater,http://api.map.baidu.com/place/detail?uid=2597d241914ab38fc8213dbc&output=html&source=placeapi_v2,,17:00-03:00,,,,,,,,,,,,,,,,,,0
8a83e788b11df05979dbd248,金凯悦食府,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路广厦家园,,1,0,117.153921,38.643694,"13820811295,18722113837",cater,http://api.map.baidu.com/place/detail?uid=8a83e788b11df05979dbd248&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
e3b0687150c3f8e1a6da39fe,铜锅涮羊肉,美食,中餐厅,天津市,天津市,静海区,天津市静海区蔡中路广厦家园西侧约100米,,1,0,117.152734,38.643433,,cater,http://api.map.baidu.com/place/detail?uid=e3b0687150c3f8e1a6da39fe&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
123ecdb8539d1c4781a12e9b,青县火锅鸡(郭庄子),美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区建业街大港太平镇第三小学西北侧约40米,,1,0,117.249555,38.642236,15822436367,cater,http://api.map.baidu.com/place/detail?uid=123ecdb8539d1c4781a12e9b&output=html&source=placeapi_v2,,10:00-23:00,,,,,,,,,,,,,,,,,,0
41b4bf2395e43e2afa42b207,享晟饭店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区建业街丰润里东南侧约70米,,1,0,117.252826,38.642685,,cater,http://api.map.baidu.com/place/detail?uid=41b4bf2395e43e2afa42b207&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
51e9e94dcbab01340aa8d43a,苗苗饭店,美食,中餐厅,天津市,天津市,滨海新区,天津市滨海新区建业街大港太平镇第三小学西侧约40米,,1,0,117.249219,38.641678,,cater,http://api.map.baidu.com/place/detail?uid=51e9e94dcbab01340aa8d43a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
