uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
cb1e82a2de1ac87ca6da39b4,禾福的日料,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区团结西路218号,,1,0,117.486381,38.729755,15022508678,cater,http://api.map.baidu.com/place/detail?uid=cb1e82a2de1ac87ca6da39b4&output=html&source=placeapi_v2,,09:30-21:30,3.7,,,,,,,,,,,,,,,117.48652282337,38.729552178963,0
1b89bfda79c0a88771455b12,欧罗巴(大港油田幸福广场店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区开发道与幸福路交叉口大港油田幸福广场F1,,1,0,117.497172,38.725573,,shopping,http://api.map.baidu.com/place/detail?uid=1b89bfda79c0a88771455b12&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.49796473289,38.725403684513,0
871a695f82a56ee4f42310bf,缘味先时尚快餐厅,美食,外国餐厅,天津市,天津市,静海区,天津市静海区陈大线天津市农村商业银行(子牙支行)西侧约90米,,1,0,116.774933,38.830385,15222878078,cater,http://api.map.baidu.com/place/detail?uid=871a695f82a56ee4f42310bf&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
8302e8713d4e06f90d3dda6b,正泰餐厅,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区栖凤北路栖凤小学东南侧,,1,0,117.295511,38.828496,13672143681,cater,http://api.map.baidu.com/place/detail?uid=8302e8713d4e06f90d3dda6b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
f00aa5aee6956f533904b1fe,三个先森的韩式炸鸡(大邱庄店),美食,外国餐厅,天津市,天津市,静海区,天津市静海区大邱庄镇盛华里5号楼2号门脸,,1,0,117.078209,38.841979,15022624606,cater,http://api.map.baidu.com/place/detail?uid=f00aa5aee6956f533904b1fe&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
22066ecd6778387493114c6f,韩味轩紫菜包饭(长江道店),美食,外国餐厅,天津市,天津市,静海区,大邱庄镇福润发超市底商,,1,0,117.073123,38.844786,"17192006222,17192009777",cater,http://api.map.baidu.com/place/detail?uid=22066ecd6778387493114c6f&output=html&source=placeapi_v2,,09:00-21:00,0,,,,,,,,0,,,,,,,117.07329544908,38.844709704822,0
8666397401a70abb8a36ee47,Masitda韩国炸鸡,美食,外国餐厅,天津市,天津市,静海区,大邱庄镇长江道尧舜商城内管委会斜对面,,1,0,117.073483,38.841075,13702021214,cater,http://api.map.baidu.com/place/detail?uid=8666397401a70abb8a36ee47&output=html&source=placeapi_v2,,10:30-20:00,,,,,,,,,,,,,,,,,,0
8cd3addce8563f17cc06a40e,无情牛排牛尾一锅香,美食,外国餐厅,天津市,天津市,静海区,天津市静海区泰山路王虎庄3区21号,,1,0,117.07862,38.837939,,cater,http://api.map.baidu.com/place/detail?uid=8cd3addce8563f17cc06a40e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
acef57a6bcaf9e5ff33cba48,紫菜包饭(大胡同分店),美食,外国餐厅,天津市,天津市,静海区,天津市静海区长江道津海玫瑰园南门东侧约30米,,1,0,117.072425,38.842068,18322298294,cater,http://api.map.baidu.com/place/detail?uid=acef57a6bcaf9e5ff33cba48&output=html&source=placeapi_v2,,09:30-21:00,,,,,,,,,,,,,,,,,,0
7ce13d9f72420ffd88f15d13,初客牛排(胜利街店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区胜利街576号，美又多北侧2楼,7ce13d9f72420ffd88f15d13,1,0,117.460222,38.848624,(022)63383849,cater,http://api.map.baidu.com/place/detail?uid=7ce13d9f72420ffd88f15d13&output=html&source=placeapi_v2,62.0,09:00-22:00,3.8,,,,,,,,8,,,,,,,,,0
08f1f1f5159bb2d388db7359,爱尔卑斯比萨自助西餐厅(大港店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区石化路158号,08f1f1f5159bb2d388db7359,1,0,117.459691,38.845112,(022)63399558,cater,http://api.map.baidu.com/place/detail?uid=08f1f1f5159bb2d388db7359&output=html&source=placeapi_v2,47.0,"11:00-14:00,17:00-21:00",3.9,,,,,,,,25,,,,,,,117.45966767023,38.845355957224,0
7b9e02e05c05de2020022072,向阳拌菜,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区胜利街四化里28号楼14门,7b9e02e05c05de2020022072,1,0,117.459409,38.847734,13001360848,cater,http://api.map.baidu.com/place/detail?uid=7b9e02e05c05de2020022072&output=html&source=placeapi_v2,,10:20-20:25,,,,,,,,,,,,,,,,117.45940274197,38.847906406462,0
188121847ce07e68c61e519a,米立拌饭馆,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区步行街西街4号,188121847ce07e68c61e519a,1,0,117.459822,38.851019,"17622869747,18743569151",cater,http://api.map.baidu.com/place/detail?uid=188121847ce07e68c61e519a&output=html&source=placeapi_v2,32.0,09:00-22:00,3.9,,,,,,,,0,,,,,,,,,0
c63998f28174b5dac1f1cfa1,木37摄氏度咖啡甜品简餐,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区迎宾街57-1号,c63998f28174b5dac1f1cfa1,1,0,117.467452,38.854854,(022)63109898,cater,http://api.map.baidu.com/place/detail?uid=c63998f28174b5dac1f1cfa1&output=html&source=placeapi_v2,95.0,09:30-22:30,0,,,,,,,,0,,,,,,,,,0
f07bc8aafc9860c0b23c818f,欧尚米典·披萨·牛扒(步行街店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区步行街374-1号,f07bc8aafc9860c0b23c818f,1,0,117.459908,38.851624,,cater,http://api.map.baidu.com/place/detail?uid=f07bc8aafc9860c0b23c818f&output=html&source=placeapi_v2,48.0,09:00-21:00,4.0,,,,,,,,2,,,,,,,117.45967504892,38.851446002506,0
e600abbb0e55630ed2f49e13,土大力(大港迎宾店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区世纪大道118号2楼,e600abbb0e55630ed2f49e13,1,0,117.461242,38.852176,(022)63306296,cater,http://api.map.baidu.com/place/detail?uid=e600abbb0e55630ed2f49e13&output=html&source=placeapi_v2,58.0,10:00-21:00,4.0,,,,,,,,7,,,,,,,117.46047914194,38.850596322174,0
0b3ea3f835fd167883a00c5f,白兔紫菜包饭,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区霞光路159号,0b3ea3f835fd167883a00c5f,1,0,117.462209,38.852717,15902277309,cater,http://api.map.baidu.com/place/detail?uid=0b3ea3f835fd167883a00c5f&output=html&source=placeapi_v2,13.0,10:00-21:00,3.7,,,,,,,,0,,,,,,,117.46219448057,38.852894202058,0
7b19435d4f431a2cc9fa5f57,欧若拉西餐厅,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区大港地球村12号别墅,7b19435d4f431a2cc9fa5f57,1,0,117.462143,38.864592,(022)63377417,cater,http://api.map.baidu.com/place/detail?uid=7b19435d4f431a2cc9fa5f57&output=html&source=placeapi_v2,90.0,11:00-21:30,3.8,,,,,,,,,,,,,,,,,0
9ad9bb933ae9e9eb75e5b6cf,五道韩味,美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区大港街道育才路振业里市场13号,9ad9bb933ae9e9eb75e5b6cf,1,0,117.471221,38.841298,18522753421,cater,http://api.map.baidu.com/place/detail?uid=9ad9bb933ae9e9eb75e5b6cf&output=html&source=placeapi_v2,,10:30-20:00,3.5,,,,,,,,,,,,,,,,,0
5510fa03338163ed2afc4853,三个先森的韩式炸鸡(大港店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区迎宾街大港第九中学东南侧约100米,,1,0,117.469141,38.84196,,cater,http://api.map.baidu.com/place/detail?uid=5510fa03338163ed2afc4853&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,117.46832817616,38.841721324168,0
97382dc3cb8946eac51e5138,熊家.韩式炸鸡(大港店),美食,外国餐厅,天津市,天津市,滨海新区,天津市滨海新区育秀街26号,97382dc3cb8946eac51e5138,1,0,117.472362,38.862856,18522968555,cater,http://api.map.baidu.com/place/detail?uid=97382dc3cb8946eac51e5138&output=html&source=placeapi_v2,23.0,10:00-21:00,4.0,,,,,,,,0,,,,,,,117.47214435763,38.862846404384,0
da1540570bd1d532a80dd8a2,韩都快餐,美食,外国餐厅,天津市,天津市,滨海新区,滨海新区育秀街8号,da1540570bd1d532a80dd8a2,1,0,117.472314,38.863218,(022)63255916,cater,http://api.map.baidu.com/place/detail?uid=da1540570bd1d532a80dd8a2&output=html&source=placeapi_v2,20.0,11:00-20:30,3.6,,,,,,,,0,,,,,,,117.47211817742,38.863209029258,0
