uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
bcde6105708ca1985cbe8625,汉南区博物馆,旅游景点,博物馆,湖北省,武汉市,汉南区,武汉市汉南区汉南大道641号,bcde6105708ca1985cbe8625,1,0,114.093068,30.321452,(027)59712886,scope,http://api.map.baidu.com/place/detail?uid=bcde6105708ca1985cbe8625&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,114.09320029088,30.321405395937,0
55134a272616b1812cb17e2b,汉南区博物馆-东南门,出入口,门,湖北省,武汉市,汉南区,武汉市汉南区汉南大道与纱河南路交叉口西南50米,55134a272616b1812cb17e2b,1,0,114.09312,30.321513,,life,http://api.map.baidu.com/place/detail?uid=55134a272616b1812cb17e2b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
030651b06326b514c9c3dbc2,武汉金楠雅苑金丝楠木博物馆,旅游景点,博物馆,湖北省,武汉市,江夏区,武汉市江夏区郑店街联合村七队,,1,0,114.24129,30.326188,,scope,http://api.map.baidu.com/place/detail?uid=030651b06326b514c9c3dbc2&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,114.24090694114,30.325965352257,0
1d96fec143d380de2e47333b,武金堤公路中山舰博物馆,交通设施,公交车站,湖北省,武汉市,江夏区,910路;919路,,0,0,114.140621,30.354455,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
6865d725629ed9c3a8f729d7,兵器展览室,文化传媒,展览馆,湖北省,武汉市,武昌区,武汉市武昌区下川村白云洞景区内,,1,0,114.292354,30.346654,,enterprise,http://api.map.baidu.com/place/detail?uid=6865d725629ed9c3a8f729d7&output=html&source=placeapi_v2,,,5,,,,,,,,3,,,,,,,114.29308307455,30.346547358075,0
bce05eb4857bd9e2d6b74e68,江夏区文化馆非遗文化展示中心,文化传媒,文化宫,湖北省,武汉市,江夏区,武汉市江夏区兴新街江夏区第一人民医院-住宅区南侧约50米,bce05eb4857bd9e2d6b74e68,1,0,114.321342,30.353233,,enterprise,http://api.map.baidu.com/place/detail?uid=bce05eb4857bd9e2d6b74e68&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
07c2462ae8b43ba98e7727b1,武汉工程科技学院-图书馆,教育培训,图书馆,湖北省,武汉市,江夏区,武汉市江夏区熊廷弼街特8号,07c2462ae8b43ba98e7727b1,1,0,114.342469,30.355115,(027)81820331,education,http://api.map.baidu.com/place/detail?uid=07c2462ae8b43ba98e7727b1&output=html&source=placeapi_v2,,08:30-21:30,4,,,,,,,,3,,,,,,,114.34251322276,30.3552471148,0
1615219bfb9e2d898f55ecf5,武汉工程科技学院图书馆-西门,出入口,门,湖北省,武汉市,江夏区,武汉市江夏区熊廷弼街特8号,1615219bfb9e2d898f55ecf5,1,0,114.342451,30.355393,,life,http://api.map.baidu.com/place/detail?uid=1615219bfb9e2d898f55ecf5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.3424247756,30.355421034413,0
03ca6e65dd20878ffa42b2c5,数码生活馆,购物,家电数码,湖北省,武汉市,江夏区,武汉市江夏区兴新街学府华庭(兴新街)东侧约210米,,1,0,114.339956,30.353312,,shopping,http://api.map.baidu.com/place/detail?uid=03ca6e65dd20878ffa42b2c5&output=html&source=placeapi_v2,,09:00-21:00,,,,,,,,,,,,,,,,114.33996366285,30.353434963087,0
a8dd49af2bda15d930621223,伊托邦麓山郡展示中心,文化传媒,展览馆,湖北省,武汉市,江夏区,武汉市江夏区锦绣大道五里界派出所东南侧约40米,a8dd49af2bda15d930621223,1,0,114.395358,30.343723,,enterprise,http://api.map.baidu.com/place/detail?uid=a8dd49af2bda15d930621223&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,,,,,,,,,114.39507356773,30.343781460128,0
