uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
c00d80c7096b43b225e0a0a4,超霸网吧(仓房沟北路店),休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟北路834号广晟园小区c栋,c00d80c7096b43b225e0a0a4,1,0,87.596706,43.770134,15160951990,life,http://api.map.baidu.com/place/detail?uid=c00d80c7096b43b225e0a0a4&output=html&source=placeapi_v2,,00:00-24:00,4,,,,,,,32,20,,,,,,,87.596496468031,43.770199055998,0
8eb48fa1e3a207a7f32d8343,万兴大都会,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆乌鲁木齐市沙依巴克区仓房沟19号4号楼,8eb48fa1e3a207a7f32d8343,1,0,87.60322,43.781366,(0991)5828888,life,http://api.map.baidu.com/place/detail?uid=8eb48fa1e3a207a7f32d8343&output=html&source=placeapi_v2,,00:00-24:00,5,,,,,,,2,1,,,,,,,87.603115568941,43.781404915408,0
b050bdfea23db5c640ab9a4e,金点时尚网吧,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,天山区,新疆维吾尔自治区乌鲁木齐市天山区胜利路621号2楼,b050bdfea23db5c640ab9a4e,1,0,87.619039,43.771633,,life,http://api.map.baidu.com/place/detail?uid=b050bdfea23db5c640ab9a4e&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,8,4,,,,,,,,,0
48349c596464de35d518b796,喜和祥棋牌坊,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区长江路红十月西二区7号楼,48349c596464de35d518b796,1,0,87.598363,43.802657,13639957992,life,http://api.map.baidu.com/place/detail?uid=48349c596464de35d518b796&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,87.598563429448,43.802660857465,0
4a478ad4353cdba7f60e77cd,麒云网咖,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区扬子江路红十月小区东二区16号楼负1层,4a478ad4353cdba7f60e77cd,1,0,87.599621,43.803266,17716912937,life,http://api.map.baidu.com/place/detail?uid=4a478ad4353cdba7f60e77cd&output=html&source=placeapi_v2,,00:00-24:00,2.8,,,,,,,18,11,,,,,,,87.599536032046,43.803117797245,0
3d46289f497fdef8f8f0cb47,新新网络(西虹路店),休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,新疆维吾尔自治区乌鲁木齐市水磨沟区西虹东路487号初客牛排二楼,3d46289f497fdef8f8f0cb47,1,0,87.623587,43.823897,,life,http://api.map.baidu.com/place/detail?uid=3d46289f497fdef8f8f0cb47&output=html&source=placeapi_v2,,09:00-01:30,3.7,,,,,,,7,3,,,,,,,87.62370412128,43.823669943303,0
5ffb18165c528f5e6f47607e,大真足道(西虹东路),休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,新疆维吾尔自治区乌鲁木齐市水磨沟区西虹东路0078号附2号向阳花苑小区3号一层(腾飞大厦以东600米),5ffb18165c528f5e6f47607e,1,0,87.628016,43.824695,(0991)4658669,life,http://api.map.baidu.com/place/detail?uid=5ffb18165c528f5e6f47607e&output=html&source=placeapi_v2,131,00:00-24:00,0,,,,,,,12,0,,,,,,,87.627928055656,43.824872133436,0
e7544773b5334fc1b54f548f,蓝太阳网吧(南湖南路东二巷),休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,新疆维吾尔自治区乌鲁木齐市水磨沟区西虹东路北7巷98号,e7544773b5334fc1b54f548f,1,0,87.621895,43.82416,(0991)8086998,life,http://api.map.baidu.com/place/detail?uid=e7544773b5334fc1b54f548f&output=html&source=placeapi_v2,,00:00-24:00,4.0,,,,,,,12,2,,,,,,,87.621681682004,43.824083455396,0
1e44a69993ade526eee4a596,阿巍棋牌室,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,新疆维吾尔自治区乌鲁木齐市水磨沟区西虹东路北七巷93号,1e44a69993ade526eee4a596,1,0,87.621693,43.823771,13319838832,life,http://api.map.baidu.com/place/detail?uid=1e44a69993ade526eee4a596&output=html&source=placeapi_v2,,10:00-22:00,5,,,,,,,11,4,,,,,,,,,0
086f1b5b3274eb5fcf06a4cf,明友棋牌室,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,新疆维吾尔自治区乌鲁木齐市水磨沟区绿荫四巷53号,086f1b5b3274eb5fcf06a4cf,1,0,87.630654,43.8286,,life,http://api.map.baidu.com/place/detail?uid=086f1b5b3274eb5fcf06a4cf&output=html&source=placeapi_v2,,,0.0,,,,,,,1,,,,,,,,87.630709034974,43.828631812517,0
48befe0d24b58385e5e965eb,迪士尼动漫城,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区红庙子路355号泰鸿银座,48befe0d24b58385e5e965eb,1,0,87.568537,43.848556,,life,http://api.map.baidu.com/place/detail?uid=48befe0d24b58385e5e965eb&output=html&source=placeapi_v2,,,0.0,,,,,,,1,1,,,,,,,,,0
67ec25c171bdd7393904b167,福润德动漫电玩城(福润德购物中心店),休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,新市区,乌鲁木齐市新市区北京南路433号福润德购物中心F1,67ec25c171bdd7393904b167,1,0,87.576699,43.854468,,life,http://api.map.baidu.com/place/detail?uid=67ec25c171bdd7393904b167&output=html&source=placeapi_v2,21,11:00-24:00,4.4,,,,,,,41,84,,,,,,,87.577269386804,43.853835968493,0
c246f5c82a7402efadcb66fa,如意锦绣网吧,休闲娱乐,游戏场所,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区新医路686号锦绣山河美食佳B1层,c246f5c82a7402efadcb66fa,1,0,87.585488,43.840588,18167853860,life,http://api.map.baidu.com/place/detail?uid=c246f5c82a7402efadcb66fa&output=html&source=placeapi_v2,3,00:00-24:00,3.3,,,,,,,2,10,,,,,,,87.585484527235,43.84081026125,0
