uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
409cc82107137ddeb9df8f35,华新管业有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区蔷薇二街与梧桐路交叉口西100米,409cc82107137ddeb9df8f35,1,0,87.379374,43.711591,,enterprise,http://api.map.baidu.com/place/detail?uid=409cc82107137ddeb9df8f35&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.379636371466,43.711488550384,0
efbc4a93ce40bcf4b14c4940,新疆金力电缆有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区蔷薇一街1-6号,,1,0,87.379392,43.713924,(0991)2200395,enterprise,http://api.map.baidu.com/place/detail?uid=efbc4a93ce40bcf4b14c4940&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
0992279fb189a849e5e9658a,新疆紫塔石国际贸易有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区蔷薇二街1~2号,0992279fb189a849e5e9658a,1,0,87.377902,43.714888,13899831559,enterprise,http://api.map.baidu.com/place/detail?uid=0992279fb189a849e5e9658a&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,87.378107325593,43.714867379004,0
ea97a1b4ce4cfdba15a1901d,新疆众祥环保科技有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区蔷薇街1号,ea97a1b4ce4cfdba15a1901d,1,0,87.376816,43.717311,,enterprise,http://api.map.baidu.com/place/detail?uid=ea97a1b4ce4cfdba15a1901d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
cbd985446c0055f6fa42b238,新疆鑫天鸿源商贸有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区榆泉北路,,1,0,87.38594,43.713503,,enterprise,http://api.map.baidu.com/place/detail?uid=cbd985446c0055f6fa42b238&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.385940561228,43.713642511727,0
5fd4420a3e4dff574f3a590f,新疆丝路通达商贸有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区蔷薇二街与梧桐路交叉口东北140米,5fd4420a3e4dff574f3a590f,1,0,87.38142,43.712419,13609971467,enterprise,http://api.map.baidu.com/place/detail?uid=5fd4420a3e4dff574f3a590f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.381419818627,43.712419042055,0
92b1a738c7a213a329b97c82,新疆天福泰钢结构有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区兵团乌鲁木齐渝泉南路蔷薇街7号,92b1a738c7a213a329b97c82,1,0,87.386944,43.716011,(0991)7550888,enterprise,http://api.map.baidu.com/place/detail?uid=92b1a738c7a213a329b97c82&output=html&source=placeapi_v2,,,3.0,,,,,,,,2,,,,,,,87.386952297476,43.715862176689,0
b9aa8dfeec4671dd15b54b03,鑫天鸿源有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区兵团十二师西山农场西山农场兵团工业园区蔷薇二街,b9aa8dfeec4671dd15b54b03,1,0,87.386367,43.711719,,enterprise,http://api.map.baidu.com/place/detail?uid=b9aa8dfeec4671dd15b54b03&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7d7825f8f0ed4bc0afee7a95,乌鲁木齐巴乐巴食品有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区榆泉北路,7d7825f8f0ed4bc0afee7a95,1,0,87.383784,43.709917,,enterprise,http://api.map.baidu.com/place/detail?uid=7d7825f8f0ed4bc0afee7a95&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
eeda7c92a75680328c1a89e3,新疆世纪华程供应链管理有限公司,公司企业,公司,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区梧桐路与蔷薇三街交叉口西150米,eeda7c92a75680328c1a89e3,1,0,87.37905,43.709516,(0991)7800627,enterprise,http://api.map.baidu.com/place/detail?uid=eeda7c92a75680328c1a89e3&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.378802853096,43.709305335496,0
