uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
20f1b7355ce04190e9f85315,沙依巴克区嘉欣幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区长胜安居富民小区S3-01东北方向100米,,1,0,87.514261,43.737619,,education,http://api.map.baidu.com/place/detail?uid=20f1b7355ce04190e9f85315&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.514073677091,43.737785044441,0
ddcf4c0475717e2781a12e00,香港博瑞诺贝儿双语幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区仓房沟中路,,1,0,87.566516,43.755654,13009690778,education,http://api.map.baidu.com/place/detail?uid=ddcf4c0475717e2781a12e00&output=html&source=placeapi_v2,,,5.0,,,,,,,,4,,,,,,,,,0
b7021bf83f76e5fbf4e73b4d,昊艺幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟中路885号小区,b7021bf83f76e5fbf4e73b4d,1,1,87.563772,43.752312,,education,http://api.map.baidu.com/place/detail?uid=b7021bf83f76e5fbf4e73b4d&output=html&source=placeapi_v2,,,0.0,,,,,,,,1,,,,,,,87.563883122767,43.752155220726,1
a9ac20ae4b9f65562fb96d4a,仓房沟片区外来务工人员托儿所,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区菜园街,a9ac20ae4b9f65562fb96d4a,1,0,87.557752,43.740729,,education,http://api.map.baidu.com/place/detail?uid=a9ac20ae4b9f65562fb96d4a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
907d1c310f67f47182a00c40,启航幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟东路473号,907d1c310f67f47182a00c40,1,0,87.583389,43.754067,,education,http://api.map.baidu.com/place/detail?uid=907d1c310f67f47182a00c40&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
73cb852b8e7f36293a04b1e1,红蜻蜓德馨幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,仓房沟片区公务员小区,73cb852b8e7f36293a04b1e1,1,0,87.571553,43.752415,,education,http://api.map.baidu.com/place/detail?uid=73cb852b8e7f36293a04b1e1&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.571745605703,43.752280540511,0
6df4d1f8309082d9ce04ef74,秀城幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟东路505号,6df4d1f8309082d9ce04ef74,1,0,87.584782,43.759245,(0991)5633909,education,http://api.map.baidu.com/place/detail?uid=6df4d1f8309082d9ce04ef74&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
e083d88363f51b475fbe866c,宝文幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟片区街道水泥厂街223号,,1,0,87.593662,43.759741,(0991)4164196,education,http://api.map.baidu.com/place/detail?uid=e083d88363f51b475fbe866c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
b7021bf83f76e5fbf4e73b4d,昊艺幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟中路885号小区,b7021bf83f76e5fbf4e73b4d,1,0,87.563772,43.752312,,education,http://api.map.baidu.com/place/detail?uid=b7021bf83f76e5fbf4e73b4d&output=html&source=placeapi_v2,,,0.0,,,,,,,,1,,,,,,,87.563883122767,43.752155220726,0
ddcf4c0475717e2781a12e00,香港博瑞诺贝儿双语幼儿园,教育培训,幼儿园,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区仓房沟中路,,1,0,87.566516,43.755654,13009690778,education,http://api.map.baidu.com/place/detail?uid=ddcf4c0475717e2781a12e00&output=html&source=placeapi_v2,,,5.0,,,,,,,,4,,,,,,,,,0
