uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
fbf4806ba86b99a300ec01d3,爱洁仕干洗店,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区军垦南路阳光丽苑,,1,0,87.396437,43.701299,,life,http://api.map.baidu.com/place/detail?uid=fbf4806ba86b99a300ec01d3&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
671b12b6e8ad6182b6f42feb,合院干洗店,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区蟠龙山庄对面,671b12b6e8ad6182b6f42feb,1,0,87.568792,43.751994,,life,http://api.map.baidu.com/place/detail?uid=671b12b6e8ad6182b6f42feb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
671b12b6e8ad6182b6f42feb,合院干洗店,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区蟠龙山庄对面,671b12b6e8ad6182b6f42feb,1,0,87.568792,43.751994,,life,http://api.map.baidu.com/place/detail?uid=671b12b6e8ad6182b6f42feb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
0a6cfaca4697e1e91c580050,鞋艺美皮革护理维修中心,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区仓房沟中路625号,,1,0,87.575385,43.758308,15099613286,life,http://api.map.baidu.com/place/detail?uid=0a6cfaca4697e1e91c580050&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,87.575585769861,43.758163377685,0
8774a24df884e227a8059db8,洁丽雅洗衣店(赛马场路店),生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,天山区,乌鲁木齐市天山区赛马场路青岛家园小区-A区,,1,0,87.613255,43.746806,,life,http://api.map.baidu.com/place/detail?uid=8774a24df884e227a8059db8&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,87.613373822251,43.746733312877,0
a5c6855b7d07a780f8f0cbb3,洁希亚·国际洗衣,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区西泉街兵团18号楼103室,,1,0,87.481778,43.779158,15299115736,life,http://api.map.baidu.com/place/detail?uid=a5c6855b7d07a780f8f0cbb3&output=html&source=placeapi_v2,,10:30-22:00,,,,,,,,5,,,,,,,,87.481886787636,43.779061835547,0
d92e2979c154c85284154190,伊寇洗衣生活馆,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,头屯河区,新疆维吾尔自治区乌鲁木齐市头屯河区西泉街777号,,1,0,87.462874,43.797223,13565931473,life,http://api.map.baidu.com/place/detail?uid=d92e2979c154c85284154190&output=html&source=placeapi_v2,,10:00-22:20,5,,,,,,,17,9,,,,,,,87.463012993886,43.79712964085,0
a5c6855b7d07a780f8f0cbb3,洁希亚·国际洗衣,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区西泉街兵团18号楼103室,,1,0,87.481778,43.779158,15299115736,life,http://api.map.baidu.com/place/detail?uid=a5c6855b7d07a780f8f0cbb3&output=html&source=placeapi_v2,,10:30-22:00,,,,,,,,5,,,,,,,,87.481886787636,43.779061835547,0
b83b9c6700eeab655e17c38d,鼎盛御洗会所,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市沙依巴克区连霍高速九鼎农产品批发市场东侧约200米,b83b9c6700eeab655e17c38d,1,0,87.491739,43.781666,,life,http://api.map.baidu.com/place/detail?uid=b83b9c6700eeab655e17c38d&output=html&source=placeapi_v2,,,0,,,,,,,4,0,,,,,,,87.491712367067,43.781548875264,0
a1c588918ab679ee40ab9a1f,洁希亚国际洗衣,生活服务,洗衣店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新疆维吾尔自治区乌鲁木齐市沙依巴克区青峰路雅山郡5-1-8号,,1,0,87.586677,43.782495,15299473617,life,http://api.map.baidu.com/place/detail?uid=a1c588918ab679ee40ab9a1f&output=html&source=placeapi_v2,,,,,,,,,,,1,,,,,,,87.586832122761,43.782568480208,0
