uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
a2eb55cf1bf5cb47d3ff23cd,恒峰电竞,休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区石塘街8号,a2eb55cf1bf5cb47d3ff23cd,1,0,120.274344,31.501907,13916667536,life,http://api.map.baidu.com/place/detail?uid=a2eb55cf1bf5cb47d3ff23cd&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,36,9,,,,,,,120.2744098836,31.502222666239,0
0664716b3424a96662685864,华润网吧,休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区瑞景道清源路水乡苑二区2楼,0664716b3424a96662685864,1,0,120.346122,31.477785,13912373835,life,http://api.map.baidu.com/place/detail?uid=0664716b3424a96662685864&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,2,2,,,,,,,120.34631322911,31.47783142556,0
698d020b17d2f1ae2811d14d,无锡市华庄新感受网吧,休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区军民路30号2楼,698d020b17d2f1ae2811d14d,1,0,120.353211,31.486868,,life,http://api.map.baidu.com/place/detail?uid=698d020b17d2f1ae2811d14d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
5ac924d00f96a7bab75f1e31,小鱼儿网咖,休闲娱乐,网吧,江苏省,无锡市,新吴区,新安花苑一区副邻里中心160号,5ac924d00f96a7bab75f1e31,1,0,120.389776,31.483923,18900632061,life,http://api.map.baidu.com/place/detail?uid=5ac924d00f96a7bab75f1e31&output=html&source=placeapi_v2,,00:00-24:00,3,,,,,,,11,7,,,,,,,120.38983989587,31.484094792772,0
b495c437f4d4f785d13ce3b5,海露网吧,休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏省无锡市新吴区墙宅路157号,b495c437f4d4f785d13ce3b5,1,0,120.460963,31.487788,,life,http://api.map.baidu.com/place/detail?uid=b495c437f4d4f785d13ce3b5&output=html&source=placeapi_v2,,,3.2,,,,,,,20,14,,,,,,,120.4609728517,31.487844009905,0
cd8c7287d91a3ac36d20b955,网鱼网咖(无锡新吴瑞港商业街店),休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏省无锡市新吴区通祥路301~302号瑞港商业广场3楼,cd8c7287d91a3ac36d20b955,1,0,120.452818,31.483044,18014777389,life,http://api.map.baidu.com/place/detail?uid=cd8c7287d91a3ac36d20b955&output=html&source=placeapi_v2,,00:00-24:00,3.4,,,,,,,37,18,,,,,,,120.45306549338,31.483248383654,0
fb21502a6d6f604d9e9d682e,绿岛网咖,休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏省无锡市新吴区欣鸿路44-1号,fb21502a6d6f604d9e9d682e,1,0,120.500541,31.500957,,life,http://api.map.baidu.com/place/detail?uid=fb21502a6d6f604d9e9d682e&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,6,,,,,,,,120.5002603278,31.50095584338,0
06875d1793b2215d83a00c5d,鸿运网吧,休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏省无锡市新吴区欣鸿路314号,06875d1793b2215d83a00c5d,1,0,120.493555,31.500584,18861508980,life,http://api.map.baidu.com/place/detail?uid=06875d1793b2215d83a00c5d&output=html&source=placeapi_v2,,00:00-24:00,4.2,,,,,,,19,8,,,,,,,120.49357900001,31.500462911057,0
6bfe681a826fac8258f6be06,可米网咖(云上店),休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏省无锡市新吴区鸿运街34号,6bfe681a826fac8258f6be06,1,0,120.490338,31.500573,13921106300,life,http://api.map.baidu.com/place/detail?uid=6bfe681a826fac8258f6be06&output=html&source=placeapi_v2,,00:00-24:00,1,,,,,,,14,3,,,,,,,120.49033367463,31.50036706212,0
f256b14ec7b8261f72210b2c,泰坦网咖,休闲娱乐,网吧,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区南湖大道100-5二楼,,1,0,120.314339,31.534683,18912385878,life,http://api.map.baidu.com/place/detail?uid=f256b14ec7b8261f72210b2c&output=html&source=placeapi_v2,,00:00-24:00,5,,,,,,,9,1,,,,,,,,,0
3d523c365aafb8331894c68d,通天网吧,休闲娱乐,网吧,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区金城路803-6号,3d523c365aafb8331894c68d,1,0,120.311974,31.53672,,life,http://api.map.baidu.com/place/detail?uid=3d523c365aafb8331894c68d&output=html&source=placeapi_v2,,00:00-24:00,5,,,,,,,10,1,,,,,,,,,0
3a72ab1a70b4c1101676437b,紫色梦幻网咖,休闲娱乐,网吧,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区金匮苑3号楼8-4室,3a72ab1a70b4c1101676437b,1,0,120.336267,31.541061,18961772221,life,http://api.map.baidu.com/place/detail?uid=3a72ab1a70b4c1101676437b&output=html&source=placeapi_v2,,00:00-24:00,1,,,,,,,12,4,,,,,,,,,0
9e988bdf779580e9223bf2c8,贰壹捌网咖,休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏无锡市滨湖区高运路39号落霞苑3社区2楼,9e988bdf779580e9223bf2c8,1,0,120.33704,31.514115,,life,http://api.map.baidu.com/place/detail?uid=9e988bdf779580e9223bf2c8&output=html&source=placeapi_v2,,00:00-24:00,2.2,,,,,,,17,5,,,,,,,,,0
00d05f97a90096da3ce23106,逸盛网咖(旺庄老街店),休闲娱乐,网吧,江苏省,无锡市,新吴区,无锡市新吴区新光嘉园8-10号2层,00d05f97a90096da3ce23106,1,0,120.347638,31.54163,13395136666,life,http://api.map.baidu.com/place/detail?uid=00d05f97a90096da3ce23106&output=html&source=placeapi_v2,,00:00-24:00,3.0,,,,,,,7,,,,,,,,,,0
1a9d93f0efc57e78f723106d,网络会所,休闲娱乐,网吧,江苏省,无锡市,滨湖区,无锡市滨湖区高凯路旺安社区东侧约40米,,1,0,120.346442,31.524107,,life,http://api.map.baidu.com/place/detail?uid=1a9d93f0efc57e78f723106d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,120.3468835031,31.523762180226,0
2ad0d97fb9b47cde60180924,茗苑网吧,休闲娱乐,网吧,江苏省,无锡市,新吴区,高浪嘉园,2ad0d97fb9b47cde60180924,1,0,120.371233,31.522345,,life,http://api.map.baidu.com/place/detail?uid=2ad0d97fb9b47cde60180924&output=html&source=placeapi_v2,,00:00-24:00,2.5,,,,,,,5,5,,,,,,,120.37113271237,31.522471457965,0
5b670e7126e320f088fc0698,辰洲网咖,休闲娱乐,网吧,江苏省,无锡市,新吴区,江苏无锡市新吴区鸿山北路666-14号,5b670e7126e320f088fc0698,1,0,120.505207,31.535086,15358993138,life,http://api.map.baidu.com/place/detail?uid=5b670e7126e320f088fc0698&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,8,3,,,,,,,120.50537194576,31.535047597968,0
c9b88ef6e29ecbbfbadf8f9f,春雨网咖,休闲娱乐,网吧,江苏省,无锡市,锡山区,江苏省无锡市锡山区新杨路108号,c9b88ef6e29ecbbfbadf8f9f,1,0,120.555463,31.531779,15861576157,life,http://api.map.baidu.com/place/detail?uid=c9b88ef6e29ecbbfbadf8f9f&output=html&source=placeapi_v2,,00:00-24:00,3,,,,,,,2,2,,,,,,,,,0
f59d9978a4fd0cc0ca2915c5,无锡新天基网吧,休闲娱乐,网吧,江苏省,无锡市,滨湖区,无锡市滨湖区振胡路花汇苑-三区东侧约30米,f59d9978a4fd0cc0ca2915c5,1,0,120.130787,31.558423,,life,http://api.map.baidu.com/place/detail?uid=f59d9978a4fd0cc0ca2915c5&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,9,1,,,,,,,120.13100060204,31.558376303241,0
4933b491458e43229703196d,世纪天龙网吧(梁溪路店),休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏无锡市滨湖区梁溪路986号3楼,4933b491458e43229703196d,1,0,120.240899,31.5634,,life,http://api.map.baidu.com/place/detail?uid=4933b491458e43229703196d&output=html&source=placeapi_v2,15,00:00-24:00,2.8,,,,,,,26,7,,,,,,,120.24078995099,31.563294843306,0
e3b5de5afffc4b63c61e512e,无锡天舟新纪网络科技,休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区梁清路龙山大厦21楼,e3b5de5afffc4b63c61e512e,1,0,120.257281,31.5613,15358077988,life,http://api.map.baidu.com/place/detail?uid=e3b5de5afffc4b63c61e512e&output=html&source=placeapi_v2,,,,,,,,,,3,1,,,,,,,,,0
ed43e0dcf3742dc871455b39,大都会网吧(大丁佳苑店),休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区河埒大丁路大丁佳苑25号楼,ed43e0dcf3742dc871455b39,1,0,120.264535,31.565433,18018399259,life,http://api.map.baidu.com/place/detail?uid=ed43e0dcf3742dc871455b39&output=html&source=placeapi_v2,,00:00-24:00,1,,,,,,,6,4,,,,,,,,,0
4933b491458e43229703196d,世纪天龙网吧(梁溪路店),休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏无锡市滨湖区梁溪路986号3楼,4933b491458e43229703196d,1,0,120.240899,31.5634,,life,http://api.map.baidu.com/place/detail?uid=4933b491458e43229703196d&output=html&source=placeapi_v2,15,00:00-24:00,2.8,,,,,,,26,7,,,,,,,120.24078995099,31.563294843306,0
8c4a1db95981cd3eca1b95f6,时光荟网咖(滨湖奥林店),休闲娱乐,网吧,江苏省,无锡市,滨湖区,江苏省无锡市滨湖区蠡溪路50022号,,1,0,120.268351,31.552873,18015330412,life,http://api.map.baidu.com/place/detail?uid=8c4a1db95981cd3eca1b95f6&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,2,,,,,,,,,,0
645d3be034b9e029c4f50d45,阳光城市网咖(阳光购物广场店),休闲娱乐,网吧,江苏省,无锡市,梁溪区,建筑东路45号47号,645d3be034b9e029c4f50d45,1,0,120.298532,31.555783,18921119700,life,http://api.map.baidu.com/place/detail?uid=645d3be034b9e029c4f50d45&output=html&source=placeapi_v2,,00:00-24:00,0,,,,,,,19,1,,,,,,,120.2985138755,31.555905248959,0
89ecbe104886b297715e8043,闽友网咖动漫城(朝阳曹张农贸市场店),休闲娱乐,网吧,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区永乐路曹张菜场2楼,89ecbe104886b297715e8043,1,0,120.306398,31.561054,15961877092,life,http://api.map.baidu.com/place/detail?uid=89ecbe104886b297715e8043&output=html&source=placeapi_v2,,00:00-24:00,1.5,,,,,,,22,4,,,,,,,120.30637826267,31.560827247246,0
533813a8b4e4740896f08c8a,金典网咖(迎龙路店),休闲娱乐,网吧,江苏省,无锡市,梁溪区,无锡市梁溪区小木桥南72-106号,533813a8b4e4740896f08c8a,1,0,120.295761,31.575024,18915320837,life,http://api.map.baidu.com/place/detail?uid=533813a8b4e4740896f08c8a&output=html&source=placeapi_v2,,00:00-24:00,2,,,,,,,20,3,,,,,,,120.29566265831,31.574999531552,0
3ef4ac443985ec4640afe695,轩艺阁网吧,休闲娱乐,网吧,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区清扬路沁扬市场48号,,1,0,120.319296,31.552876,,life,http://api.map.baidu.com/place/detail?uid=3ef4ac443985ec4640afe695&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,3,,,,,,,,,,0
