uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
d7fd2ad37094f74d0accdda1,厦门大学附属第一医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区镇海路55号,d7fd2ad37094f74d0accdda1,1,9,118.094546,24.457543,(0592)2137327,hospital,http://api.map.baidu.com/place/detail?uid=d7fd2ad37094f74d0accdda1&output=html&source=placeapi_v2,0.0,"08:00-12:00,14:30-17:30",0,,,,,,,10,0,,,,,,,118.09337299662,24.458362010141,9
98d42b7bb3e46880fb2d610f,厦门大学附属成功医院,医疗,综合医院,福建省,厦门市,思明区,厦门市文园路94-96号,98d42b7bb3e46880fb2d610f,1,6,118.101439,24.464444,"(0592)6335500,(0592)6335700,(0592)6335600",hospital,http://api.map.baidu.com/place/detail?uid=98d42b7bb3e46880fb2d610f&output=html&source=placeapi_v2,,,0,,,,,,,5,0,,,,,,,118.10271997547,24.464999504988,6
c61bd30544430671c27da25c,厦门天济医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区大同路409号,c61bd30544430671c27da25c,1,3,118.089302,24.464491,(0592)2100120,hospital,http://api.map.baidu.com/place/detail?uid=c61bd30544430671c27da25c&output=html&source=placeapi_v2,0.0,08:00-17:30,0,,,,,,,5,0,,,,,,,118.08926603366,24.464373533346,3
1ed683f449f0e236bbbd6332,陆军第七十三集团军医院(原一七四医院),医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区文园路94至96号,1ed683f449f0e236bbbd6332,1,2,118.101904,24.465075,(0592)6335701,hospital,http://api.map.baidu.com/place/detail?uid=1ed683f449f0e236bbbd6332&output=html&source=placeapi_v2,0.0,00:00-24:00,0,,,,,,,6,0,,,,,,,118.10271997547,24.464999504988,2
fa01e9373fbb6553764ff1af,厦门新开元医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区厦禾路338号(厦门眼科医院旁),fa01e9373fbb6553764ff1af,1,3,118.087439,24.466281,,hospital,http://api.map.baidu.com/place/detail?uid=fa01e9373fbb6553764ff1af&output=html&source=placeapi_v2,,"08:00-12:00,14:30-17:30",0,,,,,,,4,0,,,,,,,118.08727162475,24.466535997728,3
37874845f38c1eb882a12e91,厦门大学附属第一医院(思明分院),医疗,综合医院,福建省,厦门市,思明区,厦门市思明区古城西路6号,37874845f38c1eb882a12e91,1,3,118.090631,24.461734,(0592)2662140,hospital,http://api.map.baidu.com/place/detail?uid=37874845f38c1eb882a12e91&output=html&source=placeapi_v2,,00:00-24:00,4.0,,,,,,,6,0,,,,,,,118.09055956575,24.461791216058,3
34059f97fbfb9d5470455ba6,厦门大学附属中山医院(厦禾分部),医疗,综合医院,福建省,厦门市,思明区,厦门市思明区后滨路1号,34059f97fbfb9d5470455ba6,1,4,118.105049,24.471262,(0592)2388319,hospital,http://api.map.baidu.com/place/detail?uid=34059f97fbfb9d5470455ba6&output=html&source=placeapi_v2,0.0,08:00-12:00,0,,,,,,,8,0,,,,,,,118.10542654978,24.47128041994,4
653dc3654e0295e12bb97c4c,厦门大学附属中山医院,医疗,综合医院,福建省,厦门市,思明区,厦门市思明区湖滨南路201-209号,653dc3654e0295e12bb97c4c,1,9,118.104103,24.477761,(0592)2292716,hospital,http://api.map.baidu.com/place/detail?uid=653dc3654e0295e12bb97c4c&output=html&source=placeapi_v2,,"08:00-12:00,14:30-17:30",0,,,,,,,5,0,,,,,,,118.10580380666,24.479419452031,9
f7605092fa34fa0195ca077c,厦门思明闽都医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区湖滨南路8-2-1号,,1,0,118.087435,24.471552,(0592)5398888,hospital,http://api.map.baidu.com/place/detail?uid=f7605092fa34fa0195ca077c&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,2,,,,,,,,118.0873266289,24.47152764328,0
8300e5377befe63c2bd7abab,泰合中医院,医疗,综合医院,福建省,厦门市,思明区,厦门市思明区,8300e5377befe63c2bd7abab,1,0,118.099703,24.474864,(0592)2681808,hospital,http://api.map.baidu.com/place/detail?uid=8300e5377befe63c2bd7abab&output=html&source=placeapi_v2,,"08:00-12:00,14:00-21:00",,,,,,,,3,,,,,,,,118.09963240648,24.4748407107,0
d8c684078864165f740269bb,厦门大学附属第一医院鹭江分部,医疗,综合医院,福建省,厦门市,思明区,厦门市思明区厦禾路100号,d8c684078864165f740269bb,1,0,118.080739,24.466539,,hospital,http://api.map.baidu.com/place/detail?uid=d8c684078864165f740269bb&output=html&source=placeapi_v2,,,0,,,,,,,8,0,,,,,,,118.08068609316,24.466643955412,0
1547347e9816904badb22ac4,厦门思明南普陀中医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市思明区思明南路515号南普陀寺慈善楼西侧F1、F2,,1,0,118.102096,24.447428,,hospital,http://api.map.baidu.com/place/detail?uid=1547347e9816904badb22ac4&output=html&source=placeapi_v2,,08:00-17:00,,,,,,,,,,,,,,,,,,0
0523a1410ec6b004b23c814a,前埔医院,医疗,综合医院,福建省,厦门市,思明区,福建省厦门市前埔南区文兴东路50号,0523a1410ec6b004b23c814a,1,4,118.179523,24.473734,(0592)5911111,hospital,http://api.map.baidu.com/place/detail?uid=0523a1410ec6b004b23c814a&output=html&source=placeapi_v2,,"08:00-12:00,14:30-17:30",2.4,,,,,,,6,7,,,,,,,118.17947307435,24.473997414058,4
