uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
ac273164dc10ebc76f4760c5,鄠邑站,交通设施,火车站,陕西省,西安市,鄠邑区,西安市鄠邑区345乡道附近,ac273164dc10ebc76f4760c5,1,6,108.686132,34.086126,(029)12306,life,http://api.map.baidu.com/place/detail?uid=ac273164dc10ebc76f4760c5&output=html&source=placeapi_v2,,,5,,,,,,,67,0,,,,,,,108.68478796352,34.084680249953,6
e548dc2c39b09a519d9d680b,西安南站,交通设施,火车站,陕西省,西安市,长安区,西安市长安区引镇汇通路,e548dc2c39b09a519d9d680b,1,9,109.108258,34.098948,(029)12306,life,http://api.map.baidu.com/place/detail?uid=e548dc2c39b09a519d9d680b&output=html&source=placeapi_v2,,,4,,,,,,,39,3,,,,,,,109.10646588055,34.099108778458,9
99bad30df6ee1b90d4851ffc,马王村站,交通设施,火车站,陕西省,西安市,长安区,陕西省西安市长安区Y350(西宝老线),,1,0,108.733109,34.21271,,life,http://api.map.baidu.com/place/detail?uid=99bad30df6ee1b90d4851ffc&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
94678a2dbb2575154d55472f,纺织城站,交通设施,火车站,陕西省,西安市,灞桥区,西安市灞桥区南殿北路东50米,94678a2dbb2575154d55472f,1,0,109.069423,34.23465,,life,http://api.map.baidu.com/place/detail?uid=94678a2dbb2575154d55472f&output=html&source=placeapi_v2,,,0,,,,,,,8,0,,,,,,,109.0691387215,34.234547658182,0
c48890704c254ebc0d3ddad9,地铁站店,,,陕西省,西安市,碑林区,陕西西安市碑林区雁塔北路59号,,1,0,108.968447,34.249853,,life,http://api.map.baidu.com/place/detail?uid=c48890704c254ebc0d3ddad9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2238fb81e5d86cc925e0a0b6,小桔充电站(西安南门中贸街站),,,陕西省,西安市,碑林区,陕西省西安市碑林区雁塔寺街5号,,0,0,108.947903,34.249926,4000610999,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
94678a2dbb2575154d55472f,纺织城站,交通设施,火车站,陕西省,西安市,灞桥区,西安市灞桥区南殿北路东50米,94678a2dbb2575154d55472f,1,0,109.069423,34.23465,,life,http://api.map.baidu.com/place/detail?uid=94678a2dbb2575154d55472f&output=html&source=placeapi_v2,,,0,,,,,,,8,0,,,,,,,109.0691387215,34.234547658182,0
32c10ec6cffca6d88c1a89b6,阿房宫站,交通设施,火车站,陕西省,西安市,长安区,西安市长安区王寺镇北陶村站前二路,32c10ec6cffca6d88c1a89b6,1,6,108.762389,34.276028,(029)12306,life,http://api.map.baidu.com/place/detail?uid=32c10ec6cffca6d88c1a89b6&output=html&source=placeapi_v2,,,0,,,,,,,22,0,,,,,,,108.7652067512,34.275623990701,6
d381f518236963c9fb2d619c,三民村车站,交通设施,火车站,陕西省,西安市,莲湖区,西安市莲湖区枣园北路22号,d381f518236963c9fb2d619c,1,0,108.870372,34.293101,(029)12306,life,http://api.map.baidu.com/place/detail?uid=d381f518236963c9fb2d619c&output=html&source=placeapi_v2,,,0,,,,,,,13,0,,,,,,,108.87042927844,34.293042343674,0
66220623dc20ca404c3a592d,西安西站,交通设施,火车站,陕西省,西安市,莲湖区,陕西省西安市莲湖区建中巷32号,66220623dc20ca404c3a592d,1,1,108.925298,34.281358,(029)12306,life,http://api.map.baidu.com/place/detail?uid=66220623dc20ca404c3a592d&output=html&source=placeapi_v2,,,0,,,,,,,33,0,,,,,,,108.92722628192,34.281390641018,1
0f24b9040c6f39c41f38946c,西安火车站,交通设施,火车站,陕西省,西安市,新城区,西安市新城区环城北路44号,,1,9,108.969046,34.28522,(029)12306,life,http://api.map.baidu.com/place/detail?uid=0f24b9040c6f39c41f38946c&output=html&source=placeapi_v2,,,4.4,,,,,,,169,37,,,,,,,108.97225710915,34.287028288559,9
d381f518236963c9fb2d619c,三民村车站,交通设施,火车站,陕西省,西安市,莲湖区,西安市莲湖区枣园北路22号,d381f518236963c9fb2d619c,1,0,108.870372,34.293101,(029)12306,life,http://api.map.baidu.com/place/detail?uid=d381f518236963c9fb2d619c&output=html&source=placeapi_v2,,,0,,,,,,,13,0,,,,,,,108.87042927844,34.293042343674,0
55d1717511a322189a0050d1,洪庆站,交通设施,火车站,陕西省,西安市,灞桥区,向阳小区附近,,1,0,109.128947,34.310781,(029)12306,life,http://api.map.baidu.com/place/detail?uid=55d1717511a322189a0050d1&output=html&source=placeapi_v2,,,0,,,,,,,,0,,,,,,,,,0
0691f556ec0b531b3d9a5e85,田王站,交通设施,火车站,陕西省,西安市,灞桥区,陕西省西安市灞桥区洪庆街道田王村,0691f556ec0b531b3d9a5e85,1,0,109.114379,34.30314,(029)12306,life,http://api.map.baidu.com/place/detail?uid=0691f556ec0b531b3d9a5e85&output=html&source=placeapi_v2,,,0,,,,,,,4,0,,,,,,,,,0
be1ea5efdf56a4bc14948e45,农场西站,交通设施,火车站,陕西省,西安市,未央区,西安市未央区草滩生态产业园尚苑路草滩十一路,,1,0,108.851256,34.364642,(029)12306,life,http://api.map.baidu.com/place/detail?uid=be1ea5efdf56a4bc14948e45&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
3e6bbae3dea7f655c3f1cf4c,窑村站,交通设施,火车站,陕西省,西安市,临潼区,陕西省西安市临潼区108国道北,,1,0,109.133693,34.349476,(029)12306,life,http://api.map.baidu.com/place/detail?uid=3e6bbae3dea7f655c3f1cf4c&output=html&source=placeapi_v2,,,0,,,,,,,1,0,,,,,,,109.13330511167,34.34943545623,0
006ce7451779ff97afee7acf,西安北站,交通设施,火车站,陕西省,西安市,未央区,陕西省西安市未央区元朔路,006ce7451779ff97afee7acf,1,9,108.945421,34.381032,(029)12306,life,http://api.map.baidu.com/place/detail?uid=006ce7451779ff97afee7acf&output=html&source=placeapi_v2,,,4.2,,,,,,,99,112,,,,,,,108.94627879834,34.382433436177,9
ded9e4b9b9059a2a6fa3cc3c,临潼站,交通设施,火车站,陕西省,西安市,临潼区,西安市临潼区骊山镇人民北路,ded9e4b9b9059a2a6fa3cc3c,1,0,109.21868,34.394614,(029)12306,life,http://api.map.baidu.com/place/detail?uid=ded9e4b9b9059a2a6fa3cc3c&output=html&source=placeapi_v2,,,0,,,,,,,14,3,,,,,,,109.21942926042,34.394104054201,0
6d2ff2981429e7e179dbd240,西安国际港站,交通设施,火车站,陕西省,西安市,灞桥区,西安市灞桥区纺渭路与鹤翔路交叉路口往西约50米,,1,0,109.085078,34.41839,,life,http://api.map.baidu.com/place/detail?uid=6d2ff2981429e7e179dbd240&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1b144f4a3a60aaa9b64f54f2,西安国际港站,交通设施,火车站,陕西省,西安市,灞桥区,陕西省西安市灞桥区,,1,0,109.064089,34.420622,(029)12306,life,http://api.map.baidu.com/place/detail?uid=1b144f4a3a60aaa9b64f54f2&output=html&source=placeapi_v2,,,3,,,,,,,7,0,,,,,,,109.06400361644,34.420484262921,0
dbd658259cf376cbeb12e431,临潼北站,交通设施,火车站,陕西省,西安市,临潼区,陕西省西安市临潼区朱行路与行北路交叉口,,1,0,109.213181,34.404803,(029)12306,life,http://api.map.baidu.com/place/detail?uid=dbd658259cf376cbeb12e431&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
28836255662a9a86b5f42ff7,临潼东站,交通设施,火车站,陕西省,西安市,临潼区,陕西省西安市临潼区G30(连霍高速),28836255662a9a86b5f42ff7,1,1,109.262733,34.437744,(029)12306,life,http://api.map.baidu.com/place/detail?uid=28836255662a9a86b5f42ff7&output=html&source=placeapi_v2,,,0,,,,,,,2,0,,,,,,,109.26342150055,34.438073841958,1
2848ffd627585d0c48cc4a46,新丰镇站,交通设施,火车站,陕西省,西安市,临潼区,西安市临潼区新丰镇108国道,2848ffd627585d0c48cc4a46,1,0,109.291211,34.438563,(029)12306,life,http://api.map.baidu.com/place/detail?uid=2848ffd627585d0c48cc4a46&output=html&source=placeapi_v2,,,0,,,,,,,7,0,,,,,,,109.29236141637,34.437476609246,0
