uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
25fc76bf53409a33f7e73b7d,时代摄影,生活服务,照相馆,山东省,烟台市,栖霞市,烟台市栖霞市南京路亿泰广场北侧约30米,25fc76bf53409a33f7e73b7d,1,0,121.152447,37.189991,13562524355,life,http://api.map.baidu.com/place/detail?uid=25fc76bf53409a33f7e73b7d&output=html&source=placeapi_v2,,07:00-19:00,,,,,,,,11,,,,,,,,,,0
a96f65d07bdf84c401294f56,巴黎春天婚纱摄影(海口路店),生活服务,照相馆,山东省,烟台市,栖霞市,烟台市栖霞市海口路桃村三行幼儿园西北侧约90米,,1,0,121.159823,37.191852,,life,http://api.map.baidu.com/place/detail?uid=a96f65d07bdf84c401294f56&output=html&source=placeapi_v2,,,5,,,,,,,18,1,,,,,,,121.15997551524,37.191870970892,0
bde6eb17f6e2dfc24e776ea8,东方摄影(南京路店),生活服务,照相馆,山东省,烟台市,栖霞市,烟台市栖霞市南京路桃村三行幼儿园西侧约230米,bde6eb17f6e2dfc24e776ea8,1,0,121.15823,37.190761,,life,http://api.map.baidu.com/place/detail?uid=bde6eb17f6e2dfc24e776ea8&output=html&source=placeapi_v2,,08:00-18:00,,,,,,,,6,,,,,,,,121.15825355701,37.190659249735,0
52ff2b577ca942acfd0eb0b3,米兰新娘婚纱婚庆会馆(南京路店),生活服务,照相馆,山东省,烟台市,栖霞市,烟台市栖霞市南京路福山区农村信用合作社(桃村支行)东侧约130米,52ff2b577ca942acfd0eb0b3,1,0,121.157664,37.190403,,life,http://api.map.baidu.com/place/detail?uid=52ff2b577ca942acfd0eb0b3&output=html&source=placeapi_v2,,,0.0,,,,,,,11,,,,,,,,121.15765420757,37.190484933455,0
3771e1547f67ff0feaf853f6,真美婚纱摄影,生活服务,照相馆,山东省,烟台市,牟平区,烟台市牟平区兴文路烟台市牟平区王格庄镇初级中学西南侧约160米,,1,0,121.41685,37.181074,15965175047,life,http://api.map.baidu.com/place/detail?uid=3771e1547f67ff0feaf853f6&output=html&source=placeapi_v2,,,0.0,,,,,,,1,,,,,,,,,,0
a445be839c38ea5cc909f025,花常开摄影,生活服务,照相馆,山东省,烟台市,牟平区,烟台市牟平区金政街烟台市牟平区水道镇人民政府东南侧约90米,a445be839c38ea5cc909f025,1,0,121.591637,37.177155,13791295298,life,http://api.map.baidu.com/place/detail?uid=a445be839c38ea5cc909f025&output=html&source=placeapi_v2,,,0.0,,,,,,,5,,,,,,,,121.59165383498,37.177263707713,0
672430a1db5dced04f6d469b,爱情海婚纱摄影,生活服务,照相馆,山东省,烟台市,牟平区,烟台市牟平区观府街烟台市牟平区观水镇初级中学西北侧约40米,672430a1db5dced04f6d469b,1,0,121.275656,37.220708,13255540208,life,http://api.map.baidu.com/place/detail?uid=672430a1db5dced04f6d469b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bcc344589e604c6f250bd09f,照相馆,生活服务,照相馆,山东省,烟台市,牟平区,烟台市牟平区民富路与商贸街交叉路口往南约70米,,1,0,121.531932,37.297072,,life,http://api.map.baidu.com/place/detail?uid=bcc344589e604c6f250bd09f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bcc344589e604c6f250bd09f,照相馆,生活服务,照相馆,山东省,烟台市,牟平区,烟台市牟平区民富路与商贸街交叉路口往南约70米,,1,0,121.531932,37.297072,,life,http://api.map.baidu.com/place/detail?uid=bcc344589e604c6f250bd09f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
72b9a8e02e06638c4d2fdfc3,金夫人婚纱摄影(繁荣街店),生活服务,照相馆,山东省,烟台市,栖霞市,山东省烟台市栖霞市繁荣街与龙腾路交叉路口西北侧(亭口镇中心完小东侧约150米),,1,0,121.016267,37.395613,13583599429,life,http://api.map.baidu.com/place/detail?uid=72b9a8e02e06638c4d2fdfc3&output=html&source=placeapi_v2,,,,,,,,,,2,,,,,,,,,,0
