uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
7744c94e58e6d10a28201a47,力诚网吧,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,宁夏回族自治区银川市永宁县李俊镇民生街4号,2de0cdc1af386274afee7aeb,1,0,106.130699,38.191194,,life,http://api.map.baidu.com/place/detail?uid=7744c94e58e6d10a28201a47&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,1,,,,,,,,,,0
ea7b839d2eeb0affd12dd674,情缘网吧(横山路店),休闲娱乐,网吧,宁夏回族自治区,银川市,灵武市,宁夏回族自治区银川市灵武市宁东能源化工基地临河工业园区A区商业街,ea7b839d2eeb0affd12dd674,1,0,106.547839,38.222933,,life,http://api.map.baidu.com/place/detail?uid=ea7b839d2eeb0affd12dd674&output=html&source=placeapi_v2,,00:00-24:00,3.0,,,,,,,3,1,,,,,,,106.54780625589,38.222944253779,0
b4ce371adacac88fc26c1431,零距离网吧,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,银川市永宁县G110与团结路交叉路口往北约180米,,1,0,105.976928,38.247735,,life,http://api.map.baidu.com/place/detail?uid=b4ce371adacac88fc26c1431&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,3,,,,,,,,,,0
35e3fac08bc8a9f10b69d9ca,银川华夏龙永宁网络休闲会所,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,宁夏回族自治区银川市永宁县胜利路39号,35e3fac08bc8a9f10b69d9ca,1,0,106.261087,38.284903,(0951)8017018,life,http://api.map.baidu.com/place/detail?uid=35e3fac08bc8a9f10b69d9ca&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,6,,,,,,,,106.26108281613,38.284829654158,0
c87db649a71b53b39d9d687e,云端网吧,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,银川市永宁县南环西路杨和.康城,c87db649a71b53b39d9d687e,1,0,106.251416,38.27848,,life,http://api.map.baidu.com/place/detail?uid=c87db649a71b53b39d9d687e&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
ca24c6dbfd18283dfda778ef,帝酷网咖,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,宁夏回族自治区银川市永宁县宁昌北街149号,ca24c6dbfd18283dfda778ef,1,0,106.26829,38.300124,13995176635,life,http://api.map.baidu.com/place/detail?uid=ca24c6dbfd18283dfda778ef&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,9,,,,,,,,106.26842640169,38.300107020151,0
2b25ca5c3ea4f1d8fbdc8591,莱尚网吧(永宁店),休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,银川市永宁县宁和南街祥和名邸一期-北区西侧,2b25ca5c3ea4f1d8fbdc8591,1,0,106.262722,38.277662,13895303110,life,http://api.map.baidu.com/place/detail?uid=2b25ca5c3ea4f1d8fbdc8591&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,7,,,,,,,,106.26254450562,38.277605691978,0
79c744afe188187b9b68b413,以网之名网咖,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,银川市永宁县宁朔南街青春苑(南环路)西南侧约90米,79c744afe188187b9b68b413,1,0,106.253829,38.277239,19995332960,life,http://api.map.baidu.com/place/detail?uid=79c744afe188187b9b68b413&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,4,,,,,,,,,,0
d95088aa5a62458cbe484235,九十九度网咖,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,宁夏回族自治区银川市永宁县杨和镇团结小区东面1号,d95088aa5a62458cbe484235,1,0,106.257858,38.280343,13409514111,life,http://api.map.baidu.com/place/detail?uid=d95088aa5a62458cbe484235&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,11,,,,,,,,106.25787877327,38.280470444942,0
e672e1d10b285794c9fa5fb9,永宁县佳宁网吧,休闲娱乐,网吧,宁夏回族自治区,银川市,永宁县,银川市永宁县立掌公路通桥市场北侧约120米,e672e1d10b285794c9fa5fb9,1,0,106.339614,38.377468,,life,http://api.map.baidu.com/place/detail?uid=e672e1d10b285794c9fa5fb9&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,4,,,,,,,,,,0
