uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
0f4aa32ce11daa7f28201aeb,初心美甲,丽人,美甲,河南省,郑州市,登封市,郑州市登封市宣化镇体育彩票正对面,,1,0,113.271127,34.373305,17638119123,beauty,http://api.map.baidu.com/place/detail?uid=0f4aa32ce11daa7f28201aeb&output=html&source=placeapi_v2,,07:30-21:30,,,,,,,,,,,,,,,,113.27098872342,34.373446139862,0
edf4a28b80c786c3276e984e,昕奕美甲,丽人,美甲,河南省,郑州市,登封市,郑州市登封市观星街双庙中心村西南侧,,1,0,113.145242,34.407369,13503819282,beauty,http://api.map.baidu.com/place/detail?uid=edf4a28b80c786c3276e984e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
57de5ce120f82ff5085cb3c8,潮者工作室美甲美睫,丽人,美甲,河南省,郑州市,登封市,河南省郑州市登封市告成镇观星街双庙中心村底商靠近东门,,1,0,113.147915,34.407302,15038306123,beauty,http://api.map.baidu.com/place/detail?uid=57de5ce120f82ff5085cb3c8&output=html&source=placeapi_v2,,08:30-20:00,,,,,,,,,,,,,,,,,,0
63d4e10a10274e2b1e1d1132,点点美甲美睫,丽人,美甲,河南省,郑州市,新郑市,郑州市新郑市G343新郑市辛店镇大风车幼儿园东侧约180米,,1,0,113.60589,34.392867,15138968727,beauty,http://api.map.baidu.com/place/detail?uid=63d4e10a10274e2b1e1d1132&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
17bc0ef4799bf788744ff130,卓美美甲美睫(辛店分店),丽人,美甲,河南省,郑州市,新郑市,郑州市新郑市G343辛店镇第一初中西侧约220米,17bc0ef4799bf788744ff130,1,0,113.609736,34.394242,,beauty,http://api.map.baidu.com/place/detail?uid=17bc0ef4799bf788744ff130&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
135ba2147d1475e428201a27,小白家美衣美甲,丽人,美甲,河南省,郑州市,新郑市,郑州市新郑市G343新郑市辛店镇大风车幼儿园东侧约120米,,1,0,113.60528,34.392908,,beauty,http://api.map.baidu.com/place/detail?uid=135ba2147d1475e428201a27&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bb26061bfbb96a8fb33c81c1,NaNa工作室,丽人,美甲,河南省,郑州市,新郑市,郑州市新郑市迎宾大道,,1,0,113.635091,34.407532,,beauty,http://api.map.baidu.com/place/detail?uid=bb26061bfbb96a8fb33c81c1&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
092e58490bc1ed7116c90585,甲壳虫美甲,丽人,美甲,河南省,郑州市,新郑市,郑州市新郑市文化路奇强商务酒店北侧约50米,092e58490bc1ed7116c90585,1,0,113.742429,34.396937,15824996545,beauty,http://api.map.baidu.com/place/detail?uid=092e58490bc1ed7116c90585&output=html&source=placeapi_v2,,09:00-21:30,5,,,,,,,,1,,,,,,,113.74260189012,34.396936232979,0
91ac344212bf6f404f6d4681,YOYO美甲美睫,丽人,美甲,河南省,郑州市,新郑市,河南省郑州市新郑市商业步行街东区-151,,1,0,113.737547,34.403524,17719878322,beauty,http://api.map.baidu.com/place/detail?uid=91ac344212bf6f404f6d4681&output=html&source=placeapi_v2,,10:00-20:00,0,,,,,,,,0,,,,,,,113.73755224356,34.403458731851,0
0e2fe8626f43b3342e473315,指爱美甲店,丽人,美甲,河南省,郑州市,新郑市,河南省郑州市新郑市光明街59号,0e2fe8626f43b3342e473315,1,0,113.744702,34.397107,17739791514,beauty,http://api.map.baidu.com/place/detail?uid=0e2fe8626f43b3342e473315&output=html&source=placeapi_v2,,09:30-19:00,,,,,,,,,,,,,,,,,,0
