uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
26b1cfa2c509e8dc00ec01bc,郑州市顺发汽车租赁有限公司,汽车服务,汽车租赁,河南省,郑州市,新郑市,河南省郑州市新郑市,,1,0,113.847396,34.349086,18638185188,life,http://api.map.baidu.com/place/detail?uid=26b1cfa2c509e8dc00ec01bc&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
8665182fb6822af42ce67b2b,国财汽车电器,,,河南省,郑州市,新郑市,郑州市新郑市辛店镇第二初中东(323省道南),8665182fb6822af42ce67b2b,1,0,113.61922,34.39539,,life,http://api.map.baidu.com/place/detail?uid=8665182fb6822af42ce67b2b&output=html&source=placeapi_v2,,,,,,,,,,4,,,,,,,,,,0
bc4f51e22ce712648b2fb532,建筑租赁,汽车服务,汽车租赁,河南省,郑州市,新郑市,郑州市新郑市G343辛店镇第二初中东北侧约190米,bc4f51e22ce712648b2fb532,1,0,113.621722,34.395649,,life,http://api.map.baidu.com/place/detail?uid=bc4f51e22ce712648b2fb532&output=html&source=placeapi_v2,,,,,,,,,,3,,,,,,,,,,0
ff8ec580030419d825d2bbba,挖机出租,汽车服务,汽车租赁,河南省,郑州市,新郑市,郑州市新郑市G343与钱庄路交叉路口往西约140米,ff8ec580030419d825d2bbba,1,0,113.62351,34.396196,,life,http://api.map.baidu.com/place/detail?uid=ff8ec580030419d825d2bbba&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,113.62368097191,34.396025645627,0
b6a2e8539e6b36e7deee8b0a,建筑租赁站,,,河南省,郑州市,新郑市,郑州市新郑市阁老路后衙园西北侧约100米,b6a2e8539e6b36e7deee8b0a,1,0,113.729731,34.406212,,life,http://api.map.baidu.com/place/detail?uid=b6a2e8539e6b36e7deee8b0a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,113.72965145257,34.406205441209,0
a20d89afb15c79d0ab175aa9,河南广伟汽车租赁服务有限公司,汽车服务,汽车租赁,河南省,郑州市,新郑市,河南省郑州市新郑市繁荣街131号,,1,0,113.737829,34.407073,13503828893,life,http://api.map.baidu.com/place/detail?uid=a20d89afb15c79d0ab175aa9&output=html&source=placeapi_v2,,,,,,,,,,5,,,,,,,,113.73782357135,34.407259504148,0
2e0aa75ef55800414207c1ad,新郑市郑韩出租车有限公司,汽车服务,汽车租赁,河南省,郑州市,新郑市,繁荣街丽都花园南侧约110米,,1,0,113.736618,34.407498,(0371)62666668,life,http://api.map.baidu.com/place/detail?uid=2e0aa75ef55800414207c1ad&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,9,,,,,,,,113.73672629836,34.40762250172,0
6c9c6a1689d5db61abf72928,大方租车(新郑郑风苑店),汽车服务,汽车租赁,河南省,郑州市,新郑市,河南省郑州市新郑市玉前路郑风苑西50米路南,6c9c6a1689d5db61abf72928,1,0,113.765739,34.392053,4006668818,life,http://api.map.baidu.com/place/detail?uid=6c9c6a1689d5db61abf72928&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,4,,,,,,,,113.76563137928,34.392180700792,0
14184b7faeb20bbf26d2bb13,河南钰帆汽车租赁,汽车服务,汽车租赁,河南省,郑州市,新郑市,河南省郑州市新郑市人民路312号,14184b7faeb20bbf26d2bb13,1,0,113.769131,34.402044,,life,http://api.map.baidu.com/place/detail?uid=14184b7faeb20bbf26d2bb13&output=html&source=placeapi_v2,,,,,,,,,,6,,,,,,,,,,0
a803635cdfd54b101894c655,河南壹陆玖租赁有限公司,汽车服务,汽车租赁,河南省,郑州市,新郑市,郑州市新郑市八千乡北大附中西,a803635cdfd54b101894c655,1,0,113.829328,34.380942,"(0371)62421169,13673971169",life,http://api.map.baidu.com/place/detail?uid=a803635cdfd54b101894c655&output=html&source=placeapi_v2,,,,,,,,,,13,,,,,,,,113.82932914413,34.380855730139,0
